Team,last 5
Union Saint-Gilloise,"['D', 'D', 'W', 'W', 'W']"
Anderlecht,"['L', 'W', 'W', 'W', 'W']"
Antwerp,"['D', 'W', 'W', 'D', 'L']"
Club Brugge,"['L', 'W', 'W', 'L', 'D']"
Cercle Brugge,"['W', 'D', 'L', 'W', 'D']"
Genk,"['D', 'W', 'L', 'W', 'W']"
Gent,"['W', 'D', 'L', 'D', 'W']"
Mechelen,"['L', 'W', 'W', 'W', 'W']"
Sint-Truiden,"['W', 'L', 'L', 'W', 'L']"
Standard Liège,"['W', 'L', 'W', 'L', 'L']"
Westerlo,"['D', 'L', 'L', 'L', 'W']"
OH Leuven,"['W', 'L', 'L', 'D', 'D']"
Sporting Charleroi,"['L', 'D', 'W', 'L', 'D']"
AS Eupen,"['L', 'W', 'L', 'L', 'L']"
Kortrijk,"['W', 'L', 'W', 'L', 'L']"
RWDM,"['L', 'L', 'L', 'D', 'L']"
