rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,RWDM,30,2,2,5,8,8,3,0,1,1,3.27
2,Westerlo,30,1,4,4,8,8,2,3,0,0,3.20
3,Union Saint-Gilloise,30,0,3,8,6,9,3,1,0,0,3.13
4,Club Brugge,30,2,3,8,9,2,2,2,1,1,3.03
5,Gent,30,1,2,10,4,9,3,1,0,0,3.03
6,Anderlecht,30,0,5,7,7,8,2,1,0,0,2.93
7,Antwerp,30,3,7,4,5,5,4,2,0,0,2.73
8,Genk,30,1,6,8,5,7,1,2,0,0,2.73
9,AS Eupen,30,0,8,7,3,9,3,0,0,0,2.73
10,Sint-Truiden,30,0,7,10,5,3,3,2,0,0,2.70
11,OH Leuven,30,2,4,8,8,5,1,2,0,0,2.70
12,Kortrijk,30,1,9,4,8,4,2,2,0,0,2.63
13,Cercle Brugge,30,2,3,11,8,2,3,1,0,0,2.60
14,Standard Liège,30,2,8,7,5,5,1,2,0,0,2.47
15,Sporting Charleroi,30,5,7,5,2,5,5,1,0,0,2.47
16,Mechelen,30,2,8,6,5,7,2,0,0,0,2.43
