rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Union Saint-Gilloise,30,21,7,2,63,31,15,11,3,1,34,16,15,10,4,1,29,15,+32,70
2,Anderlecht,30,18,9,3,58,30,15,11,3,1,30,13,15,7,6,2,28,17,+28,63
3,Antwerp,30,14,10,6,55,27,15,9,5,1,34,10,15,5,5,5,21,17,+28,52
4,Club Brugge,30,14,9,7,62,29,15,8,6,1,35,14,15,6,3,6,27,15,+33,51
5,Cercle Brugge,30,14,5,11,44,34,15,8,2,5,27,18,15,6,3,6,17,16,+10,47
6,Genk,30,12,11,7,51,31,15,6,6,3,28,17,15,6,5,4,23,14,+20,47
7,Gent,30,12,11,7,53,38,15,7,6,2,34,18,15,5,5,5,19,20,+15,47
8,Mechelen,30,13,6,11,39,34,15,7,4,4,22,12,15,6,2,7,17,22,+5,45
9,Sint-Truiden,30,10,10,10,35,46,15,8,4,3,18,14,15,2,6,7,17,32,-11,40
10,Standard Liège,30,8,10,12,33,41,15,6,5,4,18,12,15,2,5,8,15,29,-8,34
11,Westerlo,30,7,9,14,42,54,15,5,2,8,21,27,15,2,7,6,21,27,-12,30
12,OH Leuven,30,7,8,15,34,47,15,5,4,6,19,15,15,2,4,9,15,32,-13,29
13,Sporting Charleroi,30,7,8,15,26,48,15,6,4,5,20,23,15,1,4,10,6,25,-22,29
14,AS Eupen,30,7,3,20,24,58,15,4,2,9,15,28,15,3,1,11,9,30,-34,24
15,Kortrijk,30,6,6,18,22,57,15,4,3,8,13,24,15,2,3,10,9,33,-35,24
16,RWDM,30,5,8,17,31,67,15,3,6,6,15,28,15,2,2,11,16,39,-36,23
