Team,last 5
Arsenal,"['W', 'W', 'W', 'L', 'W']"
Manchester City,"['W', 'W', 'W', 'W', 'W']"
Liverpool,"['D', 'L', 'W', 'L', 'D']"
Aston Villa,"['D', 'W', 'W', 'D', 'L']"
Tottenham Hotspur,"['L', 'L', 'W', 'D', 'W']"
Manchester United,"['D', 'W', 'D', 'D', 'L']"
Newcastle United,"['W', 'L', 'W', 'W', 'D']"
West Ham United,"['D', 'L', 'L', 'W', 'D']"
Chelsea,"['D', 'L', 'W', 'D', 'W']"
AFC Bournemouth,"['W', 'W', 'L', 'D', 'L']"
Wolverhampton Wanderers,"['W', 'L', 'L', 'D', 'L']"
Brighton & Hove Albion,"['L', 'L', 'D', 'L', 'D']"
Fulham,"['D', 'L', 'W', 'L', 'L']"
Crystal Palace,"['D', 'W', 'W', 'W', 'L']"
Everton,"['W', 'W', 'W', 'L', 'W']"
Brentford,"['L', 'W', 'W', 'D', 'D']"
Nottingham Forest,"['L', 'L', 'D', 'L', 'W']"
Luton Town,"['L', 'L', 'L', 'W', 'L']"
Burnley,"['D', 'W', 'D', 'L', 'D']"
Sheffield United,"['L', 'L', 'L', 'L', 'D']"
