rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Newcastle United,34,0,6,4,4,8,6,3,1,2,3.79
2,Sheffield United,35,0,3,7,5,8,7,4,0,1,3.74
3,Chelsea,33,1,3,6,4,7,8,2,1,1,3.70
4,Tottenham Hotspur,33,0,1,5,11,9,4,2,1,0,3.61
5,Luton Town,35,0,4,6,10,5,5,2,2,1,3.57
6,Aston Villa,35,1,3,6,5,10,6,3,1,0,3.57
7,West Ham United,35,1,1,10,6,9,4,2,2,0,3.46
8,Manchester City,34,1,5,7,6,7,2,4,1,1,3.35
9,Arsenal,35,1,6,6,6,7,6,2,1,0,3.23
10,Liverpool,35,1,2,9,7,11,3,1,1,0,3.23
11,Brighton & Hove …,34,3,1,8,7,7,6,1,1,0,3.21
12,AFC Bournemouth,35,1,3,7,8,13,1,0,2,0,3.20
13,Brentford,35,1,5,6,8,7,5,3,0,0,3.20
14,Burnley,35,0,3,12,7,7,5,0,1,0,3.09
15,Manchester United,34,1,6,5,11,6,2,1,2,0,3.03
16,Fulham,35,2,5,6,9,7,3,2,1,0,3.03
17,Nottingham Forest,35,1,4,12,5,5,7,1,0,0,2.97
18,Wolverhampton Wa…,35,1,5,7,13,3,4,1,1,0,2.94
19,Crystal Palace,35,2,5,10,5,6,5,1,1,0,2.91
20,Everton,35,2,7,11,7,6,1,1,0,0,2.43
