Team,last 5
PSG,"['D', 'W', 'W', 'D', 'W']"
Monaco,"['L', 'W', 'W', 'W', 'W']"
Brest,"['W', 'L', 'L', 'W', 'W']"
Lille,"['W', 'L', 'W', 'W', 'W']"
Nice,"['W', 'D', 'W', 'D', 'L']"
Lens,"['L', 'W', 'L', 'D', 'L']"
Marseille,"['W', 'D', 'D', 'L', 'L']"
Lyon,"['W', 'L', 'W', 'W', 'D']"
Rennes,"['L', 'W', 'L', 'L', 'L']"
Toulouse,"['W', 'D', 'W', 'D', 'W']"
Reims,"['L', 'L', 'L', 'D', 'D']"
Montpellier,"['D', 'W', 'D', 'W', 'W']"
Strasbourg,"['L', 'L', 'W', 'D', 'W']"
Nantes,"['D', 'L', 'W', 'L', 'W']"
Le Havre,"['D', 'L', 'L', 'D', 'L']"
Metz,"['L', 'W', 'W', 'L', 'L']"
Lorient,"['L', 'L', 'L', 'L', 'L']"
Clermont,"['W', 'L', 'D', 'D', 'L']"
