rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,PSG,31,3,0,8,5,7,5,1,1,1,3.39
2,Monaco,31,2,5,5,6,5,4,2,2,0,3.19
3,Lorient,31,2,4,5,9,4,3,3,0,1,3.16
4,Lyon,31,2,6,5,7,2,7,1,1,0,3.00
5,Rennes,31,3,3,8,6,8,1,1,0,1,2.87
6,Marseille,31,2,4,10,5,6,2,2,0,0,2.74
7,Metz,31,1,10,4,8,4,1,1,2,0,2.68
8,Reims,31,2,4,7,9,7,2,0,0,0,2.68
9,Brest,31,3,7,9,4,3,2,0,2,1,2.65
10,Montpellier,31,4,2,9,8,5,2,0,0,1,2.65
11,Nantes,31,2,7,8,7,5,0,1,0,1,2.52
12,Toulouse,31,3,3,7,13,3,2,0,0,0,2.52
13,Strasbourg,31,2,4,8,10,7,0,0,0,0,2.52
14,Clermont,31,4,6,6,8,4,1,2,0,0,2.42
15,Lens,31,3,6,8,7,4,3,0,0,0,2.39
16,Lille,31,3,5,10,6,6,1,0,0,0,2.32
17,Le Havre,31,5,6,5,9,4,0,2,0,0,2.29
18,Nice,31,6,8,6,5,4,2,0,0,0,1.97
