rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,PSG,31,20,10,1,76,29,16,9,6,1,41,19,15,11,4,0,35,10,+47,70
2,Monaco,31,17,7,7,58,41,15,8,3,4,22,13,16,9,4,3,36,28,+17,58
3,Brest,31,16,8,7,49,33,15,8,5,2,24,13,16,8,3,5,25,20,+16,56
4,Lille,31,15,10,6,45,27,15,11,3,1,29,8,16,4,7,5,16,19,+18,55
5,Nice,31,14,9,8,36,25,15,8,4,3,19,9,16,6,5,5,17,16,+11,51
6,Lens,31,13,7,11,40,34,15,8,3,4,23,16,16,5,4,7,17,18,+6,46
7,Marseille,31,11,11,9,47,38,16,9,6,1,28,12,15,2,5,8,19,26,+9,44
8,Lyon,31,13,5,13,42,51,16,6,4,6,23,28,15,7,1,7,19,23,-9,44
9,Rennes,31,11,9,11,48,41,16,7,3,6,33,25,15,4,6,5,15,16,+7,42
10,Toulouse,31,10,10,11,38,40,15,3,7,5,20,20,16,7,3,6,18,20,-2,40
11,Reims,31,11,7,13,38,45,15,6,3,6,16,17,16,5,4,7,22,28,-7,40
12,Montpellier,31,9,11,11,39,43,16,3,9,4,20,21,15,6,2,7,19,22,-4,37
13,Strasbourg,31,9,9,13,34,44,16,6,3,7,20,22,15,3,6,6,14,22,-10,36
14,Nantes,31,9,5,17,29,49,16,3,3,10,16,28,15,6,2,7,13,21,-20,32
15,Le Havre,31,6,11,14,30,41,15,5,2,8,14,16,16,1,9,6,16,25,-11,29
16,Metz,31,8,5,18,32,51,15,3,3,9,15,22,16,5,2,9,17,29,-19,29
17,Lorient,31,6,8,17,37,61,16,3,4,9,21,30,15,3,4,8,16,31,-24,26
18,Clermont,31,5,10,16,25,50,16,3,5,8,14,26,15,2,5,8,11,24,-25,25
