Team,last 5
Bayer Leverkusen,"['D', 'D', 'W', 'W', 'W']"
Bayern Munich,"['W', 'W', 'W', 'L', 'L']"
Stuttgart,"['D', 'L', 'W', 'W', 'D']"
RB Leipzig,"['W', 'W', 'W', 'W', 'D']"
Borussia Dortmund,"['L', 'D', 'W', 'L', 'W']"
Eintracht Frankfurt,"['L', 'W', 'L', 'D', 'D']"
Freiburg,"['L', 'D', 'W', 'L', 'W']"
Augsburg,"['L', 'L', 'W', 'L', 'D']"
Hoffenheim,"['L', 'W', 'L', 'W', 'L']"
Heidenheim,"['W', 'L', 'D', 'W', 'D']"
Werder Bremen,"['W', 'W', 'L', 'D', 'L']"
Wolfsburg,"['W', 'W', 'L', 'L', 'W']"
Borussia M'gladbach,"['D', 'L', 'L', 'W', 'L']"
Union Berlin,"['D', 'L', 'L', 'L', 'D']"
Bochum,"['W', 'L', 'D', 'L', 'D']"
Mainz,"['D', 'D', 'W', 'W', 'D']"
FC Cologne,"['D', 'L', 'L', 'W', 'D']"
Darmstadt,"['L', 'W', 'L', 'L', 'D']"
