rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Bayern Munich,31,0,3,2,8,8,3,3,2,2,4.10
2,Hoffenheim,31,0,1,5,6,9,8,1,1,0,3.81
3,Borussia M'gladbach,31,3,1,3,8,9,0,4,2,1,3.65
4,RB Leipzig,31,2,2,5,7,5,6,3,1,0,3.48
5,Stuttgart,31,0,2,6,9,7,4,2,1,0,3.48
6,Darmstadt,31,2,6,5,4,5,2,5,1,1,3.32
7,Augsburg,31,0,3,9,8,6,2,1,1,1,3.23
8,Bochum,31,2,2,8,5,8,4,0,2,0,3.19
9,Bayer Leverkusen,31,1,2,6,11,4,6,1,0,0,3.19
10,Borussia Dortmund,31,1,4,8,5,6,3,4,0,0,3.16
11,Freiburg,31,2,4,4,9,4,5,3,0,0,3.16
12,Heidenheim,31,2,4,8,6,2,5,3,1,0,3.10
13,Werder Bremen,31,0,5,8,8,6,2,2,0,0,2.94
14,Eintracht Frankfurt,31,2,3,8,8,7,0,3,0,0,2.87
15,Wolfsburg,31,0,5,8,7,9,2,0,0,0,2.84
16,Mainz,31,3,5,10,3,7,2,0,0,1,2.61
17,FC Cologne,31,1,4,16,4,3,0,3,0,0,2.52
18,Union Berlin,31,3,6,9,6,3,2,2,0,0,2.45
