rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Bayer Leverkusen,31,25,6,0,77,22,16,13,3,0,45,10,15,12,3,0,32,12,+55,81
2,Bayern Munich,31,22,3,6,89,38,16,13,1,2,51,12,15,9,2,4,38,26,+51,69
3,Stuttgart,31,20,4,7,70,38,15,11,3,1,43,14,16,9,1,6,27,24,+32,64
4,RB Leipzig,31,19,5,7,73,35,16,11,3,2,39,11,15,8,2,5,34,24,+38,62
5,Borussia Dortmund,31,16,9,6,59,39,15,8,3,4,28,21,16,8,6,2,31,18,+20,57
6,Eintracht Frankfurt,31,11,12,8,47,42,15,7,7,1,26,14,16,4,5,7,21,28,+5,45
7,Freiburg,31,11,7,13,43,55,16,5,6,5,27,29,15,6,1,8,16,26,-12,40
8,Augsburg,31,10,9,12,48,52,16,6,6,4,26,25,15,4,3,8,22,27,-4,39
9,Hoffenheim,31,11,6,14,55,63,15,5,4,6,26,28,16,6,2,8,29,35,-8,39
10,Heidenheim,31,9,10,12,44,52,15,6,4,5,25,24,16,3,6,7,19,28,-8,37
11,Werder Bremen,31,10,7,14,41,50,15,6,3,6,23,23,16,4,4,8,18,27,-9,37
12,Wolfsburg,31,9,7,15,37,51,15,5,4,6,21,22,16,4,3,9,16,29,-14,34
13,Borussia M'gladbach,31,7,11,13,53,60,16,5,5,6,26,25,15,2,6,7,27,35,-7,32
14,Union Berlin,31,8,6,17,26,50,15,6,2,7,17,25,16,2,4,10,9,25,-24,30
15,Bochum,31,6,12,13,37,62,16,5,8,3,26,24,15,1,4,10,11,38,-25,30
16,Mainz,31,5,13,13,32,49,16,5,5,6,20,18,15,0,8,7,12,31,-17,28
17,FC Cologne,31,4,11,16,24,54,15,3,3,9,12,26,16,1,8,7,12,28,-30,23
18,Darmstadt,31,3,8,20,30,73,16,1,3,12,15,38,15,2,5,8,15,35,-43,17
