Team,last 5
Inter Milan,"['W', 'W', 'D', 'W', 'W']"
AC Milan,"['D', 'L', 'D', 'W', 'W']"
Juventus,"['D', 'D', 'D', 'W', 'L']"
Bologna,"['D', 'W', 'D', 'D', 'W']"
Roma,"['D', 'W', 'L', 'W', 'D']"
Atalanta,"['W', 'W', 'D', 'L', 'W']"
Lazio,"['W', 'W', 'W', 'L', 'W']"
Fiorentina,"['W', 'W', 'D', 'L', 'L']"
Napoli,"['D', 'L', 'D', 'W', 'L']"
Torino,"['L', 'D', 'D', 'L', 'W']"
Monza,"['D', 'L', 'D', 'L', 'L']"
Genoa,"['W', 'L', 'D', 'W', 'D']"
Lecce,"['D', 'W', 'W', 'L', 'D']"
Cagliari,"['L', 'D', 'D', 'W', 'D']"
Verona,"['L', 'W', 'D', 'L', 'D']"
Frosinone,"['W', 'D', 'D', 'D', 'D']"
Empoli,"['L', 'W', 'L', 'W', 'L']"
Udinese,"['D', 'L', 'L', 'L', 'D']"
Sassuolo,"['L', 'L', 'D', 'D', 'D']"
Salernitana,"['L', 'L', 'L', 'D', 'L']"
