rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Sassuolo,34,0,7,7,8,4,1,5,2,0,3.24
2,Frosinone,34,4,1,7,9,5,5,2,1,0,3.12
3,AC Milan,34,1,9,3,6,8,4,3,0,0,3.03
4,Roma,34,2,5,6,8,7,4,1,1,0,3.00
5,Atalanta,33,1,3,8,11,4,6,0,0,0,2.97
6,Inter Milan,34,0,5,10,8,8,0,3,0,0,2.91
7,Salernitana,34,1,4,7,11,8,2,1,0,0,2.91
8,Napoli,34,3,4,7,9,8,1,1,1,0,2.79
9,Cagliari,34,3,3,8,10,7,1,1,1,0,2.79
10,Fiorentina,33,1,9,8,5,5,3,2,0,0,2.64
11,Udinese,34,4,3,13,6,5,2,1,0,0,2.44
12,Monza,34,5,7,9,6,1,3,3,0,0,2.35
13,Lecce,34,1,8,11,7,6,1,0,0,0,2.35
14,Genoa,34,3,8,9,8,2,4,0,0,0,2.29
15,Lazio,34,2,10,8,7,4,3,0,0,0,2.29
16,Empoli,34,3,10,10,6,1,2,0,2,0,2.24
17,Verona,34,3,11,5,7,7,0,1,0,0,2.24
18,Bologna,34,5,4,10,10,4,0,1,0,0,2.24
19,Juventus,34,4,10,6,8,4,1,1,0,0,2.15
20,Torino,34,8,5,12,6,0,3,0,0,0,1.82
