rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Inter Milan,34,28,5,1,81,18,18,14,3,1,43,10,16,14,2,0,38,8,+63,89
2,AC Milan,34,21,7,6,64,39,16,11,2,3,27,10,18,10,5,3,37,29,+25,70
3,Juventus,34,18,11,5,47,26,17,10,6,1,23,10,17,8,5,4,24,16,+21,65
4,Bologna,34,17,12,5,49,27,18,12,4,2,30,9,16,5,8,3,19,18,+22,63
5,Roma,34,17,8,9,61,41,17,11,3,3,36,18,17,6,5,6,25,23,+20,59
6,Atalanta,33,17,6,10,61,37,16,11,2,3,35,12,17,6,4,7,26,25,+24,57
7,Lazio,34,17,4,13,43,35,17,9,3,5,20,13,17,8,1,8,23,22,+8,55
8,Fiorentina,33,14,8,11,50,37,17,9,4,4,33,19,16,5,4,7,17,18,+13,50
9,Napoli,34,13,11,10,52,43,17,6,6,5,24,25,17,7,5,5,28,18,+9,50
10,Torino,34,11,13,10,31,31,17,7,8,2,15,8,17,4,5,8,16,23,+0,46
11,Monza,34,11,11,12,36,44,17,6,5,6,21,23,17,5,6,6,15,21,-8,44
12,Genoa,34,10,12,12,38,40,17,6,6,5,23,21,17,4,6,7,15,19,-2,42
13,Lecce,34,8,12,14,31,49,17,6,6,5,17,23,17,2,6,9,14,26,-18,36
14,Cagliari,34,7,11,16,36,59,17,6,6,5,25,28,17,1,5,11,11,31,-23,32
15,Verona,34,7,10,17,31,45,16,5,5,6,18,21,18,2,5,11,13,24,-14,31
16,Frosinone,34,7,10,17,43,63,17,7,4,6,28,26,17,0,6,11,15,37,-20,31
17,Empoli,34,8,7,19,26,50,17,4,4,9,13,22,17,4,3,10,13,28,-24,31
18,Udinese,34,4,17,13,32,51,17,1,9,7,19,27,17,3,8,6,13,24,-19,29
19,Sassuolo,34,6,8,20,40,70,17,4,5,8,22,32,17,2,3,12,18,38,-30,26
20,Salernitana,34,2,9,23,26,73,17,1,5,11,15,34,17,1,4,12,11,39,-47,15
