Team,last 5
PSV,"['W', 'W', 'W', 'W', 'L']"
Feyenoord,"['W', 'W', 'W', 'D', 'W']"
Twente,"['W', 'L', 'W', 'D', 'W']"
AZ,"['W', 'W', 'L', 'L', 'W']"
Ajax,"['D', 'W', 'L', 'D', 'W']"
NEC,"['L', 'D', 'W', 'D', 'W']"
Utrecht,"['D', 'W', 'W', 'W', 'L']"
Sparta Rotterdam,"['W', 'W', 'L', 'W', 'W']"
Go Ahead Eagles,"['L', 'L', 'D', 'D', 'W']"
Heerenveen,"['L', 'W', 'L', 'D', 'D']"
PEC Zwolle,"['W', 'D', 'W', 'L', 'L']"
Fortuna Sittard,"['L', 'L', 'L', 'D', 'L']"
Almere City,"['L', 'L', 'D', 'D', 'D']"
Heracles,"['L', 'L', 'W', 'W', 'L']"
Excelsior,"['D', 'W', 'L', 'L', 'L']"
RKC Waalwijk,"['D', 'L', 'L', 'D', 'D']"
Volendam,"['L', 'L', 'W', 'D', 'D']"
Vitesse,"['W', 'L', 'L', 'L', 'L']"
