rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Ajax,31,1,0,5,4,10,7,2,2,0,3.97
2,PSV,31,0,2,7,3,12,0,4,1,2,3.87
3,Heerenveen,31,0,1,8,7,6,5,2,1,1,3.68
4,Excelsior,31,2,0,5,8,10,0,4,2,0,3.61
5,NEC,31,0,2,8,7,9,1,2,2,0,3.42
6,Heracles,31,0,3,6,6,9,5,2,0,0,3.42
7,Volendam,31,1,4,6,4,8,4,3,1,0,3.39
8,Feyenoord,31,3,4,3,5,9,1,4,2,0,3.35
9,PEC Zwolle,31,0,3,8,6,10,1,2,0,1,3.29
10,AZ,31,1,2,8,8,7,3,2,0,0,3.13
11,Vitesse,31,2,3,8,5,6,5,2,0,0,3.06
12,Fortuna Sittard,31,4,4,4,5,9,3,1,1,0,2.94
13,Twente,31,1,7,3,10,6,1,3,0,0,2.90
14,Sparta Rotterdam,31,1,3,10,7,6,3,1,0,0,2.87
15,Utrecht,31,2,5,11,3,4,1,4,1,0,2.84
16,Go Ahead Eagles,31,2,3,11,5,5,3,2,0,0,2.81
17,RKC Waalwijk,31,1,7,7,6,6,4,0,0,0,2.68
18,Almere City,31,5,3,8,5,4,5,0,1,0,2.65
