Team,last 5
Sporting Lisbon,"['D', 'W', 'W', 'W', 'W']"
Benfica,"['W', 'W', 'W', 'L', 'W']"
Porto,"['D', 'W', 'D', 'L', 'L']"
Sporting Braga,"['L', 'W', 'W', 'L', 'W']"
Vitoria Guimaraes,"['W', 'L', 'D', 'W', 'W']"
Moreirense,"['W', 'L', 'L', 'D', 'L']"
Arouca,"['D', 'D', 'W', 'W', 'W']"
Famalicão,"['L', 'D', 'L', 'D', 'W']"
Casa Pia,"['W', 'L', 'D', 'D', 'W']"
Farense,"['W', 'L', 'D', 'W', 'L']"
Estoril,"['W', 'D', 'L', 'D', 'W']"
Rio Ave,"['D', 'D', 'D', 'W', 'D']"
Gil Vicente,"['D', 'W', 'L', 'L', 'L']"
Boavista,"['L', 'D', 'L', 'L', 'D']"
Estrela,"['L', 'D', 'D', 'D', 'L']"
Portimonense,"['L', 'D', 'D', 'W', 'L']"
Chaves,"['L', 'D', 'W', 'L', 'L']"
Vizela,"['D', 'L', 'L', 'L', 'L']"
