rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Sporting Lisbon,31,0,2,5,10,3,6,2,2,1,3.81
2,Sporting Braga,31,1,4,4,8,6,3,3,1,1,3.48
3,Portimonense,31,1,5,7,6,4,5,0,2,1,3.23
4,Estoril,31,1,8,3,4,10,1,2,1,1,3.16
5,Benfica,31,1,5,5,7,7,5,0,1,0,3.10
6,Chaves,31,2,4,6,6,6,4,3,0,0,3.10
7,Arouca,31,0,6,5,10,4,4,1,1,0,3.06
8,Vizela,31,4,5,5,4,4,6,1,2,0,3.00
9,Boavista,31,2,3,10,4,5,6,0,1,0,2.97
10,Gil Vicente,31,2,6,6,7,5,2,2,0,1,2.87
11,Farense,31,2,5,7,7,6,3,0,1,0,2.77
12,Porto,31,1,6,7,9,4,4,0,0,0,2.68
13,Estrela,31,2,6,8,6,5,3,1,0,0,2.61
14,Vitoria Guimaraes,31,1,8,6,9,4,3,0,0,0,2.52
15,Casa Pia,31,4,7,6,3,9,1,0,0,1,2.48
16,Rio Ave,31,5,2,14,4,3,1,1,1,0,2.32
17,Famalicão,31,3,8,6,6,6,2,0,0,0,2.32
18,Moreirense,31,4,12,4,4,3,3,0,1,0,2.13
