rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Sporting Lisbon,31,26,3,2,89,29,15,15,0,0,51,11,16,11,3,2,38,18,+60,81
2,Benfica,31,24,4,3,71,25,16,14,2,0,43,7,15,10,2,3,28,18,+46,76
3,Porto,31,19,6,6,57,26,16,10,4,2,33,12,15,9,2,4,24,14,+31,63
4,Sporting Braga,31,19,5,7,64,44,15,9,3,3,29,16,16,10,2,4,35,28,+20,62
5,Vitoria Guimaraes,31,18,6,7,46,32,16,11,2,3,29,15,15,7,4,4,17,17,+14,60
6,Moreirense,31,13,7,11,32,34,15,6,4,5,17,17,16,7,3,6,15,17,-2,46
7,Arouca,31,13,6,12,53,42,15,7,2,6,25,23,16,6,4,6,28,19,+11,45
8,Famalicão,31,8,12,11,33,39,15,5,6,4,18,19,16,3,6,7,15,20,-6,36
9,Casa Pia,31,9,8,14,33,44,16,3,5,8,10,17,15,6,3,6,23,27,-11,35
10,Farense,31,9,7,15,42,44,15,5,4,6,20,18,16,4,3,9,22,26,-2,34
11,Estoril,31,9,6,16,46,52,16,8,1,7,25,17,15,1,5,9,21,35,-6,33
12,Rio Ave,31,5,17,9,33,39,15,5,7,3,22,18,16,0,10,6,11,21,-6,32
13,Gil Vicente,31,8,8,15,39,50,16,5,7,4,26,22,15,3,1,11,13,28,-11,32
14,Boavista,31,7,9,15,35,57,15,4,6,5,18,27,16,3,3,10,17,30,-22,30
15,Estrela,31,6,11,14,32,49,16,5,3,8,21,27,15,1,8,6,11,22,-17,29
16,Portimonense,31,7,7,17,34,66,16,3,5,8,16,29,15,4,2,9,18,37,-32,28
17,Chaves,31,5,8,18,31,65,15,3,4,8,21,33,16,2,4,10,10,32,-34,23
18,Vizela,31,4,10,17,30,63,16,2,5,9,16,32,15,2,5,8,14,31,-33,22
