Team,last 5
Zenit,"['L', 'L', 'W', 'W', 'W']"
Krasnodar,"['D', 'W', 'W', 'L', 'W']"
Dinamo Moscow,"['W', 'W', 'W', 'L', 'L']"
Spartak Moscow,"['W', 'D', 'W', 'L', 'W']"
Lokomotiv Moscow,"['L', 'W', 'D', 'D', 'W']"
Krylya Sovetov,"['D', 'W', 'L', 'W', 'W']"
Rostov,"['W', 'W', 'L', 'W', 'D']"
CSKA Moscow,"['L', 'D', 'L', 'D', 'W']"
Rubin Kazan,"['D', 'W', 'D', 'L', 'L']"
Akhmat Grozny,"['W', 'W', 'W', 'L', 'L']"
Nizhny Novgorod,"['L', 'L', 'L', 'L', 'L']"
Fakel,"['D', 'L', 'L', 'L', 'L']"
Baltika,"['W', 'L', 'W', 'W', 'L']"
Orenburg,"['L', 'L', 'L', 'W', 'W']"
Ural,"['D', 'L', 'D', 'W', 'L']"
Sochi,"['D', 'L', 'D', 'W', 'D']"
