rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,CSKA Moscow,26,2,3,6,3,5,5,2,0,0,3.12
2,Lokomotiv Moscow,26,1,3,8,3,4,5,2,0,0,3.12
3,Rostov,26,1,5,4,7,4,2,3,0,0,3.00
4,Krylya Sovetov,26,1,1,8,9,4,0,3,0,0,3.00
5,Dinamo Moscow,26,2,3,6,7,2,4,2,0,0,2.92
6,Spartak Moscow,26,4,3,6,5,3,4,1,0,0,2.62
7,Akhmat Grozny,26,2,5,6,9,1,1,1,0,1,2.58
8,Zenit,26,1,4,9,5,5,2,0,0,0,2.58
9,Krasnodar,26,2,3,11,4,3,2,0,1,0,2.54
10,Sochi,26,2,5,7,4,6,1,1,0,0,2.54
11,Ural,26,3,6,4,4,6,3,0,0,0,2.50
12,Orenburg,26,1,3,11,6,4,1,0,0,0,2.46
13,Nizhny Novgorod,26,2,8,8,1,2,3,1,1,0,2.42
14,Baltika,26,3,8,5,4,3,2,0,0,1,2.31
15,Rubin Kazan,26,1,8,8,6,2,1,0,0,0,2.12
16,Fakel,26,6,4,9,5,0,2,0,0,0,1.81
