rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Zenit,26,15,5,6,44,23,13,8,2,3,21,10,13,7,3,3,23,13,+21,50
2,Krasnodar,26,14,8,4,41,25,13,10,2,1,23,10,13,4,6,3,18,15,+16,50
3,Dinamo Moscow,26,13,8,5,43,33,13,8,2,3,18,13,13,5,6,2,25,20,+10,47
4,Spartak Moscow,26,12,6,8,37,31,13,8,3,2,20,13,13,4,3,6,17,18,+6,42
5,Lokomotiv Moscow,26,10,11,5,44,37,13,5,7,1,21,16,13,5,4,4,23,21,+7,41
6,Krylya Sovetov,26,11,7,8,43,35,13,7,5,1,29,14,13,4,2,7,14,21,+8,40
7,Rostov,26,11,7,8,39,39,14,8,4,2,26,18,12,3,3,6,13,21,+0,40
8,CSKA Moscow,26,9,11,6,45,36,13,7,4,2,25,14,13,2,7,4,20,22,+9,38
9,Rubin Kazan,26,10,7,9,24,31,13,4,5,4,12,17,13,6,2,5,12,14,-7,37
10,Akhmat Grozny,26,8,5,13,29,38,14,5,3,6,20,21,12,3,2,7,9,17,-9,29
11,Nizhny Novgorod,26,8,4,14,25,38,13,7,2,4,19,16,13,1,2,10,6,22,-13,28
12,Fakel,26,6,9,11,19,28,12,3,5,4,9,9,14,3,4,7,10,19,-9,27
13,Baltika,26,7,5,14,28,32,13,6,3,4,15,13,13,1,2,10,13,19,-4,26
14,Orenburg,26,6,8,12,29,35,12,5,3,4,18,13,14,1,5,8,11,22,-6,26
15,Ural,26,6,7,13,25,40,13,4,3,6,15,20,13,2,4,7,10,20,-15,25
16,Sochi,26,4,8,14,26,40,13,3,5,5,16,17,13,1,3,9,10,23,-14,20
