rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Celtic,33,24,6,3,80,26,16,12,3,1,42,12,17,12,3,2,38,14,+54,78
2,Rangers,33,24,3,6,72,23,17,13,1,3,42,15,16,11,2,3,30,8,+49,75
3,Hearts,33,19,5,9,46,34,17,9,5,3,26,16,16,10,0,6,20,18,+12,62
4,Kilmarnock,33,13,12,8,43,34,17,10,4,3,28,16,16,3,8,5,15,18,+9,51
5,St. Mirren,33,12,7,14,38,43,16,8,3,5,21,16,17,4,4,9,17,27,-5,43
6,Dundee,33,10,11,12,44,54,16,6,5,5,21,22,17,4,6,7,23,32,-10,41
7,Hibernian,33,9,12,12,44,51,17,6,4,7,22,22,16,3,8,5,22,29,-7,39
8,Motherwell,33,8,13,12,46,51,17,4,6,7,27,28,16,4,7,5,19,23,-5,37
9,Aberdeen,33,8,11,14,35,49,16,4,7,5,19,22,17,4,4,9,16,27,-14,35
10,St. Johnstone,33,7,10,16,24,46,17,4,6,7,15,24,16,3,4,9,9,22,-22,31
11,Ross County,33,7,9,17,32,56,16,6,4,6,18,20,17,1,5,11,14,36,-24,30
12,Livingston,33,3,9,21,22,59,16,2,6,8,9,23,17,1,3,13,13,36,-37,18
