Team,last 5
Real Madrid,"['W', 'W', 'W', 'W', 'W']"
Barcelona,"['W', 'L', 'W', 'W', 'W']"
Girona,"['W', 'W', 'L', 'W', 'L']"
Atletico Madrid,"['W', 'L', 'W', 'W', 'L']"
Athletic Bilbao,"['L', 'D', 'D', 'L', 'W']"
Real Sociedad,"['L', 'D', 'D', 'W', 'W']"
Real Betis,"['D', 'W', 'W', 'L', 'L']"
Valencia,"['L', 'L', 'W', 'W', 'D']"
Villarreal,"['W', 'W', 'D', 'L', 'W']"
Getafe,"['W', 'D', 'D', 'L', 'W']"
Osasuna,"['L', 'L', 'L', 'W', 'L']"
Alaves,"['W', 'W', 'L', 'L', 'L']"
Sevilla,"['D', 'W', 'W', 'W', 'L']"
Las Palmas,"['L', 'L', 'L', 'L', 'L']"
Rayo Vallecano,"['L', 'W', 'D', 'D', 'W']"
Mallorca,"['D', 'L', 'L', 'D', 'W']"
Celta Vigo,"['L', 'W', 'L', 'D', 'W']"
Cadiz,"['D', 'L', 'L', 'W', 'L']"
Granada,"['W', 'D', 'W', 'L', 'L']"
Almeria,"['L', 'L', 'D', 'L', 'W']"
