rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Girona,33,2,6,5,8,2,3,4,2,1,3.30
2,Villarreal,33,2,2,7,9,5,5,1,1,1,3.30
3,Barcelona,33,2,8,3,6,4,4,4,1,1,3.24
4,Atletico Madrid,33,1,5,6,10,6,2,1,2,0,3.06
5,Almeria,33,4,4,3,9,7,3,2,1,0,3.00
6,Granada,33,0,8,12,2,3,3,4,0,1,2.94
7,Real Madrid,33,1,6,9,6,6,3,2,0,0,2.82
8,Sevilla,33,2,7,8,8,3,2,2,1,0,2.67
9,Celta Vigo,33,3,7,6,8,3,5,0,1,0,2.64
10,Getafe,33,4,6,9,4,4,3,2,1,0,2.61
11,Athletic Bilbao,33,4,3,12,4,6,2,1,1,0,2.61
12,Osasuna,33,1,6,12,7,2,3,2,0,0,2.61
13,Real Sociedad,33,5,7,6,7,4,2,0,1,1,2.45
14,Real Betis,33,4,4,12,7,1,3,2,0,0,2.42
15,Valencia,33,3,11,5,7,4,1,2,0,0,2.27
16,Las Palmas,33,1,10,12,7,0,2,1,0,0,2.15
17,Alaves,33,2,10,12,5,2,1,0,1,0,2.09
18,Rayo Vallecano,33,6,5,10,7,4,0,0,1,0,2.09
19,Cadiz,33,4,6,15,2,3,3,0,0,0,2.09
20,Mallorca,33,5,11,8,3,3,2,0,0,1,2.00
