rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Real Madrid,33,26,6,1,71,22,16,14,2,0,40,9,17,12,4,1,31,13,+49,84
2,Barcelona,33,22,7,4,68,39,17,13,1,3,38,21,16,9,6,1,30,18,+29,73
3,Girona,33,22,5,6,69,40,16,13,2,1,42,17,17,9,3,5,27,23,+29,71
4,Atletico Madrid,33,20,4,9,62,39,17,15,1,1,40,18,16,5,3,8,22,21,+23,64
5,Athletic Bilbao,33,16,10,7,53,33,17,11,5,1,38,16,16,5,5,6,15,17,+20,58
6,Real Sociedad,33,13,12,8,46,35,16,6,6,4,23,18,17,7,6,4,23,17,+11,51
7,Real Betis,33,12,13,8,41,39,17,8,7,2,24,15,16,4,6,6,17,24,+2,49
8,Valencia,33,13,8,12,37,38,16,8,5,3,19,10,17,5,3,9,18,28,-1,47
9,Villarreal,33,12,9,12,54,55,17,6,4,7,29,26,16,6,5,5,25,29,-1,45
10,Getafe,33,10,13,10,41,45,16,8,5,3,19,15,17,2,8,7,22,30,-4,43
11,Osasuna,33,11,6,16,37,49,16,6,3,7,17,22,17,5,3,9,20,27,-12,39
12,Alaves,33,10,8,15,31,38,17,8,3,6,20,17,16,2,5,9,11,21,-7,38
13,Sevilla,33,9,11,13,42,46,16,5,5,6,23,24,17,4,6,7,19,22,-4,38
14,Las Palmas,33,10,7,16,30,41,17,6,4,7,17,17,16,4,3,9,13,24,-11,37
15,Rayo Vallecano,33,7,13,13,27,42,16,3,8,5,16,23,17,4,5,8,11,19,-15,34
16,Mallorca,33,6,14,13,27,39,16,5,7,4,14,13,17,1,7,9,13,26,-12,32
17,Celta Vigo,33,7,10,16,37,50,16,4,5,7,14,18,17,3,5,9,23,32,-13,31
18,Cadiz,33,4,14,15,23,46,17,4,8,5,15,19,16,0,6,10,8,27,-23,26
19,Granada,33,4,9,20,36,61,17,4,6,7,23,26,16,0,3,13,13,35,-25,21
20,Almeria,33,1,11,21,32,67,17,0,8,9,16,33,16,1,3,12,16,34,-35,14
