Team,last 5
Galatasaray,"['W', 'W', 'W', 'W', 'W']"
Fenerbahce,"['W', 'D', 'W', 'W', 'W']"
Trabzonspor,"['W', 'W', 'L', 'W', 'L']"
Istanbul Basaksehir,"['W', 'W', 'W', 'D', 'L']"
Besiktas,"['L', 'W', 'D', 'D', 'L']"
Kasımpaşa,"['W', 'L', 'L', 'W', 'L']"
Rizespor,"['D', 'L', 'W', 'W', 'W']"
Alanyaspor,"['W', 'W', 'L', 'W', 'W']"
Sivasspor,"['W', 'D', 'W', 'W', 'L']"
Antalyaspor,"['L', 'W', 'L', 'D', 'W']"
Adana Demirspor,"['L', 'D', 'D', 'L', 'W']"
Kayserispor,"['W', 'L', 'D', 'L', 'L']"
Samsunspor,"['L', 'D', 'D', 'D', 'L']"
Ankaragücü,"['D', 'L', 'W', 'D', 'W']"
Fatih Karagümrük,"['W', 'W', 'L', 'L', 'D']"
Konyaspor,"['L', 'L', 'W', 'L', 'D']"
Gaziantep FK,"['L', 'W', 'L', 'L', 'L']"
Hatayspor,"['L', 'L', 'L', 'L', 'W']"
Pendikspor,"['L', 'L', 'L', 'D', 'W']"
İstanbulspor,"['L', 'L', 'W', 'L', 'L']"
