rank,team,mp,0,1,2,3,4,5,6,7,>7,avg
1,Fenerbahce,34,2,4,5,6,5,7,3,1,1,3.53
2,Kasımpaşa,34,3,2,7,7,5,4,4,2,0,3.38
3,Pendikspor,34,1,3,12,5,2,8,3,0,0,3.18
4,Trabzonspor,34,1,8,6,6,3,5,5,0,0,3.09
5,Galatasaray,34,2,5,6,12,4,1,2,1,1,2.97
6,Rizespor,34,3,7,5,6,8,3,1,0,1,2.82
7,Adana Demirspor,34,4,5,6,7,6,2,4,0,0,2.82
8,Alanyaspor,34,3,5,7,7,8,1,3,0,0,2.79
9,İstanbulspor,34,1,6,9,9,6,0,3,0,0,2.74
10,Gaziantep FK,34,1,4,12,7,8,0,2,0,0,2.74
11,Kayserispor,34,4,4,11,8,2,3,0,2,0,2.56
12,Ankaragücü,34,2,4,13,7,5,2,1,0,0,2.56
13,Hatayspor,34,6,3,8,10,2,1,4,0,0,2.53
14,Sivasspor,34,3,8,8,4,6,4,1,0,0,2.53
15,Istanbul Basaksehir,34,3,7,11,4,2,6,1,0,0,2.50
16,Besiktas,34,2,4,13,8,5,1,1,0,0,2.50
17,Fatih Karagümrük,34,2,6,11,9,2,3,1,0,0,2.47
18,Konyaspor,34,2,4,17,5,4,1,0,0,1,2.41
19,Samsunspor,34,2,5,14,9,1,1,2,0,0,2.38
20,Antalyaspor,34,3,6,11,8,2,3,1,0,0,2.38
