rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,Galatasaray,34,30,3,1,80,21,17,17,0,0,45,13,17,13,3,1,35,8,+59,93
2,Fenerbahce,34,28,5,1,89,31,17,13,3,1,50,20,17,15,2,0,39,11,+58,89
3,Trabzonspor,34,18,4,12,60,45,17,10,1,6,31,23,17,8,3,6,29,22,+15,58
4,Istanbul Basaksehir,34,15,7,12,46,39,17,9,3,5,26,17,17,6,4,7,20,22,+7,52
5,Besiktas,34,15,6,13,45,40,17,9,3,5,24,15,17,6,3,8,21,25,+5,51
6,Kasımpaşa,34,14,7,13,56,59,17,7,4,6,29,31,17,7,3,7,27,28,-3,49
7,Rizespor,34,14,7,13,45,51,18,11,4,3,28,15,16,3,3,10,17,36,-6,49
8,Alanyaspor,34,12,12,10,49,46,17,7,6,4,30,24,17,5,6,6,19,22,+3,48
9,Sivasspor,34,12,12,10,41,45,17,6,8,3,22,18,17,6,4,7,19,27,-4,48
10,Antalyaspor,34,11,12,11,39,42,17,7,8,2,19,15,17,4,4,9,20,27,-3,45
11,Adana Demirspor,34,9,14,11,49,47,17,9,4,4,30,18,17,0,10,7,19,29,+2,41
12,Kayserispor,34,11,10,13,39,48,17,6,6,5,21,19,17,5,4,8,18,29,-9,40
13,Samsunspor,34,10,9,15,37,44,17,9,4,4,24,15,17,1,5,11,13,29,-7,39
14,Ankaragücü,34,8,14,12,42,45,17,6,7,4,20,17,17,2,7,8,22,28,-3,38
15,Fatih Karagümrük,34,9,9,16,41,43,17,7,6,4,29,15,17,2,3,12,12,28,-2,36
16,Konyaspor,34,8,12,14,34,48,16,5,4,7,19,20,18,3,8,7,15,28,-14,36
17,Gaziantep FK,34,9,7,18,39,54,17,5,5,7,18,23,17,4,2,11,21,31,-15,34
18,Hatayspor,34,7,12,15,38,48,17,5,7,5,26,25,17,2,5,10,12,23,-10,33
19,Pendikspor,34,7,9,18,38,70,17,5,3,9,20,31,17,2,6,9,18,39,-32,30
20,İstanbulspor,34,4,7,23,26,67,17,2,3,12,13,35,17,2,4,11,13,32,-41,16
