Date,Competition,Home team,Score,Away team
05/03/23,FDA,Union Saint-Gilloise,2-1,AS Eupen
11/03/23,FDA,AS Eupen,4-4,KV Oostende
19/03/23,FDA,Gent,3-0,AS Eupen
02/04/23,FDA,AS Eupen,0-1,Anderlecht
08/04/23,FDA,Kortrijk,0-0,AS Eupen
15/04/23,FDA,AS Eupen,1-5,Zulte Waregem
23/04/23,FDA,Club Brugge,7-0,AS Eupen
24/06/23,CLF,AS Eupen,0-1,Liège
08/07/23,CLF,AS Eupen,4-0,Sporting Charleroi
15/07/23,CLF,Reims,2-3,AS Eupen
22/07/23,CLF,AS Eupen,1-0,Marseille
29/07/23,FDA,AS Eupen,2-2,Westerlo
05/08/23,FDA,Genk,0-1,AS Eupen
13/08/23,FDA,AS Eupen,0-5,Club Brugge
20/08/23,FDA,Kortrijk,1-3,AS Eupen
26/08/23,FDA,AS Eupen,3-1,OH Leuven
02/09/23,FDA,Mechelen,1-0,AS Eupen
17/09/23,FDA,AS Eupen,1-3,Standard Liège
24/09/23,FDA,Gent,2-1,AS Eupen
30/09/23,FDA,AS Eupen,1-3,Anderlecht
08/10/23,FDA,Antwerp,4-1,AS Eupen
20/10/23,FDA,Union Saint-Gilloise,4-1,AS Eupen
28/10/23,FDA,AS Eupen,2-0,Sporting Charleroi
31/10/23,CUP,AS Eupen,0-2,KV Oostende
03/11/23,FDA,Sint-Truiden,1-1,AS Eupen
11/11/23,FDA,AS Eupen,1-3,RWDM
25/11/23,FDA,Cercle Brugge,2-0,AS Eupen
02/12/23,FDA,AS Eupen,1-1,Kortrijk
10/12/23,FDA,AS Eupen,1-3,Genk
15/12/23,FDA,Westerlo,2-0,AS Eupen
23/12/23,FDA,AS Eupen,1-2,Union Saint-Gilloise
26/12/23,FDA,OH Leuven,3-0,AS Eupen
13/01/24,CLF,Schalke 04,3-1,AS Eupen
24/01/24,FDA,RWDM,0-1,AS Eupen
28/01/24,FDA,AS Eupen,1-0,Antwerp
31/01/24,FDA,Sporting Charleroi,1-0,AS Eupen
04/02/24,FDA,AS Eupen,0-1,Mechelen
10/02/24,FDA,Club Brugge,4-0,AS Eupen
18/02/24,FDA,AS Eupen,0-2,Gent
25/02/24,FDA,AS Eupen,0-2,Cercle Brugge
03/03/24,FDA,Anderlecht,1-0,AS Eupen
10/03/24,FDA,AS Eupen,1-0,Sint-Truiden
16/03/24,FDA,Standard Liège,4-0,AS Eupen
21/03/24,CLF,Borussia M'gladbach,2-0,AS Eupen
07/04/24,FDA,AS Eupen,1-1,Kortrijk
13/04/24,FDA,RWDM,3-1,AS Eupen
21/04/24,FDA,Sporting Charleroi,1-0,AS Eupen
26/04/24,FDA,AS Eupen,1-2,Sporting Charleroi
05/05/24,FDA,Kortrijk,19:15,AS Eupen
11/05/24,FDA,AS Eupen,18:15,RWDM
22/12/21,CUP,Mechelen,1-3,AS Eupen
27/12/21,FDA,Sint-Truiden,2-0,AS Eupen
08/01/22,CLF,AS Eupen,1-2,Kaiserslautern
16/01/22,FDA,AS Eupen,0-2,Cercle Brugge
22/01/22,FDA,Kortrijk,1-1,AS Eupen
26/01/22,FDA,AS Eupen,0-2,Standard Liège
29/01/22,FDA,RFC Seraing,0-0,AS Eupen
03/02/22,CUP,AS Eupen,2-2,Anderlecht
06/02/22,FDA,Anderlecht,4-1,AS Eupen
12/02/22,FDA,AS Eupen,0-1,Gent
20/02/22,FDA,AS Eupen,1-3,Club Brugge
26/02/22,FDA,Union Saint-Gilloise,0-0,AS Eupen
03/03/22,CUP,Anderlecht,3-1,AS Eupen
06/03/22,FDA,AS Eupen,3-1,OH Leuven
12/03/22,FDA,Zulte Waregem,3-0,AS Eupen
19/03/22,FDA,AS Eupen,1-1,Mechelen
03/04/22,FDA,Genk,5-0,AS Eupen
09/04/22,FDA,AS Eupen,0-2,KV Oostende
26/06/22,CLF,Köln II,1-4,AS Eupen
02/07/22,CLF,AS Eupen,4-1,Alemannia Aachen
09/07/22,CLF,Kaiserslautern,4-1,AS Eupen
15/07/22,CLF,Ajax,1-1,AS Eupen
23/07/22,FDA,Sporting Charleroi,3-1,AS Eupen
31/07/22,FDA,AS Eupen,2-1,Club Brugge
06/08/22,FDA,Genk,4-2,AS Eupen
14/08/22,FDA,AS Eupen,0-1,Antwerp
19/08/22,FDA,AS Eupen,1-3,RFC Seraing
28/08/22,FDA,Westerlo,0-1,AS Eupen
03/09/22,FDA,AS Eupen,0-1,Kortrijk
10/09/22,FDA,KV Oostende,1-0,AS Eupen
18/09/22,FDA,AS Eupen,1-2,Union Saint-Gilloise
02/10/22,FDA,Sint-Truiden,0-1,AS Eupen
09/10/22,FDA,AS Eupen,0-4,Gent
15/10/22,FDA,Cercle Brugge,5-1,AS Eupen
18/10/22,FDA,AS Eupen,4-2,OH Leuven
22/10/22,FDA,Mechelen,2-1,AS Eupen
30/10/22,FDA,Anderlecht,4-2,AS Eupen
05/11/22,FDA,AS Eupen,2-0,Standard Liège
08/11/22,CUP,Deinze,3-0,AS Eupen
