Date,Competition,Home team,Score,Away team
20/04/23,UEC,AZ,P2-0P,Anderlecht
23/04/23,FDA,Anderlecht,2-3,Mechelen
24/06/23,CLF,Oudenaarde,0-5,Anderlecht
07/07/23,CLF,Anderlecht,3-1,Lokomotiva Zagreb
22/07/23,CLF,Anderlecht,3-0,Ajax
28/07/23,FDA,Union Saint-Gilloise,2-0,Anderlecht
06/08/23,FDA,Anderlecht,1-0,Antwerp
13/08/23,FDA,Sint-Truiden,0-1,Anderlecht
20/08/23,FDA,Anderlecht,2-1,Westerlo
27/08/23,FDA,Anderlecht,2-1,Sporting Charleroi
03/09/23,FDA,Genk,1-1,Anderlecht
17/09/23,FDA,Kortrijk,2-2,Anderlecht
24/09/23,FDA,Anderlecht,1-1,Club Brugge
30/09/23,FDA,AS Eupen,1-3,Anderlecht
07/10/23,FDA,Anderlecht,3-1,Mechelen
14/10/23,CLF,Anderlecht,1-0,Beerschot
22/10/23,FDA,Standard Liège,3-2,Anderlecht
28/10/23,FDA,Anderlecht,5-1,OH Leuven
31/10/23,CUP,RAAL La Louvière,0-1,Anderlecht
05/11/23,FDA,Cercle Brugge,0-3,Anderlecht
12/11/23,FDA,Gent,1-1,Anderlecht
26/11/23,FDA,Anderlecht,2-1,RWDM
01/12/23,FDA,Westerlo,1-3,Anderlecht
07/12/23,CUP,Anderlecht,2-0,Standard Liège
10/12/23,FDA,Anderlecht,2-2,Standard Liège
17/12/23,FDA,Antwerp,1-1,Anderlecht
23/12/23,FDA,Anderlecht,2-1,Genk
27/12/23,FDA,Anderlecht,2-0,Cercle Brugge
12/01/24,CLF,Anderlecht,0-0,Al Ahli
21/01/24,FDA,OH Leuven,1-1,Anderlecht
25/01/24,CUP,Union Saint-Gilloise,2-1,Anderlecht
28/01/24,FDA,Anderlecht,2-2,Union Saint-Gilloise
01/02/24,FDA,Mechelen,2-2,Anderlecht
04/02/24,FDA,Anderlecht,1-0,Gent
11/02/24,FDA,Sporting Charleroi,1-3,Anderlecht
18/02/24,FDA,Anderlecht,4-1,Sint-Truiden
25/02/24,FDA,Club Brugge,1-2,Anderlecht
03/03/24,FDA,Anderlecht,1-0,AS Eupen
09/03/24,FDA,RWDM,0-3,Anderlecht
16/03/24,FDA,Anderlecht,0-1,Kortrijk
30/03/24,FDA,Anderlecht,1-0,Antwerp
07/04/24,FDA,Club Brugge,3-1,Anderlecht
14/04/24,FDA,Anderlecht,2-1,Union Saint-Gilloise
20/04/24,FDA,Genk,2-1,Anderlecht
24/04/24,FDA,Anderlecht,3-0,Cercle Brugge
28/04/24,FDA,Cercle Brugge,1-1,Anderlecht
05/05/24,FDA,Union Saint-Gilloise,18:30,Anderlecht
11/05/24,FDA,Anderlecht,20:45,Genk
19/05/24,FDA,Anderlecht,18:30,Club Brugge
26/05/24,FDA,Antwerp,18:30,Anderlecht
07/08/22,FDA,Anderlecht,3-1,RFC Seraing
11/08/22,UEC,Anderlecht,3-0,Paide
14/08/22,FDA,Sint-Truiden,0-3,Anderlecht
18/08/22,UEC,Young Boys,0-1,Anderlecht
25/08/22,UEC,Anderlecht,P0-1P,Young Boys
28/08/22,FDA,Union Saint-Gilloise,2-1,Anderlecht
01/09/22,FDA,Anderlecht,0-1,Gent
04/09/22,FDA,Anderlecht,2-2,OH Leuven
08/09/22,UEC,Anderlecht,1-0,Silkeborg
11/09/22,FDA,Westerlo,2-1,Anderlecht
15/09/22,UEC,FCSB,0-0,Anderlecht
18/09/22,FDA,Anderlecht,4-1,Kortrijk
02/10/22,FDA,Anderlecht,0-1,Sporting Charleroi
06/10/22,UEC,Anderlecht,0-1,West Ham United
09/10/22,FDA,Mechelen,1-3,Anderlecht
13/10/22,UEC,West Ham United,2-1,Anderlecht
16/10/22,FDA,Anderlecht,0-1,Club Brugge
20/10/22,FDA,Zulte Waregem,3-2,Anderlecht
23/10/22,FDA,Standard Liège,5-0,Anderlecht
27/10/22,UEC,Anderlecht,2-2,FCSB
30/10/22,FDA,Anderlecht,4-2,AS Eupen
03/11/22,UEC,Silkeborg,0-2,Anderlecht
06/11/22,FDA,Antwerp,0-0,Anderlecht
