Date,Competition,Home team,Score,Away team
22/08/23,UCL,Antwerp,1-0,AEK Athens
30/08/23,UCL,AEK Athens,1-2,Antwerp
03/09/23,FDA,Union Saint-Gilloise,2-2,Antwerp
15/09/23,FDA,Westerlo,0-3,Antwerp
19/09/23,UCL,Barcelona,5-0,Antwerp
23/09/23,FDA,Antwerp,0-0,RWDM
27/09/23,FDA,Antwerp,0-0,Gent
30/09/23,FDA,Mechelen,0-0,Antwerp
04/10/23,UCL,Antwerp,2-3,Shakhtar Donetsk
08/10/23,FDA,Antwerp,4-1,AS Eupen
21/10/23,FDA,Sporting Charleroi,3-2,Antwerp
25/10/23,UCL,Antwerp,1-4,Porto
29/10/23,FDA,Club Brugge,2-1,Antwerp
01/11/23,CUP,Lierse K,1-4,Antwerp
04/11/23,FDA,Antwerp,3-2,Genk
07/11/23,UCL,Porto,2-0,Antwerp
11/11/23,FDA,Antwerp,6-0,Standard Liège
24/11/23,FDA,Sint-Truiden,1-1,Antwerp
28/11/23,UCL,Shakhtar Donetsk,1-0,Antwerp
02/12/23,FDA,Antwerp,1-0,OH Leuven
06/12/23,CUP,Antwerp,5-2,Sporting Charleroi
09/12/23,FDA,Cercle Brugge,1-3,Antwerp
13/12/23,UCL,Antwerp,3-2,Barcelona
17/12/23,FDA,Antwerp,1-1,Anderlecht
23/12/23,FDA,Antwerp,2-2,Westerlo
26/12/23,FDA,Genk,3-0,Antwerp
21/01/24,FDA,Antwerp,4-1,Sporting Charleroi
24/01/24,CUP,OH Leuven,2-3,Antwerp
28/01/24,FDA,AS Eupen,1-0,Antwerp
31/01/24,FDA,Standard Liège,0-1,Antwerp
04/02/24,FDA,Antwerp,2-1,Club Brugge
08/02/24,CUP,KV Oostende,1-1,Antwerp
11/02/24,FDA,RWDM,0-4,Antwerp
17/02/24,FDA,Antwerp,0-1,Mechelen
25/02/24,FDA,Gent,2-2,Antwerp
29/02/24,CUP,Antwerp,3-0,KV Oostende
03/03/24,FDA,Antwerp,3-0,Sint-Truiden
09/03/24,FDA,Kortrijk,0-1,Antwerp
17/03/24,FDA,Antwerp,1-1,Union Saint-Gilloise
30/03/24,FDA,Anderlecht,1-0,Antwerp
06/04/24,FDA,Antwerp,0-1,Genk
14/04/24,FDA,Club Brugge,3-0,Antwerp
