Date,Competition,Home team,Score,Away team
07/05/23,FDA,Westerlo,3-5,Cercle Brugge
13/05/23,FDA,Cercle Brugge,0-4,Gent
20/05/23,FDA,Gent,2-2,Cercle Brugge
27/05/23,FDA,Standard Liège,0-4,Cercle Brugge
03/06/23,FDA,Cercle Brugge,2-0,Westerlo
07/07/23,CLF,Servette,2-0,Cercle Brugge
15/07/23,CLF,Cercle Brugge,3-0,Monaco
22/07/23,CLF,Lille,7-2,Cercle Brugge
30/07/23,FDA,Antwerp,1-0,Cercle Brugge
05/08/23,FDA,Cercle Brugge,2-0,Sporting Charleroi
13/08/23,FDA,Cercle Brugge,0-1,Genk
19/08/23,FDA,Standard Liège,0-1,Cercle Brugge
27/08/23,FDA,Sint-Truiden,0-2,Cercle Brugge
02/09/23,FDA,Cercle Brugge,2-1,Westerlo
16/09/23,FDA,RWDM,2-1,Cercle Brugge
24/09/23,FDA,Cercle Brugge,0-2,Union Saint-Gilloise
29/09/23,FDA,Kortrijk,2-1,Cercle Brugge
07/10/23,FDA,Cercle Brugge,3-2,OH Leuven
13/10/23,CLF,Cercle Brugge,3-1,Deinze
22/10/23,FDA,Cercle Brugge,2-0,Gent
28/10/23,FDA,Mechelen,0-2,Cercle Brugge
31/10/23,CUP,Cercle Brugge,P2-2P,Zulte Waregem
05/11/23,FDA,Cercle Brugge,0-3,Anderlecht
12/11/23,FDA,Club Brugge,0-0,Cercle Brugge
25/11/23,FDA,Cercle Brugge,2-0,AS Eupen
03/12/23,FDA,Union Saint-Gilloise,2-1,Cercle Brugge
09/12/23,FDA,Cercle Brugge,1-3,Antwerp
16/12/23,FDA,OH Leuven,1-2,Cercle Brugge
20/12/23,FDA,Cercle Brugge,3-0,Kortrijk
27/12/23,FDA,Anderlecht,2-0,Cercle Brugge
20/01/24,FDA,Genk,1-1,Cercle Brugge
26/01/24,FDA,Cercle Brugge,1-1,Standard Liège
30/01/24,FDA,Westerlo,4-2,Cercle Brugge
04/02/24,FDA,Cercle Brugge,4-1,Sint-Truiden
11/02/24,FDA,Gent,1-2,Cercle Brugge
18/02/24,FDA,Cercle Brugge,1-1,Club Brugge
25/02/24,FDA,AS Eupen,0-2,Cercle Brugge
02/03/24,FDA,Cercle Brugge,2-3,Mechelen
09/03/24,FDA,Sporting Charleroi,0-0,Cercle Brugge
17/03/24,FDA,Cercle Brugge,4-0,RWDM
01/04/24,FDA,Cercle Brugge,1-1,Club Brugge
07/04/24,FDA,Union Saint-Gilloise,2-3,Cercle Brugge
13/04/24,FDA,Genk,1-1,Cercle Brugge
21/04/24,FDA,Cercle Brugge,0-1,Antwerp
24/04/24,FDA,Anderlecht,3-0,Cercle Brugge
28/04/24,FDA,Cercle Brugge,1-1,Anderlecht
04/05/24,FDA,Cercle Brugge,20:45,Genk
12/05/24,FDA,Antwerp,18:30,Cercle Brugge
19/05/24,FDA,Cercle Brugge,13:30,Union Saint-Gilloise
26/05/24,FDA,Club Brugge,18:30,Cercle Brugge
19/02/22,FDA,Cercle Brugge,2-0,Beerschot
26/02/22,FDA,Mechelen,2-2,Cercle Brugge
05/03/22,FDA,Cercle Brugge,2-2,Genk
12/03/22,FDA,Cercle Brugge,2-0,Kortrijk
19/03/22,FDA,Sporting Charleroi,5-0,Cercle Brugge
24/03/22,CLF,Monaco,CANC,Cercle Brugge
03/04/22,FDA,Cercle Brugge,2-2,Gent
09/04/22,FDA,Antwerp,1-1,Cercle Brugge
25/06/22,CLF,Monaco,1-0,Cercle Brugge
02/07/22,CLF,PSV,2-2,Cercle Brugge
09/07/22,CLF,Nice,1-1,Cercle Brugge
16/07/22,CLF,Dender,0-5,Cercle Brugge
