Date,Competition,Home team,Score,Away team
13/08/23,FDA,Cercle Brugge,0-1,Genk
17/08/23,UEL,Genk,1-1,Olympiakos
20/08/23,FDA,Genk,0-0,Sporting Charleroi
24/08/23,UEC,Genk,2-1,Adana Demirspor
31/08/23,UEC,Adana Demirspor,P1-0P,Genk
03/09/23,FDA,Genk,1-1,Anderlecht
16/09/23,FDA,Union Saint-Gilloise,0-2,Genk
21/09/23,UEC,Genk,2-2,Fiorentina
24/09/23,FDA,Genk,3-3,Sint-Truiden
28/09/23,FDA,Club Brugge,1-1,Genk
01/10/23,FDA,Genk,3-3,Westerlo
05/10/23,UEC,Cukaricki,0-2,Genk
08/10/23,FDA,Gent,1-1,Genk
22/10/23,FDA,Genk,4-0,Mechelen
26/10/23,UEC,Genk,0-0,Ferencváros
29/10/23,FDA,Kortrijk,0-3,Genk
01/11/23,CUP,URSL Visé,0-4,Genk
04/11/23,FDA,Antwerp,3-2,Genk
09/11/23,UEC,Ferencváros,1-1,Genk
12/11/23,FDA,Genk,3-1,OH Leuven
25/11/23,FDA,Standard Liège,1-0,Genk
30/11/23,UEC,Fiorentina,2-1,Genk
03/12/23,FDA,Genk,2-2,Gent
06/12/23,CUP,KV Oostende,E3-1E,Genk
10/12/23,FDA,AS Eupen,1-3,Genk
14/12/23,UEC,Genk,2-0,Cukaricki
17/12/23,FDA,Genk,4-0,Kortrijk
23/12/23,FDA,Anderlecht,2-1,Genk
26/12/23,FDA,Genk,3-0,Antwerp
09/01/24,CLF,Lugano,0-4,Genk
20/01/24,FDA,Genk,1-1,Cercle Brugge
28/01/24,FDA,Sint-Truiden,1-1,Genk
31/01/24,FDA,OH Leuven,2-1,Genk
03/02/24,FDA,Genk,0-1,Union Saint-Gilloise
11/02/24,FDA,Mechelen,1-1,Genk
17/02/24,FDA,Genk,3-1,RWDM
23/02/24,FDA,Sporting Charleroi,0-1,Genk
03/03/24,FDA,Genk,0-3,Club Brugge
10/03/24,FDA,Genk,1-0,Standard Liège
17/03/24,FDA,Westerlo,1-1,Genk
01/04/24,FDA,Genk,1-0,Union Saint-Gilloise
06/04/24,FDA,Antwerp,0-1,Genk
13/04/24,FDA,Genk,1-1,Cercle Brugge
20/04/24,FDA,Genk,2-1,Anderlecht
24/04/24,FDA,Club Brugge,4-0,Genk
28/04/24,FDA,Genk,0-3,Club Brugge
04/05/24,FDA,Cercle Brugge,20:45,Genk
11/05/24,FDA,Anderlecht,20:45,Genk
20/05/24,FDA,Genk,18:30,Antwerp
26/05/24,FDA,Union Saint-Gilloise,18:30,Genk
20/08/22,FDA,Genk,2-1,Cercle Brugge
27/08/22,FDA,RFC Seraing,0-4,Genk
03/09/22,FDA,Genk,0-0,Sint-Truiden
11/09/22,FDA,Union Saint-Gilloise,1-2,Genk
18/09/22,FDA,Genk,1-0,Gent
01/10/22,FDA,KV Oostende,1-2,Genk
08/10/22,FDA,Genk,2-1,Kortrijk
15/10/22,FDA,OH Leuven,0-1,Genk
18/10/22,FDA,Genk,6-1,Westerlo
23/10/22,FDA,Antwerp,1-3,Genk
28/10/22,FDA,Genk,3-1,Mechelen
04/11/22,FDA,Genk,4-1,Sporting Charleroi
09/11/22,CUP,Westerlo,0-1,Genk
13/11/22,FDA,Anderlecht,0-2,Genk
06/12/22,CLF,Genk,3-1,Heerenveen
13/12/22,CLF,Genk,1-0,Metz
21/12/22,CUP,Genk,E1-0E,Anderlecht
26/12/22,FDA,Kortrijk,1-0,Genk
08/01/23,FDA,Genk,3-1,Club Brugge
11/01/23,CUP,Genk,0-3,Antwerp
14/01/23,FDA,Genk,1-0,Zulte Waregem
17/01/23,FDA,Westerlo,2-3,Genk
29/01/23,FDA,Genk,4-0,RFC Seraing
01/02/23,FDA,AS Eupen,1-1,Genk
05/02/23,FDA,Gent,2-3,Genk
12/02/23,FDA,Genk,0-1,Antwerp
17/02/23,FDA,Mechelen,2-2,Genk
25/02/23,FDA,Genk,3-0,KV Oostende
05/03/23,FDA,Sint-Truiden,2-2,Genk
12/03/23,FDA,Genk,1-2,Union Saint-Gilloise
17/03/23,FDA,Cercle Brugge,1-1,Genk
02/04/23,FDA,Genk,2-1,OH Leuven
09/04/23,FDA,Standard Liège,2-0,Genk
16/04/23,FDA,Genk,5-2,Anderlecht
23/04/23,FDA,Sporting Charleroi,2-2,Genk
30/04/23,FDA,Genk,3-1,Club Brugge
07/05/23,FDA,Antwerp,2-1,Genk
14/05/23,FDA,Union Saint-Gilloise,3-0,Genk
21/05/23,FDA,Genk,1-1,Union Saint-Gilloise
28/05/23,FDA,Club Brugge,1-3,Genk
04/06/23,FDA,Genk,2-2,Antwerp
01/07/23,CLF,Genk,3-0,Tienen
12/07/23,CLF,PAOK,3-2,Genk
19/07/23,CLF,Sporting Lisbon,1-1,Genk
22/07/23,CLF,Genk,2-0,Burnley
25/07/23,UCL,Servette,1-1,Genk
