Date,Competition,Home team,Score,Away team
24/08/23,UEC,Gent,2-0,APOEL
31/08/23,UEC,APOEL,1-2,Gent
03/09/23,FDA,Gent,2-1,Club Brugge
17/09/23,FDA,OH Leuven,1-1,Gent
21/09/23,UEC,Zorya,1-1,Gent
24/09/23,FDA,Gent,2-1,AS Eupen
27/09/23,FDA,Antwerp,0-0,Gent
01/10/23,FDA,RWDM,1-1,Gent
05/10/23,UEC,Gent,2-0,Maccabi Tel Aviv
08/10/23,FDA,Gent,1-1,Genk
22/10/23,FDA,Cercle Brugge,2-0,Gent
26/10/23,UEC,Gent,5-0,Breidablik
29/10/23,FDA,Gent,3-1,Standard Liège
01/11/23,CUP,Patro Eisden,1-3,Gent
05/11/23,FDA,Sporting Charleroi,1-3,Gent
09/11/23,UEC,Breidablik,2-3,Gent
12/11/23,FDA,Gent,1-1,Anderlecht
26/11/23,FDA,Gent,1-1,Union Saint-Gilloise
30/11/23,UEC,Gent,4-1,Zorya
03/12/23,FDA,Genk,2-2,Gent
06/12/23,CUP,Sint-Truiden,0-1,Gent
09/12/23,FDA,Gent,4-0,RWDM
14/12/23,UEC,Maccabi Tel Aviv,3-1,Gent
17/12/23,FDA,Club Brugge,2-0,Gent
21/12/23,FDA,Gent,4-0,OH Leuven
26/12/23,FDA,Kortrijk,0-2,Gent
12/01/24,CLF,Gent,2-1,CFR Cluj
16/01/24,CUP,Gent,0-1,Club Brugge
19/01/24,FDA,Gent,1-2,Mechelen
27/01/24,FDA,Gent,2-2,Westerlo
01/02/24,FDA,Sint-Truiden,4-1,Gent
04/02/24,FDA,Anderlecht,1-0,Gent
11/02/24,FDA,Gent,1-2,Cercle Brugge
15/02/24,UEC,Maccabi Haifa,1-0,Gent
18/02/24,FDA,AS Eupen,0-2,Gent
21/02/24,UEC,Gent,1-1,Maccabi Haifa
25/02/24,FDA,Gent,2-2,Antwerp
02/03/24,FDA,Standard Liège,4-2,Gent
10/03/24,FDA,Union Saint-Gilloise,1-1,Gent
17/03/24,FDA,Gent,5-0,Sporting Charleroi
29/03/24,FDA,Gent,5-1,Standard Liège
07/04/24,FDA,Westerlo,0-3,Gent
14/04/24,FDA,OH Leuven,2-1,Gent
20/04/24,FDA,Gent,3-1,Mechelen
23/04/24,FDA,Sint-Truiden,0-2,Gent
27/04/24,FDA,Gent,3-2,Westerlo
04/05/24,FDA,Mechelen,18:15,Gent
12/05/24,FDA,Gent,13:30,OH Leuven
18/05/24,FDA,Standard Liège,20:45,Gent
25/05/24,FDA,Gent,20:30,Sint-Truiden
03/11/22,UEC,Gent,4-0,Molde
06/11/22,FDA,Gent,2-0,Club Brugge
09/11/22,CUP,Dessel Sport,0-5,Gent
13/11/22,FDA,Kortrijk,0-4,Gent
07/12/22,CLF,KRC Gent,0-5,Gent
14/12/22,CLF,Gent,4-1,Heerenveen
20/12/22,CUP,Gent,E2-0E,Cercle Brugge
23/12/22,FDA,Gent,0-0,Standard Liège
07/01/23,FDA,Antwerp,2-0,Gent
12/01/23,CUP,Union Saint-Gilloise,4-0,Gent
15/01/23,FDA,Gent,2-1,Kortrijk
19/01/23,FDA,Gent,0-0,Sporting Charleroi
22/01/23,FDA,Sint-Truiden,0-3,Gent
29/01/23,FDA,Cercle Brugge,3-2,Gent
05/02/23,FDA,Gent,2-3,Genk
11/02/23,FDA,Westerlo,3-3,Gent
16/02/23,UEC,Qarabag,1-0,Gent
19/02/23,FDA,Gent,2-0,OH Leuven
23/02/23,UEC,Gent,P1-0P,Qarabag
26/02/23,FDA,Club Brugge,2-0,Gent
05/03/23,FDA,Gent,1-0,Anderlecht
09/03/23,UEC,Gent,1-1,Istanbul Basaksehir
12/03/23,FDA,Zulte Waregem,2-6,Gent
15/03/23,UEC,Istanbul Basaksehir,1-4,Gent
19/03/23,FDA,Gent,3-0,AS Eupen
01/04/23,FDA,RFC Seraing,0-5,Gent
08/04/23,FDA,Gent,1-1,Union Saint-Gilloise
13/04/23,UEC,Gent,1-1,West Ham United
16/04/23,FDA,Mechelen,1-1,Gent
20/04/23,UEC,West Ham United,4-1,Gent
23/04/23,FDA,Gent,1-2,KV Oostende
28/04/23,FDA,Gent,3-1,Westerlo
06/05/23,FDA,Standard Liège,1-2,Gent
13/05/23,FDA,Cercle Brugge,0-4,Gent
20/05/23,FDA,Gent,2-2,Cercle Brugge
27/05/23,FDA,Westerlo,1-3,Gent
03/06/23,FDA,Gent,3-1,Standard Liège
30/06/23,CLF,Merelbeke,1-9,Gent
08/07/23,CLF,Lokomotiva Zagreb,2-1,Gent
12/07/23,CLF,Utrecht,0-2,Gent
15/07/23,CLF,Volendam,1-2,Gent
21/07/23,CLF,Gent,2-2,Mamelodi Sundowns
27/07/23,UEC,Gent,5-1,Zilina
30/07/23,FDA,Gent,3-2,Kortrijk
03/08/23,UEC,Zilina,2-5,Gent
06/08/23,FDA,Mechelen,0-1,Gent
09/08/23,UEC,Gent,5-0,Pogon Szczecin
13/08/23,FDA,Westerlo,1-3,Gent
17/08/23,UEC,Pogon Szczecin,2-1,Gent
20/08/23,FDA,Gent,2-2,Sint-Truiden
06/02/22,FDA,Club Brugge,1-2,Gent
12/02/22,FDA,AS Eupen,0-1,Gent
23/02/22,FDA,Gent,4-0,RFC Seraing
27/02/22,FDA,Standard Liège,0-1,Gent
02/03/22,CUP,Club Brugge,0-3,Gent
06/03/22,FDA,Gent,2-1,Zulte Waregem
10/03/22,UEC,PAOK,1-0,Gent
13/03/22,FDA,Beerschot,0-2,Gent
17/03/22,UEC,Gent,1-2,PAOK
20/03/22,FDA,Gent,1-0,Anderlecht
03/04/22,FDA,Cercle Brugge,2-2,Gent
10/04/22,FDA,Gent,5-0,OH Leuven
18/04/22,CUP,Gent,P0-0P,Anderlecht
24/04/22,FDA,Gent,0-1,Genk
30/04/22,FDA,Sporting Charleroi,1-3,Gent
07/05/22,FDA,Gent,1-0,Mechelen
10/05/22,FDA,Mechelen,1-2,Gent
15/05/22,FDA,Genk,0-2,Gent
21/05/22,FDA,Gent,1-2,Sporting Charleroi
29/05/22,FDA,Gent,CANC,Antwerp
18/06/22,CLF,Dikkelvenne,0-6,Gent
24/06/22,CLF,Westerlo,6-2,Gent
01/07/22,CLF,Hajduk Split,0-3,Gent
04/07/22,CLF,Aris,1-0,Gent
09/07/22,CLF,Gent,2-1,Midtjylland
12/07/22,CLF,Gent,2-2,SK Beveren
17/07/22,SUC,Club Brugge,1-0,Gent
22/07/22,FDA,Standard Liège,2-2,Gent
30/07/22,FDA,Gent,1-1,Sint-Truiden
06/08/22,CLF,Lommel,CANC,Gent
07/08/22,FDA,Gent,2-1,Westerlo
12/08/22,FDA,KV Oostende,1-3,Gent
18/08/22,UEL,Gent,0-2,Omonia Nicosia
25/08/22,UEL,Omonia Nicosia,2-0,Gent
28/08/22,FDA,Gent,1-2,Antwerp
01/09/22,FDA,Anderlecht,0-1,Gent
04/09/22,FDA,Sporting Charleroi,2-1,Gent
08/09/22,UEC,Molde,0-0,Gent
11/09/22,FDA,Gent,2-0,Zulte Waregem
15/09/22,UEC,Gent,3-0,Shamrock Rovers
18/09/22,FDA,Genk,1-0,Gent
02/10/22,FDA,Gent,3-4,Cercle Brugge
06/10/22,UEC,Gent,0-1,Djurgården
09/10/22,FDA,AS Eupen,0-4,Gent
13/10/22,UEC,Djurgården,4-2,Gent
16/10/22,FDA,Gent,3-0,Mechelen
19/10/22,FDA,Union Saint-Gilloise,2-0,Gent
23/10/22,FDA,Gent,2-1,RFC Seraing
27/10/22,UEC,Shamrock Rovers,1-1,Gent
30/10/22,FDA,OH Leuven,1-1,Gent
22/05/21,FDA,Mechelen,1-2,Gent
18/06/21,CLF,Dikkelvenne,2-3,Gent
09/07/21,CLF,Utrecht,3-0,Gent
