Date,Competition,Home team,Score,Away team
18/03/23,FDA,Kortrijk,1-0,Club Brugge
01/04/23,FDA,Cercle Brugge,2-0,Kortrijk
08/04/23,FDA,Kortrijk,0-0,AS Eupen
16/04/23,FDA,Antwerp,1-0,Kortrijk
23/04/23,FDA,Kortrijk,2-4,Union Saint-Gilloise
17/06/23,CLF,Eendracht Wervik,2-1,Kortrijk
24/06/23,CLF,Harelbeke,2-6,Kortrijk
28/06/23,CLF,Oudenaarde,2-4,Kortrijk
01/07/23,CLF,Kortrijk,0-2,SK Beveren
05/07/23,CLF,Kortrijk,2-1,RWDM
08/07/23,CLF,RKC Waalwijk,0-0,Kortrijk
22/07/23,CLF,Kortrijk,2-1,Volendam
30/07/23,FDA,Gent,3-2,Kortrijk
06/08/23,FDA,Kortrijk,0-1,Sint-Truiden
11/08/23,FDA,Antwerp,6-0,Kortrijk
20/08/23,FDA,Kortrijk,1-3,AS Eupen
26/08/23,FDA,Kortrijk,1-1,Standard Liège
01/09/23,FDA,OH Leuven,3-0,Kortrijk
17/09/23,FDA,Kortrijk,2-2,Anderlecht
23/09/23,FDA,Sporting Charleroi,1-0,Kortrijk
29/09/23,FDA,Kortrijk,2-1,Cercle Brugge
07/10/23,FDA,Westerlo,1-0,Kortrijk
21/10/23,FDA,Kortrijk,1-0,Club Brugge
29/10/23,FDA,Kortrijk,0-3,Genk
01/11/23,CUP,Dender,P1-1P,Kortrijk
04/11/23,FDA,RWDM,1-1,Kortrijk
12/11/23,FDA,Union Saint-Gilloise,3-0,Kortrijk
26/11/23,FDA,Kortrijk,0-3,Mechelen
02/12/23,FDA,AS Eupen,1-1,Kortrijk
05/12/23,CUP,Kortrijk,0-1,RWDM
08/12/23,FDA,Kortrijk,1-2,Westerlo
17/12/23,FDA,Genk,4-0,Kortrijk
20/12/23,FDA,Cercle Brugge,3-0,Kortrijk
26/12/23,FDA,Kortrijk,0-2,Gent
20/01/24,FDA,Standard Liège,0-1,Kortrijk
27/01/24,FDA,Kortrijk,0-0,OH Leuven
30/01/24,FDA,Club Brugge,3-3,Kortrijk
03/02/24,FDA,Kortrijk,1-0,Sporting Charleroi
09/02/24,FDA,Sint-Truiden,1-0,Kortrijk
18/02/24,FDA,Kortrijk,1-3,Union Saint-Gilloise
24/02/24,FDA,Mechelen,3-0,Kortrijk
03/03/24,FDA,Kortrijk,3-2,RWDM
09/03/24,FDA,Kortrijk,0-1,Antwerp
16/03/24,FDA,Anderlecht,0-1,Kortrijk
07/04/24,FDA,AS Eupen,1-1,Kortrijk
14/04/24,FDA,Kortrijk,1-2,Sporting Charleroi
21/04/24,FDA,Kortrijk,2-4,RWDM
28/04/24,FDA,RWDM,0-1,Kortrijk
05/05/24,FDA,Kortrijk,19:15,AS Eupen
11/05/24,FDA,Sporting Charleroi,18:15,Kortrijk
30/01/22,FDA,Kortrijk,0-1,Club Brugge
02/02/22,FDA,Kortrijk,0-2,Antwerp
05/02/22,FDA,Kortrijk,1-3,Sint-Truiden
