Date,Competition,Home team,Score,Away team
23/04/23,FDA,Anderlecht,2-3,Mechelen
30/04/23,CUP,Mechelen,0-2,Antwerp
24/06/23,CLF,Tempo Overijse,0-5,Mechelen
01/07/23,CLF,Rupel Boom,0-3,Mechelen
08/07/23,CLF,SK Beveren,0-3,Mechelen
14/07/23,CLF,Mechelen,3-2,Maccabi Netanya
23/07/23,SUC,Antwerp,P1-1P,Mechelen
30/07/23,FDA,Club Brugge,1-1,Mechelen
06/08/23,FDA,Mechelen,0-1,Gent
12/08/23,FDA,RWDM,1-0,Mechelen
19/08/23,FDA,Mechelen,4-0,Union Saint-Gilloise
26/08/23,FDA,Westerlo,2-3,Mechelen
02/09/23,FDA,Mechelen,1-0,AS Eupen
17/09/23,FDA,Sint-Truiden,2-0,Mechelen
23/09/23,FDA,Mechelen,1-2,OH Leuven
30/09/23,FDA,Mechelen,0-0,Antwerp
07/10/23,FDA,Anderlecht,3-1,Mechelen
12/10/23,CLF,Mechelen,2-0,Zulte Waregem
22/10/23,FDA,Genk,4-0,Mechelen
28/10/23,FDA,Mechelen,0-2,Cercle Brugge
31/10/23,CUP,Knokke,P1-1P,Mechelen
05/11/23,FDA,Standard Liège,1-1,Mechelen
11/11/23,FDA,Mechelen,1-0,Sporting Charleroi
26/11/23,FDA,Kortrijk,0-3,Mechelen
03/12/23,FDA,Mechelen,0-2,Sint-Truiden
10/12/23,FDA,Mechelen,0-0,Club Brugge
17/12/23,FDA,Union Saint-Gilloise,1-0,Mechelen
20/12/23,FDA,Mechelen,3-0,Standard Liège
27/12/23,FDA,Sporting Charleroi,3-1,Mechelen
10/01/24,CLF,Hertha Berlin,0-3,Mechelen
19/01/24,FDA,Gent,1-2,Mechelen
28/01/24,FDA,Mechelen,3-1,RWDM
01/02/24,FDA,Mechelen,2-2,Anderlecht
04/02/24,FDA,AS Eupen,0-1,Mechelen
11/02/24,FDA,Mechelen,1-1,Genk
17/02/24,FDA,Antwerp,0-1,Mechelen
24/02/24,FDA,Mechelen,3-0,Kortrijk
02/03/24,FDA,Cercle Brugge,2-3,Mechelen
08/03/24,FDA,Mechelen,3-1,Westerlo
17/03/24,FDA,OH Leuven,1-0,Mechelen
30/03/24,FDA,OH Leuven,2-3,Mechelen
05/04/24,FDA,Mechelen,2-3,Sint-Truiden
13/04/24,FDA,Mechelen,3-2,Westerlo
20/04/24,FDA,Gent,3-1,Mechelen
23/04/24,FDA,Standard Liège,0-0,Mechelen
27/04/24,FDA,Mechelen,3-0,OH Leuven
04/05/24,FDA,Mechelen,18:15,Gent
12/05/24,FDA,Sint-Truiden,16:00,Mechelen
18/05/24,FDA,Westerlo,18:15,Mechelen
25/05/24,FDA,Mechelen,20:30,Standard Liège
21/05/22,FDA,Mechelen,0-0,Genk
25/06/22,CLF,Kortrijk,3-1,Mechelen
02/07/22,CLF,Antwerp,CANC,Mechelen
06/07/22,CLF,Mechelen,CANC,Go Ahead Eagles
09/07/22,CLF,Mechelen,CANC,Helmond Sport
09/07/22,CLF,Mechelen,1-0,Maccabi Haifa
13/07/22,CLF,Mechelen,0-0,RWDM
16/07/22,CLF,Mechelen,CANC,Fortuna Sittard
16/07/22,CLF,Mechelen,3-4,Wolfsburg
24/07/22,FDA,Mechelen,0-2,Antwerp
30/07/22,FDA,KV Oostende,2-1,Mechelen
06/08/22,FDA,Mechelen,3-0,Union Saint-Gilloise
13/08/22,FDA,Cercle Brugge,0-0,Mechelen
21/08/22,FDA,Mechelen,5-4,Westerlo
27/08/22,FDA,Sint-Truiden,3-1,Mechelen
03/09/22,FDA,Mechelen,2-3,RFC Seraing
10/09/22,FDA,Kortrijk,1-4,Mechelen
17/09/22,FDA,Mechelen,0-0,OH Leuven
01/10/22,FDA,Club Brugge,3-0,Mechelen
09/10/22,FDA,Mechelen,1-3,Anderlecht
16/10/22,FDA,Gent,3-0,Mechelen
19/10/22,FDA,Mechelen,2-0,Standard Liège
22/10/22,FDA,Mechelen,2-1,AS Eupen
28/10/22,FDA,Genk,3-1,Mechelen
05/11/22,FDA,Mechelen,2-2,Zulte Waregem
09/11/22,CUP,Lokeren-Temse,0-5,Mechelen
12/11/22,FDA,Sporting Charleroi,0-5,Mechelen
04/12/22,CLF,NAC Breda,0-2,Mechelen
14/12/22,CLF,Espanyol,1-1,Mechelen
20/12/22,CUP,Mechelen,1-0,RFC Seraing
23/12/22,FDA,Mechelen,1-1,Cercle Brugge
08/01/23,FDA,Zulte Waregem,2-0,Mechelen
11/01/23,CUP,Kortrijk,0-1,Mechelen
14/01/23,FDA,Mechelen,2-1,KV Oostende
17/01/23,FDA,Standard Liège,2-0,Mechelen
21/01/23,FDA,Mechelen,3-2,Kortrijk
28/01/23,FDA,Westerlo,2-0,Mechelen
02/02/23,CUP,Zulte Waregem,1-2,Mechelen
05/02/23,FDA,Mechelen,2-2,Sporting Charleroi
10/02/23,FDA,AS Eupen,2-1,Mechelen
17/02/23,FDA,Mechelen,2-2,Genk
25/02/23,FDA,RFC Seraing,0-2,Mechelen
28/02/23,CUP,Mechelen,1-0,Zulte Waregem
05/03/23,FDA,Antwerp,5-0,Mechelen
11/03/23,FDA,Mechelen,1-0,Sint-Truiden
19/03/23,FDA,Union Saint-Gilloise,2-1,Mechelen
23/03/23,CLF,Mechelen,0-4,Lommel
02/04/23,FDA,Mechelen,0-3,Club Brugge
08/04/23,FDA,OH Leuven,4-1,Mechelen
16/04/23,FDA,Mechelen,1-1,Gent
30/06/21,CLF,Mechelen,2-7,Utrecht
02/07/21,CLF,Mechelen,CANC,Sint-Truiden
09/07/21,CLF,Mechelen,2-2,Roda JC
10/07/21,CLF,Standard Liège,2-2,Mechelen
17/07/21,CLF,Mechelen,2-1,Volos NFC
18/07/21,CLF,Mechelen,1-3,Westerlo
25/07/21,FDA,Mechelen,3-2,Antwerp
31/07/21,FDA,RFC Seraing,1-0,Mechelen
07/08/21,FDA,Mechelen,1-3,AS Eupen
15/08/21,FDA,Gent,2-0,Mechelen
22/08/21,FDA,Mechelen,3-1,Union Saint-Gilloise
27/08/21,FDA,Kortrijk,2-2,Mechelen
12/09/21,FDA,Anderlecht,7-2,Mechelen
18/09/21,FDA,Mechelen,2-0,OH Leuven
26/09/21,FDA,Sporting Charleroi,0-2,Mechelen
01/10/21,FDA,Mechelen,3-1,Standard Liège
08/10/21,CLF,Deinze,CANC,Mechelen
17/10/21,FDA,Beerschot,0-1,Mechelen
23/10/21,FDA,Mechelen,2-2,Zulte Waregem
26/10/21,CUP,Mechelen,2-1,Union Saint-Gilloise
29/10/21,FDA,KV Oostende,2-4,Mechelen
06/11/21,FDA,Mechelen,0-1,Sint-Truiden
19/11/21,FDA,Mechelen,2-1,Club Brugge
27/11/21,FDA,Cercle Brugge,3-1,Mechelen
01/12/21,CUP,Mechelen,E2-1E,Cercle Brugge
05/12/21,FDA,Mechelen,1-1,Genk
12/12/21,FDA,Union Saint-Gilloise,2-0,Mechelen
15/12/21,FDA,Mechelen,4-3,Gent
18/12/21,FDA,Zulte Waregem,3-2,Mechelen
22/12/21,CUP,Mechelen,1-3,AS Eupen
27/12/21,FDA,Mechelen,2-0,RFC Seraing
07/01/22,CLF,Wehen Wiesbaden,4-1,Mechelen
15/01/22,FDA,OH Leuven,5-0,Mechelen
23/01/22,FDA,Mechelen,0-1,Anderlecht
30/01/22,FDA,Standard Liège,1-2,Mechelen
06/02/22,FDA,Mechelen,3-2,Beerschot
12/02/22,FDA,Mechelen,3-0,KV Oostende
16/02/22,FDA,Genk,4-1,Mechelen
20/02/22,FDA,Antwerp,1-2,Mechelen
26/02/22,FDA,Mechelen,2-2,Cercle Brugge
04/03/22,FDA,Sint-Truiden,1-1,Mechelen
12/03/22,FDA,Mechelen,2-2,Sporting Charleroi
19/03/22,FDA,AS Eupen,1-1,Mechelen
02/04/22,FDA,Mechelen,3-2,Kortrijk
10/04/22,FDA,Club Brugge,2-0,Mechelen
23/04/22,FDA,Mechelen,1-0,Sporting Charleroi
29/04/22,FDA,Genk,4-2,Mechelen
07/05/22,FDA,Gent,1-0,Mechelen
10/05/22,FDA,Mechelen,1-2,Gent
14/05/22,FDA,Sporting Charleroi,3-2,Mechelen
11/07/20,CLF,Club Brugge,6-0,Mechelen
18/07/20,CLF,Mechelen,0-6,Westerlo
18/07/20,CLF,Standard Liège,4-0,Mechelen
25/07/20,CLF,RFC Seraing,0-0,Mechelen
25/07/20,CLF,OH Leuven,3-0,Mechelen
01/08/20,CLF,Metz,1-0,Mechelen
09/08/20,FDA,Mechelen,2-2,Anderlecht
14/08/20,FDA,Excel Mouscron,0-1,Mechelen
22/08/20,FDA,Mechelen,2-3,Cercle Brugge
30/08/20,FDA,Gent,1-0,Mechelen
12/09/20,FDA,Mechelen,0-1,KV Oostende
20/09/20,FDA,Genk,3-1,Mechelen
26/09/20,FDA,Mechelen,2-0,Sint-Truiden
02/10/20,FDA,Antwerp,4-1,Mechelen
17/10/20,FDA,Mechelen,1-2,Kortrijk
