Date,Competition,Home team,Score,Away team
15/04/23,FDA,KV Oostende,0-4,OH Leuven
23/04/23,FDA,OH Leuven,3-2,Standard Liège
21/06/23,CLF,OH Leuven,9-0,Bertem-Leefdaal
24/06/23,CLF,OH Leuven,3-0,Racing Mechelen
28/06/23,CLF,OH Leuven,4-0,Tienen
01/07/23,CLF,OH Leuven,1-0,Beerschot
12/07/23,CLF,OH Leuven,5-1,SK Beveren
29/07/23,FDA,Sporting Charleroi,1-1,OH Leuven
05/08/23,FDA,OH Leuven,1-2,RWDM
12/08/23,FDA,Union Saint-Gilloise,5-1,OH Leuven
18/08/23,FDA,OH Leuven,1-1,Antwerp
26/08/23,FDA,AS Eupen,3-1,OH Leuven
01/09/23,FDA,OH Leuven,3-0,Kortrijk
17/09/23,FDA,OH Leuven,1-1,Gent
23/09/23,FDA,Mechelen,1-2,OH Leuven
30/09/23,FDA,OH Leuven,1-2,Standard Liège
07/10/23,FDA,Cercle Brugge,3-2,OH Leuven
22/10/23,FDA,OH Leuven,4-0,Sint-Truiden
28/10/23,FDA,Anderlecht,5-1,OH Leuven
01/11/23,CUP,OH Leuven,5-0,Elene-Grotenberge
04/11/23,FDA,OH Leuven,0-2,Westerlo
12/11/23,FDA,Genk,3-1,OH Leuven
26/11/23,FDA,OH Leuven,0-1,Club Brugge
02/12/23,FDA,Antwerp,1-0,OH Leuven
06/12/23,CUP,Knokke,P1-1P,OH Leuven
09/12/23,FDA,Sint-Truiden,1-1,OH Leuven
16/12/23,FDA,OH Leuven,1-2,Cercle Brugge
21/12/23,FDA,Gent,4-0,OH Leuven
26/12/23,FDA,OH Leuven,3-0,AS Eupen
21/01/24,FDA,OH Leuven,1-1,Anderlecht
24/01/24,CUP,OH Leuven,2-3,Antwerp
27/01/24,FDA,Kortrijk,0-0,OH Leuven
31/01/24,FDA,OH Leuven,2-1,Genk
03/02/24,FDA,Westerlo,0-3,OH Leuven
10/02/24,FDA,Standard Liège,1-0,OH Leuven
17/02/24,FDA,OH Leuven,0-0,Sporting Charleroi
24/02/24,FDA,RWDM,1-1,OH Leuven
02/03/24,FDA,OH Leuven,0-2,Union Saint-Gilloise
10/03/24,FDA,Club Brugge,3-1,OH Leuven
17/03/24,FDA,OH Leuven,1-0,Mechelen
30/03/24,FDA,OH Leuven,2-3,Mechelen
06/04/24,FDA,Standard Liège,0-0,OH Leuven
14/04/24,FDA,OH Leuven,2-1,Gent
20/04/24,FDA,OH Leuven,1-0,Sint-Truiden
23/04/24,FDA,Westerlo,1-1,OH Leuven
27/04/24,FDA,Mechelen,3-0,OH Leuven
05/05/24,FDA,OH Leuven,16:00,Standard Liège
12/05/24,FDA,Gent,13:30,OH Leuven
17/05/24,FDA,Sint-Truiden,20:45,OH Leuven
25/05/24,FDA,OH Leuven,20:30,Westerlo
05/02/22,FDA,KV Oostende,1-3,OH Leuven
09/02/22,FDA,OH Leuven,2-1,Genk
12/02/22,FDA,OH Leuven,3-2,Cercle Brugge
20/02/22,FDA,Sint-Truiden,2-0,OH Leuven
26/02/22,FDA,OH Leuven,0-0,Anderlecht
06/03/22,FDA,AS Eupen,3-1,OH Leuven
11/03/22,FDA,OH Leuven,1-4,Union Saint-Gilloise
19/03/22,FDA,RFC Seraing,1-1,OH Leuven
24/03/22,CLF,Union Saint-Gilloise,CANC,OH Leuven
02/04/22,FDA,OH Leuven,0-1,Antwerp
10/04/22,FDA,Gent,5-0,OH Leuven
02/07/22,CLF,OH Leuven,3-1,Sporting Charleroi
06/07/22,CLF,OH Leuven,2-1,Beerschot
09/07/22,CLF,OH Leuven,1-1,Fortuna Sittard
16/07/22,CLF,OH Leuven,3-3,Leicester City
23/07/22,FDA,Kortrijk,0-2,OH Leuven
30/07/22,FDA,OH Leuven,2-0,Westerlo
07/08/22,FDA,Antwerp,4-2,OH Leuven
14/08/22,FDA,OH Leuven,0-3,Club Brugge
21/08/22,FDA,Standard Liège,1-3,OH Leuven
27/08/22,FDA,OH Leuven,2-1,KV Oostende
04/09/22,FDA,Anderlecht,2-2,OH Leuven
10/09/22,FDA,OH Leuven,3-2,Sporting Charleroi
17/09/22,FDA,Mechelen,0-0,OH Leuven
01/10/22,FDA,OH Leuven,0-3,Union Saint-Gilloise
08/10/22,FDA,Zulte Waregem,2-5,OH Leuven
15/10/22,FDA,OH Leuven,0-1,Genk
18/10/22,FDA,AS Eupen,4-2,OH Leuven
22/10/22,FDA,Sint-Truiden,0-0,OH Leuven
30/10/22,FDA,OH Leuven,1-1,Gent
05/11/22,FDA,Cercle Brugge,2-1,OH Leuven
08/11/22,CUP,Francs Borains,0-5,OH Leuven
11/11/22,FDA,OH Leuven,5-0,RFC Seraing
01/12/22,CLF,Lyon,5-3,OH Leuven
20/12/22,CUP,OH Leuven,1-3,Kortrijk
26/12/22,FDA,Club Brugge,1-1,OH Leuven
08/01/23,FDA,OH Leuven,2-3,Kortrijk
13/01/23,FDA,Westerlo,1-2,OH Leuven
17/01/23,FDA,OH Leuven,1-1,AS Eupen
21/01/23,FDA,Union Saint-Gilloise,1-0,OH Leuven
28/01/23,FDA,OH Leuven,1-1,Sint-Truiden
04/02/23,FDA,RFC Seraing,2-1,OH Leuven
10/02/23,FDA,OH Leuven,0-0,Cercle Brugge
19/02/23,FDA,Gent,2-0,OH Leuven
26/02/23,FDA,OH Leuven,1-1,Antwerp
04/03/23,FDA,OH Leuven,4-2,Zulte Waregem
10/03/23,FDA,Sporting Charleroi,0-1,OH Leuven
19/03/23,FDA,OH Leuven,0-2,Anderlecht
02/04/23,FDA,Genk,2-1,OH Leuven
08/04/23,FDA,OH Leuven,4-1,Mechelen
24/01/21,FDA,OH Leuven,0-3,Gent
27/01/21,FDA,Sporting Charleroi,1-1,OH Leuven
30/01/21,FDA,OH Leuven,0-1,Beerschot
03/02/21,CUP,OH Leuven,2-3,Cercle Brugge
06/02/21,FDA,Standard Liège,1-1,OH Leuven
08/02/21,CLF,OH Leuven,1-2,RWDM
12/02/21,FDA,OH Leuven,3-1,Kortrijk
15/02/21,CLF,OH Leuven,CANC,Anderlecht
22/02/21,FDA,Club Brugge,3-0,OH Leuven
01/03/21,FDA,OH Leuven,2-0,Antwerp
06/03/21,FDA,AS Eupen,3-3,OH Leuven
21/03/21,FDA,Mechelen,2-2,OH Leuven
05/04/21,FDA,OH Leuven,2-3,Genk
10/04/21,FDA,Cercle Brugge,3-0,OH Leuven
18/04/21,FDA,OH Leuven,1-2,SK Beveren
15/06/21,CLF,OH Leuven,7-1,Huldenberg
18/06/21,CLF,OH Leuven,5-1,Olympia Wijgmaal
23/06/21,CLF,OH Leuven,4-1,Rupel Boom
10/07/21,CLF,OH Leuven,1-0,Valenciennes
14/07/21,CLF,OH Leuven,CANC,Fortuna Sittard
17/07/21,CLF,Fortuna Düsseldorf,3-0,OH Leuven
24/07/21,FDA,OH Leuven,1-1,Zulte Waregem
31/07/21,FDA,Cercle Brugge,1-1,OH Leuven
08/08/21,FDA,OH Leuven,1-1,Sporting Charleroi
14/08/21,FDA,Genk,4-0,OH Leuven
21/08/21,FDA,OH Leuven,1-4,AS Eupen
29/08/21,FDA,Antwerp,2-2,OH Leuven
12/09/21,FDA,OH Leuven,2-1,Kortrijk
18/09/21,FDA,Mechelen,2-0,OH Leuven
24/09/21,FDA,Club Brugge,1-1,OH Leuven
02/10/21,FDA,OH Leuven,0-0,Beerschot
16/10/21,FDA,Standard Liège,2-2,OH Leuven
24/10/21,FDA,OH Leuven,4-1,Sint-Truiden
