Date,Competition,Home team,Score,Away team
02/04/23,CPL,Beerschot,1-1,RWDM
09/04/23,CPL,RWDM,4-0,Beerschot
16/04/23,CPL,RWDM,1-1,SK Beveren
22/04/23,CPL,Lierse K,0-3,RWDM
06/05/23,CPL,Club Brugge II,1-3,RWDM
13/05/23,CPL,RWDM,1-0,RSC Anderlecht II
05/07/23,CLF,Kortrijk,2-1,RWDM
08/07/23,CLF,Standard Liège,0-4,RWDM
15/07/23,CLF,RWDM,1-2,Hertha Berlin
23/07/23,CLF,RWDM,1-0,Lyon
29/07/23,FDA,RWDM,0-4,Genk
05/08/23,FDA,OH Leuven,1-2,RWDM
12/08/23,FDA,RWDM,1-0,Mechelen
20/08/23,FDA,Club Brugge,7-1,RWDM
02/09/23,FDA,Standard Liège,1-1,RWDM
08/09/23,CLF,RWDM,1-2,Valenciennes
16/09/23,FDA,RWDM,2-1,Cercle Brugge
23/09/23,FDA,Antwerp,0-0,RWDM
28/09/23,FDA,RWDM,2-3,Union Saint-Gilloise
01/10/23,FDA,RWDM,1-1,Gent
06/10/23,FDA,Sporting Charleroi,2-1,RWDM
21/10/23,FDA,RWDM,1-1,Westerlo
27/10/23,FDA,Sint-Truiden,2-1,RWDM
01/11/23,CUP,RWDM,1-0,Olympic Charleroi
04/11/23,FDA,RWDM,1-1,Kortrijk
11/11/23,FDA,AS Eupen,1-3,RWDM
26/11/23,FDA,Anderlecht,2-1,RWDM
02/12/23,FDA,RWDM,0-0,Sporting Charleroi
05/12/23,CUP,Kortrijk,0-1,RWDM
09/12/23,FDA,Gent,4-0,RWDM
16/12/23,FDA,RWDM,3-0,Sint-Truiden
22/12/23,FDA,RWDM,1-6,Club Brugge
26/12/23,FDA,Westerlo,3-0,RWDM
17/01/24,CUP,KV Oostende,2-0,RWDM
24/01/24,FDA,RWDM,0-1,AS Eupen
28/01/24,FDA,Mechelen,3-1,RWDM
31/01/24,FDA,Union Saint-Gilloise,3-2,RWDM
03/02/24,FDA,RWDM,2-2,Standard Liège
11/02/24,FDA,RWDM,0-4,Antwerp
17/02/24,FDA,Genk,3-1,RWDM
24/02/24,FDA,RWDM,1-1,OH Leuven
03/03/24,FDA,Kortrijk,3-2,RWDM
09/03/24,FDA,RWDM,0-3,Anderlecht
17/03/24,FDA,Cercle Brugge,4-0,RWDM
06/04/24,FDA,Sporting Charleroi,0-0,RWDM
13/04/24,FDA,RWDM,3-1,AS Eupen
21/04/24,FDA,Kortrijk,2-4,RWDM
28/04/24,FDA,RWDM,0-1,Kortrijk
04/05/24,FDA,RWDM,16:00,Sporting Charleroi
11/05/24,FDA,AS Eupen,18:15,RWDM
30/01/22,CPL,RWDM,2-0,Excel Mouscron
06/02/22,CPL,Excelsior Virton,0-1,RWDM
13/02/22,CPL,RWDM,1-0,Deinze
19/02/22,CPL,SK Beveren,1-0,RWDM
27/02/22,CPL,RWDM,3-1,Lierse K
06/03/22,CPL,Excel Mouscron,0-1,RWDM
12/03/22,CPL,Lommel,0-0,RWDM
20/03/22,CPL,RWDM,3-0,Excelsior Virton
03/04/22,CPL,Deinze,3-0,RWDM
09/04/22,CPL,RWDM,2-1,SK Beveren
16/04/22,CPL,Westerlo,2-2,RWDM
23/04/22,PL1,RWDM,0-1,RFC Seraing
30/04/22,PL1,RFC Seraing,0-0,RWDM
02/07/22,CLF,Standard Liège,1-2,RWDM
13/07/22,CLF,Mechelen,0-0,RWDM
16/07/22,CLF,Patro Eisden,0-2,RWDM
22/07/22,CLF,Heerenveen,1-1,RWDM
30/07/22,CLF,Visé,1-2,RWDM
06/08/22,CLF,Francs Borains,2-2,RWDM
10/08/22,CLF,Stade Everois,CANC,RWDM
12/08/22,CPL,Excelsior Virton,1-1,RWDM
20/08/22,CPL,RWDM,1-0,Dender
28/08/22,CPL,Club Brugge II,2-1,RWDM
02/09/22,CPL,RWDM,2-2,RSC Anderlecht II
11/09/22,CPL,Deinze,1-2,RWDM
17/09/22,CPL,RWDM,1-1,KRC Genk II
24/09/22,CUP,RWDM,3-0,Oudenaarde
01/10/22,CPL,Lommel,2-1,RWDM
08/10/22,CPL,RWDM,2-0,Beerschot
14/10/22,CPL,Standard Liège II,1-4,RWDM
23/10/22,CPL,RWDM,3-1,SK Beveren
30/10/22,CPL,RWDM,3-0,Lierse K
04/11/22,CPL,Dender,0-1,RWDM
10/11/22,CUP,RWDM,1-3,Kortrijk
13/11/22,CPL,RWDM,5-0,Lommel
19/11/22,CPL,SK Beveren,1-1,RWDM
25/11/22,CPL,KRC Genk II,2-0,RWDM
03/12/22,CPL,RWDM,0-2,Club Brugge II
11/12/22,CPL,RWDM,3-1,Excelsior Virton
18/12/22,CPL,RSC Anderlecht II,1-2,RWDM
11/01/23,CLF,Korona Kielce,1-0,RWDM
14/01/23,CLF,Swift Hesperange,4-3,RWDM
21/01/23,CPL,RWDM,2-1,Deinze
29/01/23,CPL,Lierse K,1-2,RWDM
04/02/23,CPL,RWDM,3-1,Standard Liège II
12/02/23,CPL,Beerschot,0-1,RWDM
26/02/23,CPL,RWDM,3-1,Lierse K
04/03/23,CPL,SK Beveren,2-1,RWDM
12/03/23,CPL,RWDM,3-2,Club Brugge II
18/03/23,CPL,RSC Anderlecht II,0-4,RWDM
29/11/20,CPL,Lommel,4-0,RWDM
06/12/20,CPL,RWDM,1-1,Deinze
13/12/20,CPL,RFC Seraing,0-1,RWDM
19/12/20,CPL,RWDM,1-0,Lierse K
24/01/21,CPL,Lommel,3-2,RWDM
30/01/21,CPL,RWDM,0-2,Union Saint-Gilloise
03/02/21,CUP,Mechelen,2-0,RWDM
08/02/21,CLF,OH Leuven,1-2,RWDM
20/02/21,CPL,RWDM,2-1,Westerlo
22/02/21,CLF,Anderlecht,3-1,RWDM
26/02/21,CPL,Club Brugge II,1-3,RWDM
03/03/21,CPL,RWDM,2-4,RFC Seraing
06/03/21,CPL,RWDM,1-1,Deinze
13/03/21,CPL,Union Saint-Gilloise,2-1,RWDM
18/03/21,CPL,Deinze,4-4,RWDM
21/03/21,CPL,RFC Seraing,1-0,RWDM
02/04/21,CPL,RWDM,1-1,Club Brugge II
09/04/21,CPL,Westerlo,2-2,RWDM
17/04/21,CPL,RWDM,2-5,Lommel
25/04/21,CPL,Lierse K,0-3,RWDM
03/07/21,CLF,PSV,6-2,RWDM
07/07/21,CLF,Sint-Truiden,1-0,RWDM
10/07/21,CLF,AS Eupen,1-0,RWDM
