Date,Competition,Home team,Score,Away team
08/07/23,CLF,PSV,1-2,Sint-Truiden
14/07/23,CLF,Sint-Truiden,0-2,Helmond Sport
15/07/23,CLF,Wehen Wiesbaden,1-0,Sint-Truiden
19/07/23,CLF,Lierse K,1-3,Sint-Truiden
22/07/23,CLF,Sint-Truiden,2-0,Al-Taawoun
30/07/23,FDA,Sint-Truiden,1-0,Standard Liège
02/08/23,CLF,RB Leipzig,4-0,Sint-Truiden
06/08/23,FDA,Kortrijk,0-1,Sint-Truiden
13/08/23,FDA,Sint-Truiden,0-1,Anderlecht
20/08/23,FDA,Gent,2-2,Sint-Truiden
27/08/23,FDA,Sint-Truiden,0-2,Cercle Brugge
03/09/23,FDA,Sporting Charleroi,1-1,Sint-Truiden
07/09/23,CLF,Bochum,1-1,Sint-Truiden
17/09/23,FDA,Sint-Truiden,2-0,Mechelen
24/09/23,FDA,Genk,3-3,Sint-Truiden
01/10/23,FDA,Club Brugge,1-1,Sint-Truiden
08/10/23,FDA,Sint-Truiden,0-4,Union Saint-Gilloise
12/10/23,CLF,Borussia M'gladbach,4-1,Sint-Truiden
22/10/23,FDA,OH Leuven,4-0,Sint-Truiden
27/10/23,FDA,Sint-Truiden,2-1,RWDM
31/10/23,CUP,Sint-Truiden,E3-0E,Francs Borains
03/11/23,FDA,Sint-Truiden,1-1,AS Eupen
10/11/23,FDA,Westerlo,3-3,Sint-Truiden
24/11/23,FDA,Sint-Truiden,1-1,Antwerp
03/12/23,FDA,Mechelen,0-2,Sint-Truiden
06/12/23,CUP,Sint-Truiden,0-1,Gent
09/12/23,FDA,Sint-Truiden,1-1,OH Leuven
16/12/23,FDA,RWDM,3-0,Sint-Truiden
23/12/23,FDA,Sint-Truiden,1-0,Sporting Charleroi
27/12/23,FDA,Standard Liège,1-1,Sint-Truiden
21/01/24,FDA,Union Saint-Gilloise,2-1,Sint-Truiden
28/01/24,FDA,Sint-Truiden,1-1,Genk
01/02/24,FDA,Sint-Truiden,4-1,Gent
04/02/24,FDA,Cercle Brugge,4-1,Sint-Truiden
09/02/24,FDA,Sint-Truiden,1-0,Kortrijk
18/02/24,FDA,Anderlecht,4-1,Sint-Truiden
24/02/24,FDA,Sint-Truiden,1-0,Westerlo
03/03/24,FDA,Antwerp,3-0,Sint-Truiden
10/03/24,FDA,AS Eupen,1-0,Sint-Truiden
17/03/24,FDA,Sint-Truiden,2-1,Club Brugge
31/03/24,FDA,Sint-Truiden,2-0,Westerlo
05/04/24,FDA,Mechelen,2-3,Sint-Truiden
12/04/24,FDA,Sint-Truiden,3-3,Standard Liège
20/04/24,FDA,OH Leuven,1-0,Sint-Truiden
23/04/24,FDA,Sint-Truiden,0-2,Gent
27/04/24,FDA,Standard Liège,1-1,Sint-Truiden
03/05/24,FDA,Westerlo,20:45,Sint-Truiden
12/05/24,FDA,Sint-Truiden,16:00,Mechelen
17/05/24,FDA,Sint-Truiden,20:45,OH Leuven
25/05/24,FDA,Gent,20:30,Sint-Truiden
25/06/22,CLF,Anderlecht,0-1,Sint-Truiden
29/06/22,CLF,Standard Liège,0-2,Sint-Truiden
03/07/22,CLF,Dynamo Dresden,0-0,Sint-Truiden
06/07/22,CLF,Wörgl,0-6,Sint-Truiden
08/07/22,CLF,Viktoria Plzen,1-3,Sint-Truiden
13/07/22,CLF,Sint-Truiden,0-2,RFC Seraing
23/07/22,FDA,Sint-Truiden,1-1,Union Saint-Gilloise
30/07/22,FDA,Gent,1-1,Sint-Truiden
06/08/22,FDA,Kortrijk,0-0,Sint-Truiden
14/08/22,FDA,Sint-Truiden,0-3,Anderlecht
20/08/22,FDA,KV Oostende,0-1,Sint-Truiden
27/08/22,FDA,Sint-Truiden,3-1,Mechelen
03/09/22,FDA,Genk,0-0,Sint-Truiden
09/09/22,FDA,Sint-Truiden,1-2,Standard Liège
17/09/22,FDA,Zulte Waregem,0-3,Sint-Truiden
02/10/22,FDA,Sint-Truiden,0-1,AS Eupen
