Date,Competition,Home team,Score,Away team
10/03/23,FDA,Sporting Charleroi,0-1,OH Leuven
19/03/23,FDA,Antwerp,0-1,Sporting Charleroi
01/04/23,FDA,Westerlo,2-3,Sporting Charleroi
08/04/23,FDA,Sporting Charleroi,3-2,Zulte Waregem
14/04/23,FDA,Standard Liège,3-1,Sporting Charleroi
23/04/23,FDA,Sporting Charleroi,2-2,Genk
06/07/23,CLF,KV Oostende,1-3,Sporting Charleroi
08/07/23,CLF,AS Eupen,4-0,Sporting Charleroi
15/07/23,CLF,Utrecht,1-2,Sporting Charleroi
19/07/23,CLF,Reims,3-1,Sporting Charleroi
22/07/23,CLF,Sporting Charleroi,1-1,Rayo Vallecano
29/07/23,FDA,Sporting Charleroi,1-1,OH Leuven
05/08/23,FDA,Cercle Brugge,2-0,Sporting Charleroi
13/08/23,FDA,Sporting Charleroi,1-1,Standard Liège
20/08/23,FDA,Genk,0-0,Sporting Charleroi
27/08/23,FDA,Anderlecht,2-1,Sporting Charleroi
03/09/23,FDA,Sporting Charleroi,1-1,Sint-Truiden
16/09/23,FDA,Club Brugge,4-2,Sporting Charleroi
23/09/23,FDA,Sporting Charleroi,1-0,Kortrijk
01/10/23,FDA,Union Saint-Gilloise,3-1,Sporting Charleroi
06/10/23,FDA,Sporting Charleroi,2-1,RWDM
11/10/23,CLF,Francs Borains,0-3,Sporting Charleroi
21/10/23,FDA,Sporting Charleroi,3-2,Antwerp
28/10/23,FDA,AS Eupen,2-0,Sporting Charleroi
31/10/23,CUP,Thes Sport,0-3,Sporting Charleroi
05/11/23,FDA,Sporting Charleroi,1-3,Gent
11/11/23,FDA,Mechelen,1-0,Sporting Charleroi
25/11/23,FDA,Sporting Charleroi,3-2,Westerlo
02/12/23,FDA,RWDM,0-0,Sporting Charleroi
06/12/23,CUP,Antwerp,5-2,Sporting Charleroi
10/12/23,FDA,Sporting Charleroi,1-3,Union Saint-Gilloise
16/12/23,FDA,Standard Liège,0-0,Sporting Charleroi
23/12/23,FDA,Sint-Truiden,1-0,Sporting Charleroi
27/12/23,FDA,Sporting Charleroi,3-1,Mechelen
21/01/24,FDA,Antwerp,4-1,Sporting Charleroi
27/01/24,FDA,Sporting Charleroi,1-4,Club Brugge
31/01/24,FDA,Sporting Charleroi,1-0,AS Eupen
03/02/24,FDA,Kortrijk,1-0,Sporting Charleroi
11/02/24,FDA,Sporting Charleroi,1-3,Anderlecht
17/02/24,FDA,OH Leuven,0-0,Sporting Charleroi
23/02/24,FDA,Sporting Charleroi,0-1,Genk
01/03/24,FDA,Westerlo,0-1,Sporting Charleroi
09/03/24,FDA,Sporting Charleroi,0-0,Cercle Brugge
17/03/24,FDA,Gent,5-0,Sporting Charleroi
06/04/24,FDA,Sporting Charleroi,0-0,RWDM
14/04/24,FDA,Kortrijk,1-2,Sporting Charleroi
21/04/24,FDA,Sporting Charleroi,1-0,AS Eupen
26/04/24,FDA,AS Eupen,1-2,Sporting Charleroi
04/05/24,FDA,RWDM,16:00,Sporting Charleroi
11/05/24,FDA,Sporting Charleroi,18:15,Kortrijk
25/02/22,FDA,Beerschot,2-3,Sporting Charleroi
