Date,Competition,Home team,Score,Away team
08/07/23,CLF,Standard Liège,0-4,RWDM
15/07/23,CLF,Fortuna Sittard,0-1,Standard Liège
15/07/23,CLF,Standard Liège,6-1,Sprimont
21/07/23,CLF,Standard Liège,1-1,Hertha Berlin
25/07/23,CLF,Metz,2-2,Standard Liège
30/07/23,FDA,Sint-Truiden,1-0,Standard Liège
04/08/23,FDA,Standard Liège,0-1,Union Saint-Gilloise
13/08/23,FDA,Sporting Charleroi,1-1,Standard Liège
19/08/23,FDA,Standard Liège,0-1,Cercle Brugge
26/08/23,FDA,Kortrijk,1-1,Standard Liège
02/09/23,FDA,Standard Liège,1-1,RWDM
17/09/23,FDA,AS Eupen,1-3,Standard Liège
22/09/23,FDA,Standard Liège,0-0,Westerlo
30/09/23,FDA,OH Leuven,1-2,Standard Liège
08/10/23,FDA,Standard Liège,2-1,Club Brugge
12/10/23,CLF,Standard Liège,1-0,RFC Seraing
22/10/23,FDA,Standard Liège,3-2,Anderlecht
29/10/23,FDA,Gent,3-1,Standard Liège
01/11/23,CUP,Standard Liège,5-0,Harelbeke
05/11/23,FDA,Standard Liège,1-1,Mechelen
11/11/23,FDA,Antwerp,6-0,Standard Liège
25/11/23,FDA,Standard Liège,1-0,Genk
03/12/23,FDA,Club Brugge,2-0,Standard Liège
07/12/23,CUP,Anderlecht,2-0,Standard Liège
10/12/23,FDA,Anderlecht,2-2,Standard Liège
16/12/23,FDA,Standard Liège,0-0,Sporting Charleroi
20/12/23,FDA,Mechelen,3-0,Standard Liège
27/12/23,FDA,Standard Liège,1-1,Sint-Truiden
09/01/24,CLF,Borussia Dortmund,3-3,Standard Liège
12/01/24,CLF,Luzern,1-2,Standard Liège
20/01/24,FDA,Standard Liège,0-1,Kortrijk
26/01/24,FDA,Cercle Brugge,1-1,Standard Liège
31/01/24,FDA,Standard Liège,0-1,Antwerp
03/02/24,FDA,RWDM,2-2,Standard Liège
10/02/24,FDA,Standard Liège,1-0,OH Leuven
16/02/24,FDA,Westerlo,2-1,Standard Liège
25/02/24,FDA,Union Saint-Gilloise,2-1,Standard Liège
02/03/24,FDA,Standard Liège,4-2,Gent
10/03/24,FDA,Genk,1-0,Standard Liège
16/03/24,FDA,Standard Liège,4-0,AS Eupen
29/03/24,FDA,Gent,5-1,Standard Liège
06/04/24,FDA,Standard Liège,0-0,OH Leuven
12/04/24,FDA,Sint-Truiden,3-3,Standard Liège
20/04/24,FDA,Westerlo,3-3,Standard Liège
23/04/24,FDA,Standard Liège,0-0,Mechelen
27/04/24,FDA,Standard Liège,1-1,Sint-Truiden
05/05/24,FDA,OH Leuven,16:00,Standard Liège
10/05/24,FDA,Standard Liège,20:45,Westerlo
18/05/24,FDA,Standard Liège,20:45,Gent
25/05/24,FDA,Mechelen,20:30,Standard Liège
02/07/22,CLF,Standard Liège,1-2,RWDM
16/07/22,CLF,Standard Liège,1-1,Borussia M'gladbach
22/07/22,FDA,Standard Liège,2-2,Gent
