Date,Competition,Home team,Score,Away team
28/09/23,FDA,RWDM,2-3,Union Saint-Gilloise
01/10/23,FDA,Union Saint-Gilloise,3-1,Sporting Charleroi
05/10/23,UEL,Liverpool,2-0,Union Saint-Gilloise
08/10/23,FDA,Sint-Truiden,0-4,Union Saint-Gilloise
10/10/23,CLF,Union Saint-Gilloise,1-4,Twente
20/10/23,FDA,Union Saint-Gilloise,4-1,AS Eupen
26/10/23,UEL,Union Saint-Gilloise,2-1,LASK
29/10/23,FDA,Westerlo,1-3,Union Saint-Gilloise
01/11/23,CUP,Union Saint-Gilloise,2-1,Meux
05/11/23,FDA,Union Saint-Gilloise,2-1,Club Brugge
09/11/23,UEL,LASK,3-0,Union Saint-Gilloise
12/11/23,FDA,Union Saint-Gilloise,3-0,Kortrijk
26/11/23,FDA,Gent,1-1,Union Saint-Gilloise
30/11/23,UEL,Toulouse,0-0,Union Saint-Gilloise
03/12/23,FDA,Union Saint-Gilloise,2-1,Cercle Brugge
07/12/23,CUP,SK Beveren,0-2,Union Saint-Gilloise
10/12/23,FDA,Sporting Charleroi,1-3,Union Saint-Gilloise
14/12/23,UEL,Union Saint-Gilloise,2-1,Liverpool
17/12/23,FDA,Union Saint-Gilloise,1-0,Mechelen
23/12/23,FDA,AS Eupen,1-2,Union Saint-Gilloise
26/12/23,FDA,Club Brugge,1-1,Union Saint-Gilloise
12/01/24,CLF,Union Saint-Gilloise,4-0,St.Gallen
21/01/24,FDA,Union Saint-Gilloise,2-1,Sint-Truiden
25/01/24,CUP,Union Saint-Gilloise,2-1,Anderlecht
28/01/24,FDA,Anderlecht,2-2,Union Saint-Gilloise
31/01/24,FDA,Union Saint-Gilloise,3-2,RWDM
03/02/24,FDA,Genk,0-1,Union Saint-Gilloise
07/02/24,CUP,Club Brugge,2-1,Union Saint-Gilloise
10/02/24,FDA,Union Saint-Gilloise,2-2,Westerlo
15/02/24,UEC,Union Saint-Gilloise,2-2,Eintracht Frankfurt
18/02/24,FDA,Kortrijk,1-3,Union Saint-Gilloise
22/02/24,UEC,Eintracht Frankfurt,1-2,Union Saint-Gilloise
25/02/24,FDA,Union Saint-Gilloise,2-1,Standard Liège
28/02/24,CUP,Union Saint-Gilloise,2-0,Club Brugge
02/03/24,FDA,OH Leuven,0-2,Union Saint-Gilloise
07/03/24,UEC,Union Saint-Gilloise,0-3,Fenerbahce
10/03/24,FDA,Union Saint-Gilloise,1-1,Gent
14/03/24,UEC,Fenerbahce,0-1,Union Saint-Gilloise
17/03/24,FDA,Antwerp,1-1,Union Saint-Gilloise
01/04/24,FDA,Genk,1-0,Union Saint-Gilloise
07/04/24,FDA,Union Saint-Gilloise,2-3,Cercle Brugge
14/04/24,FDA,Anderlecht,2-1,Union Saint-Gilloise
21/04/24,FDA,Union Saint-Gilloise,1-2,Club Brugge
25/04/24,FDA,Antwerp,0-3,Union Saint-Gilloise
28/04/24,FDA,Union Saint-Gilloise,4-1,Antwerp
05/05/24,FDA,Union Saint-Gilloise,18:30,Anderlecht
09/05/24,CUP,Union Saint-Gilloise,15:30,Antwerp
13/05/24,FDA,Club Brugge,20:30,Union Saint-Gilloise
19/05/24,FDA,Cercle Brugge,13:30,Union Saint-Gilloise
26/05/24,FDA,Union Saint-Gilloise,18:30,Genk
06/11/22,FDA,Union Saint-Gilloise,1-1,Westerlo
09/11/22,CUP,Cappellen,1-7,Union Saint-Gilloise
13/11/22,FDA,Standard Liège,2-3,Union Saint-Gilloise
09/12/22,CLF,Union Saint-Gilloise,3-2,Angers
20/12/22,CUP,Union Saint-Gilloise,2-1,KV Oostende
26/12/22,FDA,Union Saint-Gilloise,3-0,KV Oostende
08/01/23,FDA,Anderlecht,1-3,Union Saint-Gilloise
12/01/23,CUP,Union Saint-Gilloise,4-0,Gent
15/01/23,FDA,Union Saint-Gilloise,2-0,Antwerp
