Date,Competition,Home team,Score,Away team
09/04/23,LI1,Reims,1-1,Brest
16/04/23,LI1,Brest,1-0,Nice
23/04/23,LI1,Ajaccio,0-0,Brest
03/05/23,LI1,Brest,2-0,Nantes
07/05/23,LI1,Lorient,2-1,Brest
14/05/23,LI1,Brest,1-0,Auxerre
21/05/23,LI1,Brest,2-1,Clermont
27/05/23,LI1,Marseille,1-2,Brest
03/06/23,LI1,Brest,1-2,Rennes
15/07/23,CLF,Brest,2-0,Avranches
22/07/23,CLF,Brest,2-1,Concarneau
29/07/23,CLF,Guingamp,0-1,Brest
05/08/23,CLF,Brest,1-1,Cagliari
13/08/23,LI1,Brest,3-2,Lens
20/08/23,LI1,Le Havre,1-2,Brest
26/08/23,LI1,Marseille,2-0,Brest
02/09/23,LI1,Brest,0-0,Rennes
17/09/23,LI1,Reims,1-2,Brest
23/09/23,LI1,Brest,1-0,Lyon
01/10/23,LI1,Nice,0-0,Brest
08/10/23,LI1,Brest,1-1,Toulouse
22/10/23,LI1,Lille,1-0,Brest
29/10/23,LI1,Brest,2-3,PSG
05/11/23,LI1,Monaco,2-0,Brest
26/11/23,LI1,Montpellier,1-3,Brest
03/12/23,LI1,Brest,3-0,Clermont
07/12/23,LI1,Brest,1-1,Strasbourg
10/12/23,LI1,Metz,0-1,Brest
17/12/23,LI1,Nantes,0-2,Brest
20/12/23,LI1,Brest,4-0,Lorient
06/01/24,CDF,Brest,1-0,Angers
14/01/24,LI1,Brest,2-0,Montpellier
20/01/24,CDF,Trélissac,1-2,Brest
28/01/24,LI1,PSG,2-2,Brest
04/02/24,LI1,Brest,0-0,Nice
07/02/24,CDF,PSG,3-1,Brest
11/02/24,LI1,Clermont,1-1,Brest
18/02/24,LI1,Brest,1-0,Marseille
24/02/24,LI1,Strasbourg,0-3,Brest
03/03/24,LI1,Brest,1-0,Le Havre
09/03/24,LI1,Lens,1-0,Brest
17/03/24,LI1,Brest,1-1,Lille
31/03/24,LI1,Lorient,0-1,Brest
07/04/24,LI1,Brest,4-3,Metz
14/04/24,LI1,Lyon,4-3,Brest
21/04/24,LI1,Brest,0-2,Monaco
28/04/24,LI1,Rennes,4-5,Brest
04/05/24,LI1,Brest,21:00,Nantes
10/05/24,LI1,Brest,21:00,Reims
19/05/24,LI1,Toulouse,21:00,Brest
27/02/22,LI1,Brest,0-1,Lorient
05/03/22,LI1,Lens,0-1,Brest
13/03/22,LI1,Brest,1-4,Marseille
20/03/22,LI1,Angers,1-0,Brest
03/04/22,LI1,Montpellier,1-2,Brest
10/04/22,LI1,Brest,1-1,Nantes
16/04/22,LI1,Saint-Etienne,2-1,Brest
20/04/22,LI1,Brest,2-1,Lyon
24/04/22,LI1,Metz,0-1,Brest
01/05/22,LI1,Brest,2-0,Clermont
07/05/22,LI1,Brest,0-1,Strasbourg
14/05/22,LI1,Monaco,4-2,Brest
21/05/22,LI1,Brest,2-4,Bordeaux
09/07/22,CLF,Brest,1-0,Avranches
16/07/22,CLF,Brest,1-0,Lorient
20/07/22,CLF,Angers,0-2,Brest
23/07/22,CLF,Guingamp,2-0,Brest
07/08/22,LI1,Lens,3-2,Brest
14/08/22,LI1,Brest,1-1,Marseille
21/08/22,LI1,Angers,1-3,Brest
28/08/22,LI1,Brest,0-7,Montpellier
31/08/22,LI1,Rennes,3-1,Brest
04/09/22,LI1,Brest,1-1,Strasbourg
10/09/22,LI1,PSG,1-0,Brest
18/09/22,LI1,Brest,0-1,Ajaccio
02/10/22,LI1,Auxerre,1-1,Brest
09/10/22,LI1,Brest,1-2,Lorient
16/10/22,LI1,Nantes,4-1,Brest
23/10/22,LI1,Clermont,1-3,Brest
30/10/22,LI1,Brest,0-0,Reims
06/11/22,LI1,Nice,1-0,Brest
13/11/22,LI1,Brest,2-1,Troyes
13/12/22,CLF,Osasuna,3-0,Brest
22/12/22,CLF,Rennes,3-1,Brest
28/12/22,LI1,Brest,2-4,Lyon
01/01/23,LI1,Monaco,1-0,Brest
07/01/23,CDF,Avranches,0-2,Brest
11/01/23,LI1,Brest,0-0,Lille
15/01/23,LI1,Toulouse,1-1,Brest
22/01/23,CDF,Brest,1-3,Lens
29/01/23,LI1,Brest,4-0,Angers
01/02/23,LI1,Lyon,0-0,Brest
05/02/23,LI1,Brest,1-1,Lens
12/02/23,LI1,Montpellier,3-0,Brest
19/02/23,LI1,Brest,1-2,Monaco
24/02/23,LI1,Lille,2-1,Brest
05/03/23,LI1,Strasbourg,0-1,Brest
11/03/23,LI1,Brest,1-2,PSG
19/03/23,LI1,Troyes,2-2,Brest
02/04/23,LI1,Brest,3-1,Toulouse
14/02/21,LI1,Lille,0-0,Brest
19/02/21,LI1,Brest,2-3,Lyon
28/02/21,LI1,Monaco,2-0,Brest
03/03/21,LI1,Brest,3-1,Dijon
06/03/21,CDF,Brest,0-3,PSG
13/03/21,LI1,Marseille,3-1,Brest
21/03/21,LI1,Brest,0-0,Angers
04/04/21,LI1,Lorient,1-0,Brest
11/04/21,LI1,Brest,1-1,Nîmes
18/04/21,LI1,Brest,1-1,Lens
24/04/21,LI1,Saint-Etienne,1-2,Brest
02/05/21,LI1,Brest,1-4,Nantes
09/05/21,LI1,Nice,3-2,Brest
16/05/21,LI1,Montpellier,0-0,Brest
23/05/21,LI1,Brest,0-2,PSG
10/07/21,CLF,Guingamp,2-2,Brest
17/07/21,CLF,Lorient,3-2,Brest
21/07/21,CLF,Brest,1-2,Stade Briochin
24/07/21,CLF,Nantes,3-1,Brest
28/07/21,CLF,Stade Plabennec,2-4,Brest
01/08/21,CLF,Brest,1-2,Mallorca
07/08/21,LI1,Lyon,1-1,Brest
15/08/21,LI1,Brest,1-1,Rennes
20/08/21,LI1,Brest,2-4,PSG
29/08/21,LI1,Strasbourg,3-1,Brest
03/09/21,CLF,Brest,2-4,Guingamp
12/09/21,LI1,Brest,1-1,Angers
19/09/21,LI1,Clermont,1-1,Brest
22/09/21,LI1,Nantes,3-1,Brest
26/09/21,LI1,Brest,1-2,Metz
02/10/21,LI1,Nice,2-1,Brest
17/10/21,LI1,Brest,1-1,Reims
23/10/21,LI1,Lille,1-1,Brest
31/10/21,LI1,Brest,2-0,Monaco
07/11/21,LI1,Lorient,1-2,Brest
21/11/21,LI1,Brest,4-0,Lens
28/11/21,LI1,Bordeaux,1-2,Brest
01/12/21,LI1,Brest,1-0,Saint-Etienne
04/12/21,LI1,Marseille,1-2,Brest
11/12/21,LI1,Brest,0-4,Montpellier
19/12/21,CDF,Dinan Léhon,P0-0P,Brest
22/12/21,LI1,Troyes,1-1,Brest
02/01/22,CDF,Brest,3-0,Bordeaux
09/01/22,LI1,Brest,0-3,Nice
15/01/22,LI1,PSG,2-0,Brest
22/01/22,LI1,Brest,2-0,Lille
28/01/22,CDF,Nantes,2-0,Brest
06/02/22,LI1,Rennes,2-0,Brest
13/02/22,LI1,Brest,5-1,Troyes
20/02/22,LI1,Reims,1-1,Brest
11/01/20,LI1,Toulouse,2-5,Brest
25/01/20,LI1,Brest,2-1,Amiens SC
01/02/20,LI1,Dijon,3-0,Brest
05/02/20,LI1,Brest,1-1,Bordeaux
08/02/20,LI1,Rennes,0-0,Brest
16/02/20,LI1,Brest,3-2,Saint-Etienne
21/02/20,LI1,Nice,2-2,Brest
29/02/20,LI1,Brest,0-1,Angers
07/03/20,LI1,Reims,1-0,Brest
14/03/20,LI1,Brest,CANC,Lille
21/03/20,LI1,Metz,CANC,Brest
05/04/20,LI1,Brest,CANC,Marseille
11/04/20,LI1,Brest,CANC,Monaco
18/04/20,LI1,Strasbourg,CANC,Brest
26/04/20,LI1,Brest,CANC,Montpellier
02/05/20,LI1,PSG,CANC,Brest
09/05/20,LI1,Nantes,CANC,Brest
16/05/20,LI1,Brest,CANC,Nîmes
23/05/20,LI1,Lyon,CANC,Brest
18/07/20,CLF,Stade Plabennec,CANC,Brest
25/07/20,CLF,Stade Briochin,0-1,Brest
31/07/20,CLF,Lorient,2-2,Brest
08/08/20,CLF,Rennes,2-1,Brest
12/08/20,CLF,Brest,1-0,Guingamp
23/08/20,LI1,Nîmes,4-0,Brest
30/08/20,LI1,Brest,2-3,Marseille
13/09/20,LI1,Dijon,0-2,Brest
20/09/20,LI1,Brest,3-2,Lorient
27/09/20,LI1,Angers,3-2,Brest
04/10/20,LI1,Brest,1-0,Monaco
18/10/20,LI1,Nantes,3-1,Brest
25/10/20,LI1,Brest,0-3,Strasbourg
31/10/20,LI1,Rennes,2-1,Brest
08/11/20,LI1,Brest,3-2,Lille
13/11/20,CLF,Guingamp,0-1,Brest
21/11/20,LI1,Brest,4-1,Saint-Etienne
29/11/20,LI1,Metz,0-2,Brest
06/12/20,LI1,Bordeaux,1-0,Brest
13/12/20,LI1,Brest,2-1,Reims
16/12/20,LI1,Lyon,2-2,Brest
20/12/20,LI1,Brest,2-2,Montpellier
