Date,Competition,Home team,Score,Away team
30/04/23,LI1,Clermont,1-0,Reims
07/05/23,LI1,Auxerre,1-1,Clermont
14/05/23,LI1,Clermont,2-1,Lyon
21/05/23,LI1,Brest,2-1,Clermont
27/05/23,LI1,Clermont,2-0,Lorient
03/06/23,LI1,PSG,2-3,Clermont
15/07/23,CLF,Clermont,1-0,Orléans
22/07/23,CLF,Saint-Etienne,2-0,Clermont
26/07/23,CLF,Montpellier,1-1,Clermont
29/07/23,CLF,Clermont,1-0,Troyes
05/08/23,CLF,Clermont,1-0,Le Havre
05/08/23,CLF,Clermont,2-1,Le Havre
13/08/23,LI1,Clermont,2-4,Monaco
20/08/23,LI1,Reims,2-0,Clermont
27/08/23,LI1,Clermont,0-1,Metz
03/09/23,LI1,Toulouse,2-2,Clermont
07/09/23,CLF,Bordeaux,3-1,Clermont
17/09/23,LI1,Clermont,0-1,Nantes
24/09/23,LI1,Le Havre,2-1,Clermont
30/09/23,LI1,Clermont,0-0,PSG
13/10/23,CLF,Clermont,0-0,Rodez
22/10/23,LI1,Lyon,1-2,Clermont
27/10/23,LI1,Clermont,0-1,Nice
05/11/23,LI1,Strasbourg,0-0,Clermont
12/11/23,LI1,Clermont,1-0,Lorient
25/11/23,LI1,Clermont,0-3,Lens
29/11/23,LI1,Montpellier,1-1,Clermont
03/12/23,LI1,Brest,3-0,Clermont
10/12/23,LI1,Clermont,0-0,Lille
17/12/23,LI1,Marseille,2-1,Clermont
20/12/23,LI1,Clermont,1-3,Rennes
05/01/24,CDF,Metz,P1-1P,Clermont
14/01/24,LI1,Nantes,1-2,Clermont
21/01/24,CDF,Clermont,1-3,Strasbourg
28/01/24,LI1,Clermont,1-1,Strasbourg
04/02/24,LI1,Lille,4-0,Clermont
11/02/24,LI1,Clermont,1-1,Brest
18/02/24,LI1,Rennes,3-1,Clermont
25/02/24,LI1,Nice,0-0,Clermont
02/03/24,LI1,Clermont,1-5,Marseille
10/03/24,LI1,Metz,1-0,Clermont
17/03/24,LI1,Clermont,2-1,Le Havre
31/03/24,LI1,Clermont,0-3,Toulouse
06/04/24,LI1,PSG,1-1,Clermont
14/04/24,LI1,Clermont,1-1,Montpellier
20/04/24,LI1,Lens,1-0,Clermont
28/04/24,LI1,Clermont,4-1,Reims
04/05/24,LI1,Monaco,17:00,Clermont
12/05/24,LI1,Clermont,21:00,Lyon
19/05/24,LI1,Lorient,21:00,Clermont
20/04/22,LI1,Troyes,0-1,Clermont
24/04/22,LI1,Clermont,2-2,Angers
01/05/22,LI1,Brest,2-0,Clermont
08/05/22,LI1,Clermont,2-1,Montpellier
14/05/22,LI1,Strasbourg,1-0,Clermont
21/05/22,LI1,Clermont,1-2,Lyon
09/07/22,CLF,Grenoble Foot 38,1-0,Clermont
13/07/22,HYF,Clermont,4-2,UNFP
16/07/22,CLF,Clermont,1-3,Lens
20/07/22,CLF,Montpellier,0-2,Clermont
23/07/22,CLF,Clermont,2-0,Rodez
30/07/22,CLF,Toulouse,0-1,Clermont
06/08/22,LI1,Clermont,0-5,PSG
14/08/22,LI1,Reims,2-4,Clermont
21/08/22,LI1,Clermont,1-0,Nice
28/08/22,LI1,Lorient,2-1,Clermont
31/08/22,LI1,Marseille,1-0,Clermont
04/09/22,LI1,Clermont,2-0,Toulouse
11/09/22,LI1,Strasbourg,0-0,Clermont
18/09/22,LI1,Clermont,1-3,Troyes
22/09/22,CLF,Bordeaux,2-3,Clermont
02/10/22,LI1,Ajaccio,1-3,Clermont
09/10/22,LI1,Clermont,2-1,Auxerre
16/10/22,LI1,Monaco,1-1,Clermont
23/10/22,LI1,Clermont,1-3,Brest
30/10/22,LI1,Nantes,1-1,Clermont
06/11/22,LI1,Clermont,1-1,Montpellier
12/11/22,LI1,Lens,2-1,Clermont
09/12/22,CLF,Valencia,4-2,Clermont
13/12/22,CLF,Real Valladolid,0-0,Clermont
17/12/22,CLF,Clermont,CANC,Dijon
20/12/22,CLF,Clermont,0-1,Sochaux
28/12/22,LI1,Clermont,0-2,Lille
01/01/23,LI1,Lyon,0-1,Clermont
07/01/23,CDF,Strasbourg Koenigshoffen,P0-0P,Clermont
11/01/23,LI1,Clermont,2-1,Rennes
15/01/23,LI1,Angers,1-2,Clermont
29/01/23,LI1,Clermont,0-0,Nantes
01/02/23,LI1,Lille,0-0,Clermont
05/02/23,LI1,Clermont,0-2,Monaco
11/02/23,LI1,Clermont,0-2,Marseille
19/02/23,LI1,Rennes,2-0,Clermont
26/02/23,LI1,Clermont,1-1,Strasbourg
05/03/23,LI1,Toulouse,0-1,Clermont
12/03/23,LI1,Clermont,0-4,Lens
19/03/23,LI1,Montpellier,2-1,Clermont
02/04/23,LI1,Clermont,2-1,Ajaccio
09/04/23,LI1,Troyes,0-2,Clermont
16/04/23,LI1,Clermont,2-1,Angers
23/04/23,LI1,Nice,1-2,Clermont
03/04/21,LI2,Clermont,0-0,Niort
10/04/21,LI2,Pau,2-1,Clermont
14/04/21,LI2,Clermont,3-0,Amiens SC
17/04/21,LI2,Clermont,1-1,Le Havre
20/04/21,LI2,Paris FC,0-1,Clermont
26/04/21,LI2,Clermont,2-1,Châteauroux
03/05/21,LI2,Grenoble Foot 38,1-2,Clermont
08/05/21,LI2,Clermont,3-1,Sochaux
15/05/21,LI2,Caen,2-1,Clermont
03/07/21,CLF,Troyes,1-2,Clermont
10/07/21,CLF,Clermont,2-2,Rodez
14/07/21,CLF,Clermont,0-0,Grenoble Foot 38
17/07/21,CLF,Clermont,3-2,Montpellier
21/07/21,HYF,Clermont,2-0,UNFP
24/07/21,CLF,Saint-Etienne,2-3,Clermont
31/07/21,CLF,Nantes,1-2,Clermont
08/08/21,LI1,Bordeaux,0-2,Clermont
15/08/21,LI1,Clermont,2-0,Troyes
22/08/21,LI1,Lyon,3-3,Clermont
29/08/21,LI1,Clermont,2-2,Metz
11/09/21,LI1,PSG,4-0,Clermont
19/09/21,LI1,Clermont,1-1,Brest
22/09/21,LI1,Rennes,6-0,Clermont
26/09/21,LI1,Clermont,1-3,Monaco
03/10/21,LI1,Lorient,1-1,Clermont
16/10/21,LI1,Clermont,1-0,Lille
23/10/21,LI1,Nantes,2-1,Clermont
31/10/21,LI1,Clermont,0-1,Marseille
07/11/21,LI1,Saint-Etienne,3-2,Clermont
21/11/21,LI1,Clermont,1-2,Nice
28/11/21,LI1,Reims,1-0,Clermont
01/12/21,LI1,Clermont,2-2,Lens
05/12/21,LI1,Montpellier,1-0,Clermont
12/12/21,LI1,Angers,0-1,Clermont
18/12/21,CDF,Chemin Bas d'Avignon,0-4,Clermont
02/01/22,CDF,Bastia,2-0,Clermont
09/01/22,LI1,Clermont,0-0,Reims
16/01/22,LI1,Monaco,4-0,Clermont
19/01/22,LI1,Clermont,0-2,Strasbourg
23/01/22,LI1,Clermont,2-1,Rennes
06/02/22,LI1,Nice,0-1,Clermont
13/02/22,LI1,Clermont,1-2,Saint-Etienne
20/02/22,LI1,Marseille,0-2,Clermont
27/02/22,LI1,Clermont,1-1,Bordeaux
06/03/22,LI1,Lille,4-0,Clermont
13/03/22,LI1,Clermont,0-2,Lorient
19/03/22,LI1,Lens,3-1,Clermont
03/04/22,LI1,Clermont,2-3,Nantes
09/04/22,LI1,Clermont,1-6,PSG
17/04/22,LI1,Metz,1-1,Clermont
15/02/20,LI2,Lorient,0-1,Clermont
21/02/20,LI2,Clermont,0-1,Paris FC
28/02/20,LI2,Nancy,1-2,Clermont
06/03/20,LI2,Clermont,2-0,Sochaux
13/03/20,LI2,Rodez,CANC,Clermont
20/03/20,LI2,Clermont,CANC,Guingamp
03/04/20,LI2,Le Mans,CANC,Clermont
10/04/20,LI2,Clermont,CANC,Chambly-Oise
17/04/20,LI2,Clermont,CANC,Ajaccio
21/04/20,LI2,Niort,CANC,Clermont
24/04/20,LI2,Clermont,CANC,Grenoble Foot 38
01/05/20,LI2,Le Havre,CANC,Clermont
08/05/20,LI2,Clermont,CANC,Caen
15/05/20,LI2,Châteauroux,CANC,Clermont
25/07/20,CLF,Clermont,0-0,Troyes
01/08/20,CLF,Rodez,1-0,Clermont
05/08/20,CLF,Clermont,3-1,Châteauroux
08/08/20,CLF,Montpellier,CANC,Clermont
12/08/20,CLF,Orléans,CANC,Clermont
15/08/20,CLF,Grenoble Foot 38,4-0,Clermont
22/08/20,LI2,Clermont,0-0,Caen
29/08/20,LI2,Dunkerque,1-1,Clermont
12/09/20,LI2,Auxerre,0-1,Clermont
19/09/20,LI2,Clermont,1-1,Toulouse
28/09/20,LI2,Troyes,1-0,Clermont
03/10/20,LI2,Clermont,3-0,Rodez
16/10/20,LI2,Chambly-Oise,0-3,Clermont
24/10/20,LI2,Clermont,0-2,Ajaccio
31/10/20,LI2,Valenciennes,1-3,Clermont
07/11/20,LI2,Clermont,0-0,Guingamp
21/11/20,LI2,Amiens SC,1-1,Clermont
28/11/20,LI2,Clermont,2-0,Nancy
01/12/20,LI2,Niort,1-0,Clermont
05/12/20,LI2,Clermont,3-0,Pau
14/12/20,LI2,Le Havre,0-0,Clermont
19/12/20,LI2,Clermont,3-2,Paris FC
22/12/20,LI2,Châteauroux,0-1,Clermont
05/01/21,LI2,Clermont,3-0,Grenoble Foot 38
08/01/21,LI2,Sochaux,0-0,Clermont
16/01/21,LI2,Clermont,5-0,Dunkerque
20/01/21,CDF,Clermont,P1-1P,Grenoble Foot 38
23/01/21,LI2,Clermont,1-0,Auxerre
30/01/21,LI2,Toulouse,3-2,Clermont
02/02/21,LI2,Clermont,2-1,Troyes
05/02/21,LI2,Rodez,2-0,Clermont
13/02/21,LI2,Clermont,1-0,Chambly-Oise
20/02/21,LI2,Ajaccio,0-2,Clermont
27/02/21,LI2,Clermont,4-0,Valenciennes
02/03/21,LI2,Guingamp,0-5,Clermont
20/03/21,LI2,Nancy,1-0,Clermont
28/01/19,LI2,Clermont,0-0,Le Havre
01/02/19,LI2,Sochaux,2-1,Clermont
08/02/19,LI2,Clermont,0-1,Valenciennes
15/02/19,LI2,Auxerre,1-0,Clermont
22/02/19,LI2,Clermont,0-1,Lorient
01/03/19,LI2,Gazélec Ajaccio,0-3,Clermont
08/03/19,LI2,Clermont,1-1,Grenoble Foot 38
15/03/19,LI2,Red Star,0-4,Clermont
29/03/19,LI2,Brest,0-0,Clermont
05/04/19,LI2,Clermont,2-3,Nancy
12/04/19,LI2,Orléans,2-1,Clermont
19/04/19,LI2,Clermont,0-0,Ajaccio
23/04/19,LI2,Béziers,1-1,Clermont
26/04/19,LI2,Clermont,1-1,Paris FC
04/05/19,LI2,Lens,1-0,Clermont
10/05/19,LI2,Clermont,2-4,Troyes
17/05/19,LI2,Châteauroux,2-2,Clermont
29/06/19,CLF,Clermont,1-2,Orléans
06/07/19,CLF,Clermont,2-0,Rodez
10/07/19,CLF,Châteauroux,1-1,Clermont
13/07/19,CLF,Saint-Etienne,1-1,Clermont
19/07/19,CLF,Clermont,0-0,Kabylie
26/07/19,LI2,Clermont,3-0,Châteauroux
02/08/19,LI2,Troyes,1-2,Clermont
10/08/19,LI2,Clermont,1-1,Lens
13/08/19,CDL,Clermont,P1-1P,Le Havre
16/08/19,LI2,Orléans,0-1,Clermont
23/08/19,LI2,Clermont,1-1,Auxerre
27/08/19,CDL,Lens,P2-2P,Clermont
30/08/19,LI2,Valenciennes,1-0,Clermont
14/09/19,LI2,Clermont,0-2,Lorient
20/09/19,LI2,Paris FC,0-2,Clermont
27/09/19,LI2,Clermont,2-2,Nancy
04/10/19,LI2,Sochaux,4-0,Clermont
18/10/19,LI2,Clermont,0-1,Rodez
25/10/19,LI2,Guingamp,1-2,Clermont
02/11/19,LI2,Clermont,0-1,Le Mans
08/11/19,LI2,Chambly-Oise,0-1,Clermont
16/11/19,CDF,Bergerac,1-0,Clermont
22/11/19,LI2,Ajaccio,1-1,Clermont
29/11/19,LI2,Clermont,1-0,Niort
03/12/19,LI2,Grenoble Foot 38,1-1,Clermont
13/12/19,LI2,Clermont,2-1,Le Havre
20/12/19,LI2,Caen,0-0,Clermont
04/01/20,CLF,Béziers,0-0,Clermont
10/01/20,LI2,Clermont,3-2,Troyes
25/01/20,LI2,Lens,1-1,Clermont
31/01/20,LI2,Clermont,3-1,Orléans
04/02/20,LI2,Auxerre,0-0,Clermont
07/02/20,LI2,Clermont,3-1,Valenciennes
16/01/18,LI2,Clermont,3-0,Valenciennes
19/01/18,LI2,Lorient,1-1,Clermont
26/01/18,LI2,Clermont,1-1,Quevilly-Rouen Métropole
02/02/18,LI2,Bourg-Péronnas,0-2,Clermont
09/02/18,LI2,Clermont,1-0,Gazélec Ajaccio
16/02/18,LI2,Clermont,1-1,Châteauroux
23/02/18,LI2,Lens,0-1,Clermont
02/03/18,LI2,Clermont,2-1,Reims
09/03/18,LI2,Le Havre,2-1,Clermont
16/03/18,LI2,Clermont,2-0,Nancy
30/03/18,LI2,Ajaccio,2-1,Clermont
06/04/18,LI2,Clermont,2-2,Niort
13/04/18,LI2,Auxerre,1-2,Clermont
20/04/18,LI2,Clermont,4-2,Orléans
24/04/18,LI2,Brest,1-0,Clermont
28/04/18,LI2,Clermont,1-1,Nîmes
04/05/18,LI2,Sochaux,1-3,Clermont
11/05/18,LI2,Clermont,2-2,Paris FC
29/06/18,CLF,Clermont,0-1,MC Alger
06/07/18,CLF,Châteauroux,0-3,Clermont
11/07/18,CLF,Clermont,0-0,Rodez
14/07/18,CLF,Montpellier,0-4,Clermont
20/07/18,CLF,Clermont,3-0,Orléans
20/07/18,CLF,Orléans,0-3,Clermont
27/07/18,LI2,Clermont,0-0,Châteauroux
03/08/18,LI2,Niort,4-2,Clermont
11/08/18,LI2,Clermont,2-3,Metz
14/08/18,CDL,Laval,0-3,Clermont
17/08/18,LI2,Le Havre,0-0,Clermont
24/08/18,LI2,Clermont,1-0,Sochaux
28/08/18,CDL,Troyes,3-1,Clermont
