Date,Competition,Home team,Score,Away team
08/05/23,LI2,Le Havre,1-0,Rodez
15/05/23,LI2,Annecy,1-0,Le Havre
22/05/23,LI2,Le Havre,0-2,Valenciennes
26/05/23,LI2,Bastia,1-1,Le Havre
02/06/23,LI2,Le Havre,1-0,Dijon
14/07/23,CLF,Triglav,2-9,Le Havre
19/07/23,CLF,Caen,1-3,Le Havre
21/07/23,CLF,PSG,2-0,Le Havre
26/07/23,CLF,Lille,3-2,Le Havre
29/07/23,CLF,Lorient,2-0,Le Havre
05/08/23,CLF,Clermont,1-0,Le Havre
05/08/23,CLF,Clermont,2-1,Le Havre
13/08/23,LI1,Montpellier,2-2,Le Havre
20/08/23,LI1,Le Havre,1-2,Brest
27/08/23,LI1,Rennes,2-2,Le Havre
03/09/23,LI1,Le Havre,3-0,Lorient
08/09/23,CLF,Le Havre,1-0,Caen
17/09/23,LI1,Lyon,0-0,Le Havre
24/09/23,LI1,Le Havre,2-1,Clermont
01/10/23,LI1,Le Havre,0-2,Lille
08/10/23,LI1,Marseille,3-0,Le Havre
20/10/23,LI1,Le Havre,0-0,Lens
29/10/23,LI1,Metz,0-0,Le Havre
05/11/23,LI1,Toulouse,1-2,Le Havre
11/11/23,LI1,Le Havre,0-0,Monaco
26/11/23,LI1,Nantes,0-0,Le Havre
03/12/23,LI1,Le Havre,0-2,PSG
10/12/23,LI1,Strasbourg,2-1,Le Havre
16/12/23,LI1,Le Havre,3-1,Nice
20/12/23,LI1,Reims,1-0,Le Havre
07/01/24,CDF,Le Havre,2-1,Caen
14/01/24,LI1,Le Havre,3-1,Lyon
21/01/24,CDF,Châteauroux,0-1,Le Havre
28/01/24,LI1,Lorient,3-3,Le Havre
04/02/24,LI1,Monaco,1-1,Le Havre
07/02/24,CDF,Strasbourg,3-1,Le Havre
11/02/24,LI1,Le Havre,0-1,Rennes
17/02/24,LI1,Lille,3-0,Le Havre
25/02/24,LI1,Le Havre,1-2,Reims
03/03/24,LI1,Brest,1-0,Le Havre
10/03/24,LI1,Le Havre,1-0,Toulouse
17/03/24,LI1,Clermont,2-1,Le Havre
31/03/24,LI1,Le Havre,0-2,Montpellier
06/04/24,LI1,Lens,1-1,Le Havre
14/04/24,LI1,Le Havre,0-1,Nantes
21/04/24,LI1,Le Havre,0-1,Metz
27/04/24,LI1,PSG,3-3,Le Havre
04/05/24,LI1,Le Havre,15:00,Strasbourg
10/05/24,LI1,Nice,21:00,Le Havre
19/05/24,LI1,Le Havre,21:00,Marseille
19/03/22,LI2,Le Havre,2-4,Caen
02/04/22,LI2,Pau,2-1,Le Havre
09/04/22,LI2,Le Havre,2-1,Dunkerque
16/04/22,LI2,Valenciennes,0-1,Le Havre
19/04/22,LI2,Amiens SC,0-2,Le Havre
22/04/22,LI2,Le Havre,0-1,Grenoble Foot 38
30/04/22,LI2,Ajaccio,2-1,Le Havre
07/05/22,LI2,Le Havre,1-2,Auxerre
14/05/22,LI2,Guingamp,2-1,Le Havre
09/07/22,CLF,Quevilly-Rouen Métropole,1-2,Le Havre
13/07/22,CLF,Avranches,2-2,Le Havre
16/07/22,CLF,Le Havre,1-4,Amiens SC
20/07/22,CLF,Troyes,3-0,Le Havre
30/07/22,LI2,Le Havre,0-0,Grenoble Foot 38
06/08/22,LI2,Valenciennes,1-0,Le Havre
13/08/22,LI2,Le Havre,1-1,Pau
20/08/22,LI2,Saint-Etienne,0-6,Le Havre
27/08/22,LI2,Le Havre,1-1,Amiens SC
30/08/22,LI2,Laval,1-3,Le Havre
02/09/22,LI2,Le Havre,2-1,Caen
10/09/22,LI2,Niort,0-1,Le Havre
17/09/22,LI2,Le Havre,2-0,Annecy
01/10/22,LI2,Dijon,0-0,Le Havre
08/10/22,LI2,Le Havre,3-0,Bastia
15/10/22,LI2,Rodez,1-1,Le Havre
24/10/22,LI2,Le Havre,2-0,Metz
29/10/22,CDF,Alençon,P3-3P,Le Havre
05/11/22,LI2,Quevilly-Rouen Métropole,0-1,Le Havre
12/11/22,LI2,Guingamp,0-1,Le Havre
13/12/22,CLF,Guingamp,2-1,Le Havre
17/12/22,CLF,Lens,3-0,Le Havre
17/12/22,CLF,Lens,CANC,Le Havre
26/12/22,LI2,Le Havre,1-0,Bordeaux
30/12/22,LI2,Paris FC,0-0,Le Havre
10/01/23,LI2,Le Havre,1-0,Sochaux
13/01/23,LI2,Le Havre,3-1,Nîmes
28/01/23,LI2,Amiens SC,1-1,Le Havre
31/01/23,LI2,Bordeaux,1-2,Le Havre
03/02/23,LI2,Le Havre,0-0,Paris FC
11/02/23,LI2,Sochaux,1-1,Le Havre
18/02/23,LI2,Le Havre,1-0,Niort
25/02/23,LI2,Grenoble Foot 38,0-0,Le Havre
04/03/23,LI2,Le Havre,2-1,Laval
13/03/23,LI2,Metz,1-1,Le Havre
18/03/23,LI2,Le Havre,2-2,Saint-Etienne
01/04/23,LI2,Pau,0-1,Le Havre
08/04/23,LI2,Le Havre,0-0,Guingamp
15/04/23,LI2,Nîmes,0-1,Le Havre
22/04/23,LI2,Le Havre,0-0,Quevilly-Rouen Métropole
29/04/23,LI2,Caen,1-2,Le Havre
06/02/21,LI2,Le Havre,1-0,Paris FC
13/02/21,LI2,Châteauroux,0-1,Le Havre
20/02/21,LI2,Le Havre,1-1,Dunkerque
27/02/21,LI2,Pau,2-0,Le Havre
02/03/21,LI2,Le Havre,0-2,Grenoble Foot 38
15/03/21,LI2,Caen,0-2,Le Havre
20/03/21,LI2,Le Havre,0-2,Sochaux
05/04/21,LI2,Auxerre,1-1,Le Havre
10/04/21,LI2,Le Havre,1-1,Ajaccio
17/04/21,LI2,Clermont,1-1,Le Havre
24/04/21,LI2,Rodez,1-1,Le Havre
01/05/21,LI2,Le Havre,2-4,Chambly-Oise
04/05/21,LI2,Le Havre,0-1,Toulouse
08/05/21,LI2,Valenciennes,3-5,Le Havre
15/05/21,LI2,Le Havre,3-2,Troyes
02/07/21,CLF,Le Havre,0-2,Amiens SC
07/07/21,CLF,Quevilly-Rouen Métropole,0-1,Le Havre
10/07/21,CLF,Rennes,2-2,Le Havre
17/07/21,CLF,Lens,2-2,Le Havre
24/07/21,LI2,Le Havre,0-0,Guingamp
31/07/21,LI2,Sochaux,0-2,Le Havre
07/08/21,LI2,Le Havre,1-2,Paris FC
14/08/21,LI2,Rodez,0-0,Le Havre
21/08/21,LI2,Le Havre,2-1,Niort
28/08/21,LI2,Bastia,0-0,Le Havre
13/09/21,LI2,Le Havre,1-1,Toulouse
18/09/21,LI2,Nancy,1-1,Le Havre
21/09/21,LI2,Le Havre,1-0,Quevilly-Rouen Métropole
24/09/21,LI2,Nîmes,0-1,Le Havre
02/10/21,LI2,Le Havre,2-0,Dijon
16/10/21,LI2,Caen,2-2,Le Havre
23/10/21,LI2,Le Havre,1-0,Pau
30/10/21,LI2,Dunkerque,1-0,Le Havre
06/11/21,LI2,Le Havre,0-0,Valenciennes
13/11/21,CDF,Vierzon,0-2,Le Havre
