Date,Competition,Home team,Score,Away team
08/07/23,CLF,Lens,4-4,Dunkerque
14/07/23,CLF,Lens,2-2,Amiens SC
22/07/23,CLF,Lens,3-0,Sochaux
22/07/23,CLF,Lens,2-0,Dijon
29/07/23,CLF,Wolfsburg,1-1,Lens
02/08/23,CLF,Lens,0-0,Torino
05/08/23,CLF,Manchester United,3-1,Lens
13/08/23,LI1,Brest,3-2,Lens
20/08/23,LI1,Lens,1-1,Rennes
26/08/23,LI1,PSG,3-1,Lens
02/09/23,LI1,Monaco,3-0,Lens
16/09/23,LI1,Lens,0-1,Metz
20/09/23,UCL,Sevilla,1-1,Lens
24/09/23,LI1,Lens,2-1,Toulouse
29/09/23,LI1,Strasbourg,0-1,Lens
03/10/23,UCL,Lens,2-1,Arsenal
08/10/23,LI1,Lens,1-1,Lille
20/10/23,LI1,Le Havre,0-0,Lens
24/10/23,UCL,Lens,1-1,PSV
28/10/23,LI1,Lens,4-0,Nantes
04/11/23,LI1,Lorient,0-0,Lens
08/11/23,UCL,PSV,1-0,Lens
12/11/23,LI1,Lens,1-0,Marseille
25/11/23,LI1,Clermont,0-3,Lens
29/11/23,UCL,Arsenal,6-0,Lens
02/12/23,LI1,Lens,3-2,Lyon
08/12/23,LI1,Montpellier,0-0,Lens
12/12/23,UCL,Lens,2-1,Sevilla
16/12/23,LI1,Lens,2-0,Reims
20/12/23,LI1,Nice,2-0,Lens
07/01/24,CDF,Lens,P2-2P,Monaco
14/01/24,LI1,Lens,0-2,PSG
28/01/24,LI1,Toulouse,0-2,Lens
03/02/24,LI1,Nantes,0-1,Lens
10/02/24,LI1,Lens,3-1,Strasbourg
15/02/24,UEL,Lens,0-0,Freiburg
18/02/24,LI1,Reims,1-1,Lens
22/02/24,UEL,Freiburg,E3-2E,Lens
25/02/24,LI1,Lens,2-3,Monaco
03/03/24,LI1,Lyon,0-3,Lens
09/03/24,LI1,Lens,1-0,Brest
16/03/24,LI1,Lens,1-3,Nice
29/03/24,LI1,Lille,2-1,Lens
06/04/24,LI1,Lens,1-1,Le Havre
12/04/24,LI1,Metz,2-1,Lens
20/04/24,LI1,Lens,1-0,Clermont
28/04/24,LI1,Marseille,2-1,Lens
03/05/24,LI1,Lens,21:00,Lorient
12/05/24,LI1,Rennes,21:00,Lens
19/05/24,LI1,Lens,21:00,Montpellier
16/07/22,CLF,Rodez,0-1,Lens
16/07/22,CLF,Clermont,1-3,Lens
23/07/22,CLF,Lens,1-0,Inter Milan
30/07/22,CLF,Lens,0-0,West Ham United
07/08/22,LI1,Lens,3-2,Brest
14/08/22,LI1,Ajaccio,0-0,Lens
20/08/22,LI1,Monaco,1-4,Lens
27/08/22,LI1,Lens,2-1,Rennes
31/08/22,LI1,Lens,5-2,Lorient
04/09/22,LI1,Reims,1-1,Lens
09/09/22,LI1,Lens,1-0,Troyes
18/09/22,LI1,Nantes,0-0,Lens
02/10/22,LI1,Lens,1-0,Lyon
09/10/22,LI1,Lille,1-0,Lens
15/10/22,LI1,Lens,1-0,Montpellier
22/10/22,LI1,Marseille,0-1,Lens
28/10/22,LI1,Lens,3-0,Toulouse
05/11/22,LI1,Angers,1-2,Lens
12/11/22,LI1,Lens,2-1,Clermont
10/12/22,CLF,Lens,2-1,Montpellier
17/12/22,CLF,Lens,3-0,Le Havre
17/12/22,CLF,Lens,CANC,Le Havre
21/12/22,CLF,Reims,1-2,Lens
29/12/22,LI1,Nice,0-0,Lens
01/01/23,LI1,Lens,3-1,PSG
07/01/23,CDF,Linas-Montlhery,0-2,Lens
11/01/23,LI1,Strasbourg,2-2,Lens
14/01/23,LI1,Lens,1-0,Auxerre
22/01/23,CDF,Brest,1-3,Lens
28/01/23,LI1,Troyes,1-1,Lens
01/02/23,LI1,Lens,0-1,Nice
05/02/23,LI1,Brest,1-1,Lens
09/02/23,CDF,Lorient,P1-1P,Lens
12/02/23,LI1,Lyon,2-1,Lens
19/02/23,LI1,Lens,3-1,Nantes
25/02/23,LI1,Montpellier,1-1,Lens
01/03/23,CDF,Nantes,2-1,Lens
04/03/23,LI1,Lens,1-1,Lille
12/03/23,LI1,Clermont,0-4,Lens
18/03/23,LI1,Lens,3-0,Angers
01/04/23,LI1,Rennes,0-1,Lens
07/04/23,LI1,Lens,2-1,Strasbourg
15/04/23,LI1,PSG,3-1,Lens
22/04/23,LI1,Lens,3-0,Monaco
02/05/23,LI1,Toulouse,0-1,Lens
06/05/23,LI1,Lens,2-1,Marseille
12/05/23,LI1,Lens,2-1,Reims
21/05/23,LI1,Lorient,1-3,Lens
27/05/23,LI1,Lens,3-0,Ajaccio
03/06/23,LI1,Auxerre,1-3,Lens
16/05/21,LI1,Bordeaux,3-0,Lens
23/05/21,LI1,Lens,0-0,Monaco
07/07/21,CLF,Lens,1-1,Standard Liège
09/07/21,CLF,Lens,0-1,Union Saint-Gilloise
17/07/21,CLF,Lens,2-2,Le Havre
24/07/21,CLF,Reims,1-2,Lens
31/07/21,CLF,Lens,4-1,Udinese
08/08/21,LI1,Rennes,1-1,Lens
15/08/21,LI1,Lens,2-2,Saint-Etienne
21/08/21,LI1,Monaco,0-2,Lens
29/08/21,LI1,Lens,2-2,Lorient
12/09/21,LI1,Bordeaux,2-3,Lens
18/09/21,LI1,Lens,1-0,Lille
22/09/21,LI1,Lens,0-1,Strasbourg
26/09/21,LI1,Marseille,2-3,Lens
01/10/21,LI1,Lens,2-0,Reims
17/10/21,LI1,Montpellier,1-0,Lens
24/10/21,LI1,Lens,4-1,Metz
30/10/21,LI1,Lyon,2-1,Lens
05/11/21,LI1,Lens,4-0,Troyes
21/11/21,LI1,Brest,4-0,Lens
26/11/21,LI1,Lens,2-2,Angers
01/12/21,LI1,Clermont,2-2,Lens
04/12/21,LI1,Lens,1-1,PSG
10/12/21,LI1,Nantes,3-2,Lens
