Date,Competition,Home team,Score,Away team
19/03/23,LI1,Nice,1-1,Lorient
02/04/23,LI1,Lille,3-1,Lorient
09/04/23,LI1,Lorient,0-0,Marseille
16/04/23,LI1,Monaco,3-1,Lorient
23/04/23,LI1,Lorient,0-1,Toulouse
30/04/23,LI1,PSG,1-3,Lorient
07/05/23,LI1,Lorient,2-1,Brest
14/05/23,LI1,Montpellier,1-1,Lorient
21/05/23,LI1,Lorient,1-3,Lens
27/05/23,LI1,Clermont,2-0,Lorient
03/06/23,LI1,Lorient,2-1,Strasbourg
15/07/23,CLF,Lorient,3-3,Concarneau
29/07/23,CLF,Lorient,2-0,Le Havre
02/08/23,CLF,Lorient,3-1,Nantes
05/08/23,CLF,AFC Bournemouth,2-0,Lorient
12/08/23,LI1,PSG,0-0,Lorient
20/08/23,LI1,Lorient,1-1,Nice
27/08/23,LI1,Lorient,4-1,Lille
03/09/23,LI1,Le Havre,3-0,Lorient
17/09/23,LI1,Lorient,2-2,Monaco
23/09/23,LI1,Nantes,5-3,Lorient
01/10/23,LI1,Lorient,0-3,Montpellier
08/10/23,LI1,Lyon,3-3,Lorient
22/10/23,LI1,Lorient,2-1,Rennes
28/10/23,LI1,Reims,1-0,Lorient
04/11/23,LI1,Lorient,0-0,Lens
12/11/23,LI1,Clermont,1-0,Lorient
26/11/23,LI1,Lorient,2-3,Metz
03/12/23,LI1,Toulouse,1-1,Lorient
10/12/23,LI1,Lorient,2-4,Marseille
17/12/23,LI1,Lorient,1-2,Strasbourg
20/12/23,LI1,Brest,4-0,Lorient
06/01/24,CDF,Sochaux,2-1,Lorient
14/01/24,LI1,Lille,3-0,Lorient
28/01/24,LI1,Lorient,3-3,Le Havre
04/02/24,LI1,Metz,1-2,Lorient
11/02/24,LI1,Lorient,2-0,Reims
18/02/24,LI1,Strasbourg,1-3,Lorient
24/02/24,LI1,Lorient,0-1,Nantes
03/03/24,LI1,Rennes,1-2,Lorient
09/03/24,LI1,Lorient,0-2,Lyon
17/03/24,LI1,Monaco,2-2,Lorient
31/03/24,LI1,Lorient,0-1,Brest
07/04/24,LI1,Montpellier,2-0,Lorient
19/04/24,LI1,Nice,3-0,Lorient
24/04/24,LI1,Lorient,1-4,PSG
28/04/24,LI1,Lorient,1-2,Toulouse
03/05/24,LI1,Lens,21:00,Lorient
12/05/24,LI1,Marseille,21:00,Lorient
19/05/24,LI1,Lorient,21:00,Clermont
04/03/22,LI1,Lorient,1-4,Lyon
13/03/22,LI1,Clermont,0-2,Lorient
20/03/22,LI1,Lorient,0-0,Strasbourg
03/04/22,LI1,PSG,5-1,Lorient
08/04/22,LI1,Lorient,6-2,Saint-Etienne
17/04/22,LI1,Nice,2-1,Lorient
20/04/22,LI1,Lorient,1-0,Metz
24/04/22,LI1,Rennes,5-0,Lorient
01/05/22,LI1,Lorient,1-2,Reims
08/05/22,LI1,Lorient,0-3,Marseille
