Date,Competition,Home team,Score,Away team
07/05/23,LI1,Lyon,5-4,Montpellier
14/05/23,LI1,Clermont,2-1,Lyon
19/05/23,LI1,Lyon,3-1,Monaco
27/05/23,LI1,Lyon,3-0,Reims
03/06/23,LI1,Nice,3-1,Lyon
14/07/23,CLF,De Treffers,1-2,Lyon
19/07/23,CLF,Manchester United,1-0,Lyon
23/07/23,CLF,RWDM,1-0,Lyon
29/07/23,CLF,Celta Vigo,1-0,Lyon
05/08/23,CLF,Crystal Palace,2-0,Lyon
13/08/23,LI1,Strasbourg,2-1,Lyon
19/08/23,LI1,Lyon,1-4,Montpellier
27/08/23,LI1,Nice,0-0,Lyon
03/09/23,LI1,Lyon,1-4,PSG
17/09/23,LI1,Lyon,0-0,Le Havre
23/09/23,LI1,Brest,1-0,Lyon
01/10/23,LI1,Reims,2-0,Lyon
08/10/23,LI1,Lyon,3-3,Lorient
22/10/23,LI1,Lyon,1-2,Clermont
05/11/23,LI1,Lyon,1-1,Metz
12/11/23,LI1,Rennes,0-1,Lyon
26/11/23,LI1,Lyon,0-2,Lille
02/12/23,LI1,Lens,3-2,Lyon
06/12/23,LI1,Marseille,3-0,Lyon
10/12/23,LI1,Lyon,3-0,Toulouse
15/12/23,LI1,Monaco,0-1,Lyon
20/12/23,LI1,Lyon,1-0,Nantes
07/01/24,CDF,Pontarlier,0-3,Lyon
14/01/24,LI1,Le Havre,3-1,Lyon
19/01/24,CDF,Bergerac,1-2,Lyon
26/01/24,LI1,Lyon,2-3,Rennes
04/02/24,LI1,Lyon,1-0,Marseille
07/02/24,CDF,Lyon,2-1,Lille
11/02/24,LI1,Montpellier,1-2,Lyon
16/02/24,LI1,Lyon,1-0,Nice
23/02/24,LI1,Metz,1-2,Lyon
27/02/24,CDF,Lyon,P0-0P,Strasbourg
03/03/24,LI1,Lyon,0-3,Lens
09/03/24,LI1,Lorient,0-2,Lyon
15/03/24,LI1,Toulouse,2-3,Lyon
30/03/24,LI1,Lyon,1-1,Reims
02/04/24,CDF,Lyon,3-0,Valenciennes
07/04/24,LI1,Nantes,1-3,Lyon
14/04/24,LI1,Lyon,4-3,Brest
21/04/24,LI1,PSG,4-1,Lyon
28/04/24,LI1,Lyon,3-2,Monaco
06/05/24,LI1,Lille,21:00,Lyon
12/05/24,LI1,Clermont,21:00,Lyon
19/05/24,LI1,Lyon,21:00,Strasbourg
25/05/24,CDF,Lyon,21:00,PSG
12/07/22,CLF,Lyon,1-3,Dinamo Kiev
12/07/22,CLF,Lyon,3-0,Dinamo Kiev
16/07/22,CLF,Anderlecht,2-3,Lyon
16/07/22,CLF,Anderlecht,3-0,Lyon
23/07/22,CLF,Willem II,5-0,Lyon
24/07/22,CLF,Feyenoord,0-2,Lyon
30/07/22,CLF,Inter Milan,2-2,Lyon
05/08/22,LI1,Lyon,2-1,Ajaccio
19/08/22,LI1,Lyon,4-1,Troyes
28/08/22,LI1,Reims,1-1,Lyon
31/08/22,LI1,Lyon,2-1,Auxerre
03/09/22,LI1,Lyon,5-0,Angers
07/09/22,LI1,Lorient,3-1,Lyon
11/09/22,LI1,Monaco,2-1,Lyon
18/09/22,LI1,Lyon,0-1,PSG
02/10/22,LI1,Lens,1-0,Lyon
07/10/22,LI1,Lyon,1-1,Toulouse
16/10/22,LI1,Rennes,3-2,Lyon
22/10/22,LI1,Montpellier,1-2,Lyon
30/10/22,LI1,Lyon,1-0,Lille
06/11/22,LI1,Marseille,1-0,Lyon
11/11/22,LI1,Lyon,1-1,Nice
01/12/22,CLF,Lyon,5-3,OH Leuven
