Date,Competition,Home team,Score,Away team
15/08/23,UCL,Marseille,P2-1P,Panathinaikos
18/08/23,LI1,Metz,2-2,Marseille
26/08/23,LI1,Marseille,2-0,Brest
01/09/23,LI1,Nantes,1-1,Marseille
17/09/23,LI1,Marseille,0-0,Toulouse
21/09/23,UEL,Ajax,3-3,Marseille
24/09/23,LI1,PSG,4-0,Marseille
30/09/23,LI1,Monaco,3-2,Marseille
05/10/23,UEL,Marseille,2-2,Brighton & Hove Albion
08/10/23,LI1,Marseille,3-0,Le Havre
21/10/23,LI1,Nice,1-0,Marseille
26/10/23,UEL,Marseille,3-1,AEK Athens
04/11/23,LI1,Marseille,0-0,Lille
09/11/23,UEL,AEK Athens,0-2,Marseille
12/11/23,LI1,Lens,1-0,Marseille
25/11/23,LI1,Strasbourg,1-1,Marseille
30/11/23,UEL,Marseille,4-3,Ajax
03/12/23,LI1,Marseille,2-0,Rennes
06/12/23,LI1,Marseille,3-0,Lyon
10/12/23,LI1,Lorient,2-4,Marseille
14/12/23,UEL,Brighton & Hove Albion,1-0,Marseille
17/12/23,LI1,Marseille,2-1,Clermont
20/12/23,LI1,Montpellier,1-1,Marseille
07/01/24,CDF,Thionville Lusitanos,0-1,Marseille
12/01/24,LI1,Marseille,1-1,Strasbourg
21/01/24,CDF,Rennes,P1-1P,Marseille
27/01/24,LI1,Marseille,2-2,Monaco
04/02/24,LI1,Lyon,1-0,Marseille
09/02/24,LI1,Marseille,1-1,Metz
15/02/24,UEL,Shakhtar Donetsk,2-2,Marseille
18/02/24,LI1,Brest,1-0,Marseille
22/02/24,UEL,Marseille,3-1,Shakhtar Donetsk
25/02/24,LI1,Marseille,4-1,Montpellier
02/03/24,LI1,Clermont,1-5,Marseille
07/03/24,UEL,Marseille,4-0,Villarreal
10/03/24,LI1,Marseille,2-0,Nantes
14/03/24,UEL,Villarreal,3-1,Marseille
17/03/24,LI1,Rennes,2-0,Marseille
31/03/24,LI1,Marseille,0-2,PSG
05/04/24,LI1,Lille,3-1,Marseille
11/04/24,UEL,Benfica,2-1,Marseille
18/04/24,UEL,Marseille,P1-0P,Benfica
21/04/24,LI1,Toulouse,2-2,Marseille
24/04/24,LI1,Marseille,2-2,Nice
28/04/24,LI1,Marseille,2-1,Lens
02/05/24,UEL,Marseille,21:00,Atalanta
09/05/24,UEL,Atalanta,21:00,Marseille
12/05/24,LI1,Marseille,21:00,Lorient
15/05/24,LI1,Reims,21:00,Marseille
19/05/24,LI1,Le Havre,21:00,Marseille
03/09/22,LI1,Auxerre,0-2,Marseille
07/09/22,UCL,Tottenham Hotspur,2-0,Marseille
10/09/22,LI1,Marseille,2-1,Lille
13/09/22,UCL,Marseille,0-1,Eintracht Frankfurt
18/09/22,LI1,Marseille,1-1,Rennes
30/09/22,LI1,Angers,0-3,Marseille
04/10/22,UCL,Marseille,4-1,Sporting Lisbon
08/10/22,LI1,Marseille,1-2,Ajaccio
12/10/22,UCL,Sporting Lisbon,0-2,Marseille
16/10/22,LI1,PSG,1-0,Marseille
22/10/22,LI1,Marseille,0-1,Lens
26/10/22,UCL,Eintracht Frankfurt,2-1,Marseille
29/10/22,LI1,Strasbourg,2-2,Marseille
01/11/22,UCL,Marseille,1-2,Tottenham Hotspur
06/11/22,LI1,Marseille,1-0,Lyon
13/11/22,LI1,Monaco,2-3,Marseille
11/12/22,CLF,Marseille,2-3,Sassuolo
29/12/22,LI1,Marseille,6-1,Toulouse
02/01/23,LI1,Montpellier,1-2,Marseille
07/01/23,CDF,Marseille,2-0,Hyères
11/01/23,LI1,Troyes,0-2,Marseille
14/01/23,LI1,Marseille,3-1,Lorient
20/01/23,CDF,Marseille,1-0,Rennes
28/01/23,LI1,Marseille,1-1,Monaco
01/02/23,LI1,Nantes,0-2,Marseille
05/02/23,LI1,Marseille,1-3,Nice
08/02/23,CDF,Marseille,2-1,PSG
11/02/23,LI1,Clermont,0-2,Marseille
19/02/23,LI1,Toulouse,2-3,Marseille
26/02/23,LI1,Marseille,0-3,PSG
01/03/23,CDF,Marseille,P2-2P,Annecy
05/03/23,LI1,Rennes,0-1,Marseille
12/03/23,LI1,Marseille,2-2,Strasbourg
19/03/23,LI1,Reims,1-2,Marseille
31/03/23,LI1,Marseille,1-1,Montpellier
09/04/23,LI1,Lorient,0-0,Marseille
16/04/23,LI1,Marseille,3-1,Troyes
23/04/23,LI1,Lyon,1-2,Marseille
30/04/23,LI1,Marseille,2-1,Auxerre
06/05/23,LI1,Lens,2-1,Marseille
14/05/23,LI1,Marseille,3-1,Angers
20/05/23,LI1,Lille,2-1,Marseille
27/05/23,LI1,Marseille,1-2,Brest
03/06/23,LI1,Ajaccio,1-0,Marseille
15/07/23,CLF,Marseille,2-0,Nîmes
22/07/23,CLF,AS Eupen,1-0,Marseille
27/07/23,CLF,RKC Waalwijk,0-1,Marseille
02/08/23,CLF,Marseille,1-2,Bayer Leverkusen
09/08/23,UCL,Panathinaikos,1-0,Marseille
12/08/23,LI1,Marseille,2-1,Reims
07/11/21,LI1,Marseille,0-0,Metz
25/11/21,UEL,Galatasaray,4-2,Marseille
28/11/21,LI1,Marseille,1-0,Troyes
01/12/21,LI1,Nantes,0-1,Marseille
04/12/21,LI1,Marseille,1-2,Brest
09/12/21,UEL,Marseille,1-0,Lokomotiv Moscow
12/12/21,LI1,Strasbourg,0-2,Marseille
19/12/21,CDF,Marseille,4-1,Cannet Rocheville
22/12/21,LI1,Marseille,1-1,Reims
02/01/22,CDF,Chauvigny,0-3,Marseille
07/01/22,LI1,Bordeaux,0-1,Marseille
16/01/22,LI1,Marseille,1-1,Lille
22/01/22,LI1,Lens,0-2,Marseille
29/01/22,CDF,Marseille,P1-1P,Montpellier
01/02/22,LI1,Lyon,2-1,Marseille
