Date,Competition,Home team,Score,Away team
06/05/23,LI2,Niort,1-3,Metz
13/05/23,LI2,Metz,1-0,Grenoble Foot 38
20/05/23,LI2,Guingamp,1-1,Metz
26/05/23,LI2,Sochaux,0-1,Metz
02/06/23,LI2,Metz,3-2,Bastia
11/07/23,CLF,Metz,3-0,Racing Union Luxembourg
15/07/23,CLF,Metz,2-1,RFC Seraing
22/07/23,CLF,Troyes,0-3,Metz
25/07/23,CLF,Metz,2-2,Standard Liège
29/07/23,CLF,Amiens SC,0-0,Metz
05/08/23,CLF,Heerenveen,0-1,Metz
13/08/23,LI1,Rennes,5-1,Metz
18/08/23,LI1,Metz,2-2,Marseille
27/08/23,LI1,Clermont,0-1,Metz
03/09/23,LI1,Metz,2-2,Reims
08/09/23,CLF,Metz,1-1,Basel
16/09/23,LI1,Lens,0-1,Metz
24/09/23,LI1,Metz,0-1,Strasbourg
01/10/23,LI1,Toulouse,3-0,Metz
07/10/23,LI1,Metz,0-1,Nice
13/10/23,CLF,Kaiserslautern,2-3,Metz
22/10/23,LI1,Monaco,2-1,Metz
29/10/23,LI1,Metz,0-0,Le Havre
05/11/23,LI1,Lyon,1-1,Metz
12/11/23,LI1,Metz,3-1,Nantes
17/11/23,CLF,Elversberg,1-0,Metz
26/11/23,LI1,Lorient,2-3,Metz
03/12/23,LI1,Lille,2-0,Metz
10/12/23,LI1,Metz,0-1,Brest
17/12/23,LI1,Metz,0-1,Montpellier
20/12/23,LI1,PSG,3-1,Metz
05/01/24,CDF,Metz,P1-1P,Clermont
14/01/24,LI1,Metz,0-1,Toulouse
27/01/24,LI1,Nice,1-0,Metz
04/02/24,LI1,Metz,1-2,Lorient
09/02/24,LI1,Marseille,1-1,Metz
18/02/24,LI1,Montpellier,3-0,Metz
23/02/24,LI1,Metz,1-2,Lyon
03/03/24,LI1,Nantes,0-2,Metz
10/03/24,LI1,Metz,1-0,Clermont
17/03/24,LI1,Reims,2-1,Metz
21/03/24,CLF,Metz,0-0,Troyes
30/03/24,LI1,Metz,2-5,Monaco
07/04/24,LI1,Brest,4-3,Metz
12/04/24,LI1,Metz,2-1,Lens
21/04/24,LI1,Le Havre,0-1,Metz
28/04/24,LI1,Metz,1-2,Lille
04/05/24,LI1,Metz,19:00,Rennes
12/05/24,LI1,Strasbourg,21:00,Metz
19/05/24,LI1,Metz,21:00,PSG
24/04/22,LI1,Metz,0-1,Brest
01/05/22,LI1,Montpellier,2-2,Metz
08/05/22,LI1,Metz,3-2,Lyon
14/05/22,LI1,Metz,1-0,Angers
21/05/22,LI1,PSG,5-0,Metz
09/07/22,CLF,Metz,2-0,Racing Union Luxembourg
12/07/22,CLF,Sedan,3-3,Metz
16/07/22,CLF,Metz,4-0,Troyes
20/07/22,CLF,Reims,1-0,Metz
23/07/22,CLF,Metz,1-0,Sochaux
30/07/22,LI2,Metz,3-0,Amiens SC
08/08/22,LI2,Caen,1-0,Metz
13/08/22,LI2,Metz,2-0,Valenciennes
20/08/22,LI2,Laval,3-3,Metz
27/08/22,LI2,Metz,1-2,Dijon
30/08/22,LI2,Rodez,1-4,Metz
02/09/22,LI2,Metz,0-0,Annecy
12/09/22,LI2,Metz,3-6,Guingamp
17/09/22,LI2,Bastia,1-0,Metz
01/10/22,LI2,Metz,1-0,Pau
08/10/22,LI2,Bordeaux,2-0,Metz
15/10/22,LI2,Metz,0-0,Sochaux
24/10/22,LI2,Le Havre,2-0,Metz
01/11/22,CDF,Raon l'Etape,1-2,Metz
07/11/22,LI2,Metz,3-2,Saint-Etienne
12/11/22,LI2,Paris FC,1-4,Metz
19/11/22,CDF,Épinal,0-1,Metz
09/12/22,CLF,Metz,1-5,Auxerre
13/12/22,CLF,Genk,1-0,Metz
21/12/22,CLF,Metz,2-1,Elversberg
26/12/22,LI2,Metz,0-0,Niort
30/12/22,LI2,Grenoble Foot 38,0-1,Metz
07/01/23,CDF,Lyon,2-1,Metz
10/01/23,LI2,Nîmes,1-4,Metz
13/01/23,LI2,Metz,2-0,Quevilly-Rouen Métropole
28/01/23,LI2,Valenciennes,1-1,Metz
31/01/23,LI2,Metz,1-1,Rodez
06/02/23,LI2,Amiens SC,0-2,Metz
13/02/23,LI2,Metz,0-0,Caen
18/02/23,LI2,Dijon,0-0,Metz
