Date,Competition,Home team,Score,Away team
07/05/23,LI1,Angers,1-2,Monaco
14/05/23,LI1,Monaco,0-0,Lille
19/05/23,LI1,Lyon,3-1,Monaco
27/05/23,LI1,Rennes,2-0,Monaco
03/06/23,LI1,Monaco,1-2,Toulouse
09/07/23,CLF,Monaco,1-1,Union Saint-Gilloise
15/07/23,CLF,Cercle Brugge,3-0,Monaco
19/07/23,CLF,Real Betis,1-3,Monaco
22/07/23,CLF,Leeds United,0-2,Monaco
28/07/23,CLF,Bologna,2-3,Monaco
29/07/23,CLF,Genoa,1-0,Monaco
02/08/23,EMC,Arsenal,P1-1P,Monaco
07/08/23,CLF,Bayern Munich,4-2,Monaco
13/08/23,LI1,Clermont,2-4,Monaco
20/08/23,LI1,Monaco,3-0,Strasbourg
25/08/23,LI1,Nantes,3-3,Monaco
02/09/23,LI1,Monaco,3-0,Lens
17/09/23,LI1,Lorient,2-2,Monaco
22/09/23,LI1,Monaco,0-1,Nice
30/09/23,LI1,Monaco,3-2,Marseille
07/10/23,LI1,Reims,1-3,Monaco
22/10/23,LI1,Monaco,2-1,Metz
29/10/23,LI1,Lille,2-0,Monaco
05/11/23,LI1,Monaco,2-0,Brest
11/11/23,LI1,Le Havre,0-0,Monaco
24/11/23,LI1,PSG,5-2,Monaco
03/12/23,LI1,Monaco,2-0,Montpellier
09/12/23,LI1,Rennes,1-2,Monaco
15/12/23,LI1,Monaco,0-1,Lyon
20/12/23,LI1,Toulouse,1-2,Monaco
07/01/24,CDF,Lens,P2-2P,Monaco
13/01/24,LI1,Monaco,1-3,Reims
20/01/24,CDF,Rodez,1-3,Monaco
27/01/24,LI1,Marseille,2-2,Monaco
04/02/24,LI1,Monaco,1-1,Le Havre
08/02/24,CDF,Rouen,P1-1P,Monaco
11/02/24,LI1,Nice,2-3,Monaco
18/02/24,LI1,Monaco,1-2,Toulouse
25/02/24,LI1,Lens,2-3,Monaco
01/03/24,LI1,Monaco,0-0,PSG
10/03/24,LI1,Strasbourg,0-1,Monaco
17/03/24,LI1,Monaco,2-2,Lorient
30/03/24,LI1,Metz,2-5,Monaco
07/04/24,LI1,Monaco,1-0,Rennes
21/04/24,LI1,Brest,0-2,Monaco
24/04/24,LI1,Monaco,1-0,Lille
28/04/24,LI1,Lyon,3-2,Monaco
04/05/24,LI1,Monaco,17:00,Clermont
12/05/24,LI1,Montpellier,21:00,Monaco
19/05/24,LI1,Monaco,21:00,Nantes
02/08/22,UCL,Monaco,1-1,PSV
06/08/22,LI1,Strasbourg,1-2,Monaco
09/08/22,UCL,PSV,E3-2E,Monaco
13/08/22,LI1,Monaco,1-1,Rennes
20/08/22,LI1,Monaco,1-4,Lens
28/08/22,LI1,PSG,1-1,Monaco
31/08/22,LI1,Monaco,2-4,Troyes
04/09/22,LI1,Nice,0-1,Monaco
08/09/22,UEL,Red Star Belgrade,0-1,Monaco
11/09/22,LI1,Monaco,2-1,Lyon
15/09/22,UEL,Monaco,0-1,Ferencváros
18/09/22,LI1,Reims,0-3,Monaco
02/10/22,LI1,Monaco,4-1,Nantes
06/10/22,UEL,Monaco,3-1,Trabzonspor
09/10/22,LI1,Montpellier,0-2,Monaco
13/10/22,UEL,Trabzonspor,4-0,Monaco
16/10/22,LI1,Monaco,1-1,Clermont
23/10/22,LI1,Lille,4-3,Monaco
27/10/22,UEL,Ferencváros,1-1,Monaco
30/10/22,LI1,Monaco,2-0,Angers
03/11/22,UEL,Monaco,4-1,Red Star Belgrade
06/11/22,LI1,Toulouse,0-2,Monaco
13/11/22,LI1,Monaco,2-3,Marseille
02/12/22,CLF,Monaco,CANC,Cercle Brugge
07/12/22,CLF,Sevilla,1-1,Monaco
16/12/22,CLF,Empoli,0-1,Monaco
17/12/22,CLF,Fiorentina,1-1,Monaco
21/12/22,CLF,Leeds United,2-4,Monaco
28/12/22,LI1,Auxerre,2-3,Monaco
01/01/23,LI1,Monaco,1-0,Brest
07/01/23,CDF,Monaco,P2-2P,Rodez
11/01/23,LI1,Lorient,2-2,Monaco
15/01/23,LI1,Monaco,7-1,Ajaccio
28/01/23,LI1,Marseille,1-1,Monaco
01/02/23,LI1,Monaco,3-2,Auxerre
05/02/23,LI1,Clermont,0-2,Monaco
11/02/23,LI1,Monaco,3-1,PSG
16/02/23,UEL,Bayer Leverkusen,2-3,Monaco
19/02/23,LI1,Brest,1-2,Monaco
23/02/23,UEL,Monaco,P2-3P,Bayer Leverkusen
26/02/23,LI1,Monaco,0-3,Nice
05/03/23,LI1,Troyes,2-2,Monaco
12/03/23,LI1,Monaco,0-1,Reims
19/03/23,LI1,Ajaccio,0-2,Monaco
23/03/23,CLF,Monaco,1-1,Spezia
02/04/23,LI1,Monaco,4-3,Strasbourg
09/04/23,LI1,Nantes,2-2,Monaco
16/04/23,LI1,Monaco,3-1,Lorient
22/04/23,LI1,Lens,3-0,Monaco
30/04/23,LI1,Monaco,0-4,Montpellier
30/09/21,UEL,Real Sociedad,1-1,Monaco
03/10/21,LI1,Monaco,3-0,Bordeaux
16/10/21,LI1,Lyon,2-0,Monaco
21/10/21,UEL,PSV,1-2,Monaco
24/10/21,LI1,Monaco,3-1,Montpellier
31/10/21,LI1,Brest,2-0,Monaco
04/11/21,UEL,Monaco,0-0,PSV
