Date,Competition,Home team,Score,Away team
31/03/23,LI1,Marseille,1-1,Montpellier
09/04/23,LI1,Montpellier,1-2,Toulouse
16/04/23,LI1,Lille,2-1,Montpellier
23/04/23,LI1,Montpellier,1-0,Rennes
30/04/23,LI1,Monaco,0-4,Montpellier
07/05/23,LI1,Lyon,5-4,Montpellier
14/05/23,LI1,Montpellier,1-1,Lorient
20/05/23,LI1,Nantes,0-3,Montpellier
27/05/23,LI1,Montpellier,2-3,Nice
03/06/23,LI1,Reims,1-3,Montpellier
15/07/23,CLF,Montpellier,3-1,Toulouse
26/07/23,CLF,Montpellier,1-1,Clermont
05/08/23,CLF,Borussia M'gladbach,2-2,Montpellier
13/08/23,LI1,Montpellier,2-2,Le Havre
19/08/23,LI1,Lyon,1-4,Montpellier
27/08/23,LI1,Montpellier,1-3,Reims
03/09/23,LI1,Lille,1-0,Montpellier
17/09/23,LI1,Strasbourg,2-2,Montpellier
24/09/23,LI1,Montpellier,0-0,Rennes
01/10/23,LI1,Lorient,0-3,Montpellier
22/10/23,LI1,Nantes,2-0,Montpellier
29/10/23,LI1,Montpellier,3-0,Toulouse
03/11/23,LI1,PSG,3-0,Montpellier
10/11/23,LI1,Montpellier,0-0,Nice
26/11/23,LI1,Montpellier,1-3,Brest
29/11/23,LI1,Montpellier,1-1,Clermont
03/12/23,LI1,Monaco,2-0,Montpellier
08/12/23,LI1,Montpellier,0-0,Lens
17/12/23,LI1,Metz,0-1,Montpellier
20/12/23,LI1,Montpellier,1-1,Marseille
06/01/24,CDF,Amiens SC,1-2,Montpellier
14/01/24,LI1,Brest,2-0,Montpellier
24/01/24,CDF,Feignies Aulnoye,0-4,Montpellier
28/01/24,LI1,Montpellier,0-0,Lille
03/02/24,LI1,Rennes,2-1,Montpellier
07/02/24,CDF,Montpellier,1-4,Nice
11/02/24,LI1,Montpellier,1-2,Lyon
18/02/24,LI1,Montpellier,3-0,Metz
25/02/24,LI1,Marseille,4-1,Montpellier
03/03/24,LI1,Montpellier,2-2,Strasbourg
08/03/24,LI1,Nice,1-2,Montpellier
17/03/24,LI1,Montpellier,2-6,PSG
31/03/24,LI1,Le Havre,0-2,Montpellier
07/04/24,LI1,Montpellier,2-0,Lorient
14/04/24,LI1,Clermont,1-1,Montpellier
21/04/24,LI1,Reims,1-2,Montpellier
26/04/24,LI1,Montpellier,1-1,Nantes
03/05/24,LI1,Toulouse,19:00,Montpellier
12/05/24,LI1,Montpellier,21:00,Monaco
19/05/24,LI1,Lens,21:00,Montpellier
25/02/22,LI1,Montpellier,2-4,Rennes
06/03/22,LI1,Nantes,2-0,Montpellier
12/03/22,LI1,Montpellier,0-0,Nice
20/03/22,LI1,Bordeaux,0-2,Montpellier
03/04/22,LI1,Montpellier,1-2,Brest
10/04/22,LI1,Marseille,2-0,Montpellier
17/04/22,LI1,Montpellier,0-0,Reims
20/04/22,LI1,Lens,2-0,Montpellier
23/04/22,LI1,Lyon,5-2,Montpellier
01/05/22,LI1,Montpellier,2-2,Metz
08/05/22,LI1,Clermont,2-1,Montpellier
14/05/22,LI1,Montpellier,0-4,PSG
21/05/22,LI1,Angers,2-0,Montpellier
09/07/22,CLF,Montpellier,0-1,Rodez
16/07/22,CLF,Espanyol,2-0,Montpellier
20/07/22,CLF,Montpellier,0-2,Clermont
23/07/22,CLF,Montpellier,4-5,Toulouse
30/07/22,CLF,Crystal Palace,4-2,Montpellier
07/08/22,LI1,Montpellier,3-2,Troyes
13/08/22,LI1,PSG,5-2,Montpellier
21/08/22,LI1,Montpellier,1-2,Auxerre
28/08/22,LI1,Brest,0-7,Montpellier
31/08/22,LI1,Montpellier,2-0,Ajaccio
04/09/22,LI1,Montpellier,1-3,Lille
11/09/22,LI1,Angers,2-1,Montpellier
17/09/22,LI1,Montpellier,2-1,Strasbourg
02/10/22,LI1,Toulouse,4-2,Montpellier
09/10/22,LI1,Montpellier,0-2,Monaco
15/10/22,LI1,Lens,1-0,Montpellier
22/10/22,LI1,Montpellier,1-2,Lyon
30/10/22,LI1,Rennes,3-0,Montpellier
06/11/22,LI1,Clermont,1-1,Montpellier
13/11/22,LI1,Montpellier,1-1,Reims
10/12/22,CLF,Lens,2-1,Montpellier
16/12/22,CLF,Montpellier,5-0,Rodez
20/12/22,CLF,Montpellier,CANC,Toulouse
29/12/22,LI1,Lorient,0-2,Montpellier
02/01/23,LI1,Montpellier,1-2,Marseille
06/01/23,CDF,Pau,2-1,Montpellier
11/01/23,LI1,Nice,6-1,Montpellier
15/01/23,LI1,Montpellier,0-3,Nantes
29/01/23,LI1,Auxerre,0-2,Montpellier
01/02/23,LI1,Montpellier,1-3,PSG
05/02/23,LI1,Strasbourg,2-0,Montpellier
12/02/23,LI1,Montpellier,3-0,Brest
19/02/23,LI1,Troyes,0-1,Montpellier
25/02/23,LI1,Montpellier,1-1,Lens
05/03/23,LI1,Montpellier,5-0,Angers
12/03/23,LI1,Ajaccio,0-1,Montpellier
19/03/23,LI1,Montpellier,2-1,Clermont
21/02/21,LI1,Montpellier,2-1,Rennes
28/02/21,LI1,Reims,0-0,Montpellier
03/03/21,LI1,Montpellier,1-1,Lorient
06/03/21,CDF,Olympique d'Alès,1-2,Montpellier
14/03/21,LI1,Nîmes,1-1,Montpellier
21/03/21,LI1,Montpellier,3-1,Bordeaux
04/04/21,LI1,Angers,1-1,Montpellier
07/04/21,CDF,Châteaubriant,0-1,Montpellier
10/04/21,LI1,Montpellier,3-3,Marseille
16/04/21,LI1,Lille,1-1,Montpellier
20/04/21,CDF,Canet Roussillon,1-2,Montpellier
25/04/21,LI1,Nice,3-1,Montpellier
02/05/21,LI1,Montpellier,1-2,Saint-Etienne
09/05/21,LI1,Strasbourg,2-3,Montpellier
12/05/21,CDF,Montpellier,P2-2P,PSG
16/05/21,LI1,Montpellier,0-0,Brest
23/05/21,LI1,Nantes,1-2,Montpellier
10/07/21,CLF,Montpellier,2-4,Sète
14/07/21,CLF,Montpellier,1-0,Rodez
17/07/21,CLF,Clermont,3-2,Montpellier
23/07/21,CLF,RB Leipzig,1-2,Montpellier
31/07/21,CLF,Metz,1-0,Montpellier
08/08/21,LI1,Montpellier,2-3,Marseille
15/08/21,LI1,Reims,3-3,Montpellier
22/08/21,LI1,Montpellier,3-1,Lorient
29/08/21,LI1,Lille,2-1,Montpellier
12/09/21,LI1,Montpellier,2-0,Saint-Etienne
19/09/21,LI1,Troyes,1-1,Montpellier
22/09/21,LI1,Montpellier,3-3,Bordeaux
25/09/21,LI1,PSG,2-0,Montpellier
02/10/21,LI1,Montpellier,1-1,Strasbourg
17/10/21,LI1,Montpellier,1-0,Lens
24/10/21,LI1,Monaco,3-1,Montpellier
31/10/21,LI1,Montpellier,2-0,Nantes
07/11/21,LI1,Nice,0-1,Montpellier
20/11/21,LI1,Rennes,2-0,Montpellier
28/11/21,LI1,Montpellier,0-1,Lyon
01/12/21,LI1,Metz,1-3,Montpellier
05/12/21,LI1,Montpellier,1-0,Clermont
11/12/21,LI1,Brest,0-4,Montpellier
19/12/21,CDF,Andrézieux,0-1,Montpellier
22/12/21,LI1,Montpellier,4-1,Angers
02/01/22,CDF,Montpellier,1-0,Strasbourg
16/01/22,LI1,Strasbourg,3-1,Montpellier
19/01/22,LI1,Montpellier,0-1,Troyes
23/01/22,LI1,Montpellier,3-2,Monaco
29/01/22,CDF,Marseille,P1-1P,Montpellier
05/02/22,LI1,Saint-Etienne,3-1,Montpellier
12/02/22,LI1,Montpellier,0-1,Lille
20/02/22,LI1,Lorient,0-1,Montpellier
01/02/20,LI1,PSG,5-0,Montpellier
05/02/20,LI1,Montpellier,1-1,Metz
