Date,Competition,Home team,Score,Away team
16/04/23,LI1,Auxerre,2-1,Nantes
23/04/23,LI1,Nantes,2-2,Troyes
29/04/23,CDF,Nantes,1-5,Toulouse
03/05/23,LI1,Brest,2-0,Nantes
07/05/23,LI1,Nantes,0-2,Strasbourg
14/05/23,LI1,Toulouse,0-0,Nantes
20/05/23,LI1,Nantes,0-3,Montpellier
27/05/23,LI1,Lille,2-1,Nantes
03/06/23,LI1,Nantes,1-0,Angers
15/07/23,CLF,Nantes,0-3,Laval
23/07/23,CLF,Nantes,1-0,Angers
29/07/23,CLF,Hull City,1-1,Nantes
02/08/23,CLF,Lorient,3-1,Nantes
05/08/23,CLF,FC Cologne,2-0,Nantes
13/08/23,LI1,Nantes,1-2,Toulouse
20/08/23,LI1,Lille,2-0,Nantes
25/08/23,LI1,Nantes,3-3,Monaco
01/09/23,LI1,Nantes,1-1,Marseille
17/09/23,LI1,Clermont,0-1,Nantes
23/09/23,LI1,Nantes,5-3,Lorient
01/10/23,LI1,Rennes,3-1,Nantes
06/10/23,LI1,Strasbourg,1-2,Nantes
22/10/23,LI1,Nantes,2-0,Montpellier
28/10/23,LI1,Lens,4-0,Nantes
05/11/23,LI1,Nantes,0-1,Reims
12/11/23,LI1,Metz,3-1,Nantes
26/11/23,LI1,Nantes,0-0,Le Havre
02/12/23,LI1,Nantes,1-0,Nice
09/12/23,LI1,PSG,2-1,Nantes
17/12/23,LI1,Nantes,0-2,Brest
20/12/23,LI1,Lyon,1-0,Nantes
05/01/24,CDF,Pau,1-4,Nantes
14/01/24,LI1,Nantes,1-2,Clermont
20/01/24,CDF,Nantes,0-1,Laval
28/01/24,LI1,Reims,0-0,Nantes
03/02/24,LI1,Nantes,0-1,Lens
11/02/24,LI1,Toulouse,1-2,Nantes
17/02/24,LI1,Nantes,0-2,PSG
24/02/24,LI1,Lorient,0-1,Nantes
03/03/24,LI1,Nantes,0-2,Metz
10/03/24,LI1,Marseille,2-0,Nantes
16/03/24,LI1,Nantes,1-3,Strasbourg
31/03/24,LI1,Nice,1-2,Nantes
07/04/24,LI1,Nantes,1-3,Lyon
14/04/24,LI1,Le Havre,0-1,Nantes
20/04/24,LI1,Nantes,0-3,Rennes
26/04/24,LI1,Montpellier,1-1,Nantes
04/05/24,LI1,Brest,21:00,Nantes
12/05/24,LI1,Nantes,21:00,Lille
19/05/24,LI1,Monaco,21:00,Nantes
13/07/22,CLF,Nantes,0-1,Guingamp
16/07/22,CLF,Caen,0-2,Nantes
23/07/22,CLF,Nantes,2-0,Lorient
27/07/22,CLF,Nantes,0-1,Rennes
31/07/22,TDC,PSG,4-0,Nantes
07/08/22,LI1,Angers,0-0,Nantes
12/08/22,LI1,Nantes,1-1,Lille
20/08/22,LI1,Marseille,2-1,Nantes
28/08/22,LI1,Nantes,3-1,Toulouse
31/08/22,LI1,Strasbourg,1-1,Nantes
03/09/22,LI1,Nantes,0-3,PSG
08/09/22,UEL,Nantes,2-1,Olympiakos
11/09/22,LI1,Lorient,3-2,Nantes
15/09/22,UEL,Qarabag,3-0,Nantes
18/09/22,LI1,Nantes,0-0,Lens
02/10/22,LI1,Monaco,4-1,Nantes
06/10/22,UEL,Freiburg,2-0,Nantes
09/10/22,LI1,Rennes,3-0,Nantes
13/10/22,UEL,Nantes,0-4,Freiburg
16/10/22,LI1,Nantes,4-1,Brest
23/10/22,LI1,Nice,1-1,Nantes
27/10/22,UEL,Nantes,2-1,Qarabag
30/10/22,LI1,Nantes,1-1,Clermont
03/11/22,UEL,Olympiakos,0-2,Nantes
06/11/22,LI1,Reims,1-0,Nantes
13/11/22,LI1,Nantes,2-2,Ajaccio
16/12/22,CLF,Nantes,1-1,Laval
21/12/22,CLF,Lorient,2-1,Nantes
28/12/22,LI1,Troyes,0-0,Nantes
01/01/23,LI1,Nantes,1-0,Auxerre
07/01/23,CDF,Vire,0-2,Nantes
11/01/23,LI1,Nantes,0-0,Lyon
15/01/23,LI1,Montpellier,0-3,Nantes
22/01/23,CDF,Thaon,P0-0P,Nantes
29/01/23,LI1,Clermont,0-0,Nantes
01/02/23,LI1,Nantes,0-2,Marseille
05/02/23,LI1,Ajaccio,0-2,Nantes
08/02/23,CDF,Angers,P1-1P,Nantes
12/02/23,LI1,Nantes,1-0,Lorient
16/02/23,UEL,Juventus,1-1,Nantes
19/02/23,LI1,Lens,3-1,Nantes
23/02/23,UEL,Nantes,0-3,Juventus
26/02/23,LI1,Nantes,0-1,Rennes
01/03/23,CDF,Nantes,2-1,Lens
04/03/23,LI1,PSG,4-2,Nantes
12/03/23,LI1,Nantes,2-2,Nice
17/03/23,LI1,Lyon,1-1,Nantes
02/04/23,LI1,Nantes,0-3,Reims
05/04/23,CDF,Nantes,1-0,Lyon
09/04/23,LI1,Nantes,2-2,Monaco
14/07/21,CLF,Nantes,1-0,Guingamp
17/07/21,CLF,Caen,1-0,Nantes
18/07/21,CLF,Nantes,0-1,Niort
24/07/21,CLF,Nantes,3-1,Brest
28/07/21,CLF,Nantes,0-1,Lorient
31/07/21,CLF,Nantes,1-2,Clermont
06/08/21,LI1,Monaco,1-1,Nantes
15/08/21,LI1,Nantes,2-0,Metz
22/08/21,LI1,Rennes,1-0,Nantes
27/08/21,LI1,Nantes,0-1,Lyon
12/09/21,LI1,Nantes,0-2,Nice
19/09/21,LI1,Angers,1-4,Nantes
22/09/21,LI1,Nantes,3-1,Brest
26/09/21,LI1,Reims,3-1,Nantes
03/10/21,LI1,Nantes,2-0,Troyes
17/10/21,LI1,Bordeaux,1-1,Nantes
23/10/21,LI1,Nantes,2-1,Clermont
31/10/21,LI1,Montpellier,2-0,Nantes
