Date,Competition,Home team,Score,Away team
20/04/23,UEC,Nice,E1-2E,Basel
23/04/23,LI1,Nice,1-2,Clermont
30/04/23,LI1,Troyes,0-1,Nice
06/05/23,LI1,Nice,2-1,Rennes
13/05/23,LI1,Strasbourg,2-0,Nice
21/05/23,LI1,Nice,0-0,Toulouse
27/05/23,LI1,Montpellier,2-3,Nice
03/06/23,LI1,Nice,3-1,Lyon
14/07/23,CLF,Lausanne-Sport,3-1,Nice
29/07/23,CLF,Sporting Braga,2-0,Nice
05/08/23,CLF,Nice,1-1,Villarreal
06/08/23,CLF,Fiorentina,2-1,Nice
11/08/23,LI1,Nice,1-1,Lille
20/08/23,LI1,Lorient,1-1,Nice
27/08/23,LI1,Nice,0-0,Lyon
03/09/23,LI1,Nice,2-0,Strasbourg
15/09/23,LI1,PSG,2-3,Nice
22/09/23,LI1,Monaco,0-1,Nice
01/10/23,LI1,Nice,0-0,Brest
07/10/23,LI1,Metz,0-1,Nice
21/10/23,LI1,Nice,1-0,Marseille
27/10/23,LI1,Clermont,0-1,Nice
05/11/23,LI1,Nice,2-0,Rennes
10/11/23,LI1,Montpellier,0-0,Nice
26/11/23,LI1,Nice,1-0,Toulouse
02/12/23,LI1,Nantes,1-0,Nice
10/12/23,LI1,Nice,2-1,Reims
16/12/23,LI1,Le Havre,3-1,Nice
20/12/23,LI1,Nice,2-0,Lens
06/01/24,CDF,Nice,P0-0P,Auxerre
13/01/24,LI1,Rennes,2-0,Nice
20/01/24,CDF,Bordeaux,2-3,Nice
27/01/24,LI1,Nice,1-0,Metz
04/02/24,LI1,Brest,0-0,Nice
07/02/24,CDF,Montpellier,1-4,Nice
11/02/24,LI1,Nice,2-3,Monaco
16/02/24,LI1,Lyon,1-0,Nice
25/02/24,LI1,Nice,0-0,Clermont
03/03/24,LI1,Toulouse,2-1,Nice
08/03/24,LI1,Nice,1-2,Montpellier
13/03/24,CDF,PSG,3-1,Nice
16/03/24,LI1,Lens,1-3,Nice
31/03/24,LI1,Nice,1-2,Nantes
07/04/24,LI1,Reims,0-0,Nice
19/04/24,LI1,Nice,3-0,Lorient
24/04/24,LI1,Marseille,2-2,Nice
28/04/24,LI1,Strasbourg,1-3,Nice
10/05/24,LI1,Nice,21:00,Le Havre
15/05/24,LI1,Nice,21:00,PSG
19/05/24,LI1,Lille,21:00,Nice
23/07/22,CLF,Roma,1-1,Nice
30/07/22,CLF,Nice,1-0,Torino
07/08/22,LI1,Toulouse,1-1,Nice
14/08/22,LI1,Nice,1-1,Strasbourg
18/08/22,UEC,Maccabi Tel Aviv,1-0,Nice
21/08/22,LI1,Clermont,1-0,Nice
25/08/22,UEC,Nice,E2-0E,Maccabi Tel Aviv
28/08/22,LI1,Nice,0-3,Marseille
31/08/22,LI1,Lille,1-2,Nice
04/09/22,LI1,Nice,0-1,Monaco
08/09/22,UEC,Nice,1-1,FC Cologne
11/09/22,LI1,Ajaccio,0-1,Nice
15/09/22,UEC,Partizan,1-1,Nice
18/09/22,LI1,Nice,0-1,Angers
01/10/22,LI1,PSG,2-1,Nice
06/10/22,UEC,Slovacko,0-1,Nice
09/10/22,LI1,Nice,3-2,Troyes
13/10/22,UEC,Nice,1-2,Slovacko
16/10/22,LI1,Auxerre,1-1,Nice
23/10/22,LI1,Nice,1-1,Nantes
27/10/22,UEC,Nice,2-1,Partizan
30/10/22,LI1,Lorient,1-2,Nice
03/11/22,UEC,FC Cologne,2-2,Nice
06/11/22,LI1,Nice,1-0,Brest
11/11/22,LI1,Lyon,1-1,Nice
07/12/22,CLF,Sturm Graz,CANC,Nice
08/12/22,CLF,Standard Liège,1-4,Nice
10/12/22,CLF,Nice,CANC,Girona
16/12/22,CLF,Nice,0-3,Atalanta
21/12/22,CLF,Tottenham Hotspur,1-1,Nice
29/12/22,LI1,Nice,0-0,Lens
02/01/23,LI1,Rennes,2-1,Nice
07/01/23,CDF,Le Puy Foot,1-0,Nice
11/01/23,LI1,Nice,6-1,Montpellier
15/01/23,LI1,Reims,0-0,Nice
29/01/23,LI1,Nice,1-0,Lille
01/02/23,LI1,Lens,0-1,Nice
05/02/23,LI1,Marseille,1-3,Nice
10/02/23,LI1,Nice,3-0,Ajaccio
18/02/23,LI1,Nice,0-0,Reims
26/02/23,LI1,Monaco,0-3,Nice
03/03/23,LI1,Nice,1-1,Auxerre
09/03/23,UEC,Sheriff,0-1,Nice
12/03/23,LI1,Nantes,2-2,Nice
16/03/23,UEC,Nice,3-1,Sheriff
19/03/23,LI1,Nice,1-1,Lorient
02/04/23,LI1,Angers,1-1,Nice
08/04/23,LI1,Nice,0-2,PSG
13/04/23,UEC,Basel,2-2,Nice
16/04/23,LI1,Brest,1-0,Nice
31/07/21,CLF,Nice,1-1,AC Milan
08/08/21,LI1,Nice,0-0,Reims
14/08/21,LI1,Lille,0-4,Nice
28/08/21,LI1,Nice,4-0,Bordeaux
12/09/21,LI1,Nantes,0-2,Nice
