Date,Competition,Home team,Score,Away team
03/09/23,LI1,Lyon,1-4,PSG
15/09/23,LI1,PSG,2-3,Nice
19/09/23,UCL,PSG,2-0,Borussia Dortmund
24/09/23,LI1,PSG,4-0,Marseille
30/09/23,LI1,Clermont,0-0,PSG
04/10/23,UCL,Newcastle United,4-1,PSG
08/10/23,LI1,Rennes,1-3,PSG
21/10/23,LI1,PSG,3-0,Strasbourg
25/10/23,UCL,PSG,3-0,AC Milan
29/10/23,LI1,Brest,2-3,PSG
03/11/23,LI1,PSG,3-0,Montpellier
07/11/23,UCL,AC Milan,2-1,PSG
11/11/23,LI1,Reims,0-3,PSG
24/11/23,LI1,PSG,5-2,Monaco
28/11/23,UCL,PSG,1-1,Newcastle United
03/12/23,LI1,Le Havre,0-2,PSG
09/12/23,LI1,PSG,2-1,Nantes
13/12/23,UCL,Borussia Dortmund,1-1,PSG
17/12/23,LI1,Lille,1-1,PSG
20/12/23,LI1,PSG,3-1,Metz
03/01/24,TDC,PSG,2-0,Toulouse
07/01/24,CDF,Revel,0-9,PSG
14/01/24,LI1,Lens,0-2,PSG
20/01/24,CDF,Orléans,1-4,PSG
28/01/24,LI1,PSG,2-2,Brest
02/02/24,LI1,Strasbourg,1-2,PSG
07/02/24,CDF,PSG,3-1,Brest
10/02/24,LI1,PSG,3-1,Lille
14/02/24,UCL,PSG,2-0,Real Sociedad
17/02/24,LI1,Nantes,0-2,PSG
25/02/24,LI1,PSG,1-1,Rennes
01/03/24,LI1,Monaco,0-0,PSG
05/03/24,UCL,Real Sociedad,1-2,PSG
10/03/24,LI1,PSG,2-2,Reims
13/03/24,CDF,PSG,3-1,Nice
17/03/24,LI1,Montpellier,2-6,PSG
31/03/24,LI1,Marseille,0-2,PSG
03/04/24,CDF,PSG,1-0,Rennes
06/04/24,LI1,PSG,1-1,Clermont
10/04/24,UCL,PSG,2-3,Barcelona
16/04/24,UCL,Barcelona,1-4,PSG
21/04/24,LI1,PSG,4-1,Lyon
24/04/24,LI1,Lorient,1-4,PSG
27/04/24,LI1,PSG,3-3,Le Havre
01/05/24,UCL,Borussia Dortmund,21:00,PSG
07/05/24,UCL,PSG,21:00,Borussia Dortmund
12/05/24,LI1,PSG,21:00,Toulouse
15/05/24,LI1,Nice,21:00,PSG
19/05/24,LI1,Metz,21:00,PSG
25/05/24,CDF,Lyon,21:00,PSG
01/10/22,LI1,PSG,2-1,Nice
05/10/22,UCL,Benfica,1-1,PSG
08/10/22,LI1,Reims,0-0,PSG
11/10/22,UCL,PSG,1-1,Benfica
16/10/22,LI1,PSG,1-0,Marseille
21/10/22,LI1,Ajaccio,0-3,PSG
25/10/22,UCL,PSG,7-2,Maccabi Haifa
29/10/22,LI1,PSG,4-3,Troyes
02/11/22,UCL,Juventus,1-2,PSG
06/11/22,LI1,Lorient,1-2,PSG
13/11/22,LI1,PSG,5-0,Auxerre
16/12/22,CLF,PSG,2-1,Paris FC
21/12/22,CLF,PSG,3-1,Quevilly-Rouen Métropole
28/12/22,LI1,PSG,2-1,Strasbourg
01/01/23,LI1,Lens,3-1,PSG
06/01/23,CDF,Châteauroux,1-3,PSG
11/01/23,LI1,PSG,2-0,Angers
15/01/23,LI1,Rennes,1-0,PSG
19/01/23,HYF,Riyadh ST XI,4-5,PSG
23/01/23,CDF,Pays de Cassel,0-7,PSG
29/01/23,LI1,PSG,1-1,Reims
01/02/23,LI1,Montpellier,1-3,PSG
04/02/23,LI1,PSG,2-1,Toulouse
08/02/23,CDF,Marseille,2-1,PSG
11/02/23,LI1,Monaco,3-1,PSG
14/02/23,UCL,PSG,0-1,Bayern Munich
19/02/23,LI1,PSG,4-3,Lille
26/02/23,LI1,Marseille,0-3,PSG
04/03/23,LI1,PSG,4-2,Nantes
08/03/23,UCL,Bayern Munich,2-0,PSG
11/03/23,LI1,Brest,1-2,PSG
19/03/23,LI1,PSG,0-2,Rennes
02/04/23,LI1,PSG,0-1,Lyon
08/04/23,LI1,Nice,0-2,PSG
15/04/23,LI1,PSG,3-1,Lens
21/04/23,LI1,Angers,1-2,PSG
30/04/23,LI1,PSG,1-3,Lorient
07/05/23,LI1,Troyes,1-3,PSG
13/05/23,LI1,PSG,5-0,Ajaccio
21/05/23,LI1,Auxerre,1-2,PSG
27/05/23,LI1,Strasbourg,1-1,PSG
03/06/23,LI1,PSG,2-3,Clermont
21/07/23,CLF,PSG,2-0,Le Havre
25/07/23,CLF,PSG,0-0,Al Nassr
28/07/23,CLF,PSG,2-3,Cerezo Osaka
01/08/23,CLF,PSG,1-2,Inter Milan
03/08/23,CLF,Jeonbuk Motors,0-3,PSG
12/08/23,LI1,PSG,0-0,Lorient
19/08/23,LI1,Toulouse,1-1,PSG
26/08/23,LI1,PSG,3-1,Lens
29/10/21,LI1,PSG,2-1,Lille
03/11/21,UCL,RB Leipzig,2-2,PSG
06/11/21,LI1,Bordeaux,2-3,PSG
20/11/21,LI1,PSG,3-1,Nantes
24/11/21,UCL,Manchester City,2-1,PSG
28/11/21,LI1,Saint-Etienne,1-3,PSG
01/12/21,LI1,PSG,0-0,Nice
04/12/21,LI1,Lens,1-1,PSG
07/12/21,UCL,PSG,4-1,Club Brugge
12/12/21,LI1,PSG,2-0,Monaco
19/12/21,CDF,Feignies Aulnoye,0-3,PSG
22/12/21,LI1,Lorient,1-1,PSG
03/01/22,CDF,Vannes,0-4,PSG
09/01/22,LI1,Lyon,1-1,PSG
15/01/22,LI1,PSG,2-0,Brest
23/01/22,LI1,PSG,4-0,Reims
31/01/22,CDF,PSG,P0-0P,Nice
06/02/22,LI1,Lille,1-5,PSG
11/02/22,LI1,PSG,1-0,Rennes
15/02/22,UCL,PSG,1-0,Real Madrid
19/02/22,LI1,Nantes,3-1,PSG
26/02/22,LI1,PSG,3-1,Saint-Etienne
05/03/22,LI1,Nice,1-0,PSG
