Date,Competition,Home team,Score,Away team
15/04/23,LI1,Rennes,3-0,Reims
23/04/23,LI1,Reims,0-2,Strasbourg
30/04/23,LI1,Clermont,1-0,Reims
06/05/23,LI1,Reims,1-0,Lille
12/05/23,LI1,Lens,2-1,Reims
21/05/23,LI1,Reims,2-2,Angers
27/05/23,LI1,Lyon,3-0,Reims
03/06/23,LI1,Reims,1-3,Montpellier
15/07/23,CLF,Reims,2-3,AS Eupen
19/07/23,CLF,Reims,3-1,Sporting Charleroi
22/07/23,CLF,Reims,3-2,Amiens SC
26/07/23,CLF,Getafe,0-1,Reims
29/07/23,CLF,Real Zaragoza,1-2,Reims
06/08/23,CLF,Reims,2-1,Torino
12/08/23,LI1,Marseille,2-1,Reims
20/08/23,LI1,Reims,2-0,Clermont
27/08/23,LI1,Montpellier,1-3,Reims
03/09/23,LI1,Metz,2-2,Reims
17/09/23,LI1,Reims,1-2,Brest
26/09/23,LI1,Lille,1-2,Reims
01/10/23,LI1,Reims,2-0,Lyon
07/10/23,LI1,Reims,1-3,Monaco
22/10/23,LI1,Toulouse,1-1,Reims
28/10/23,LI1,Reims,1-0,Lorient
05/11/23,LI1,Nantes,0-1,Reims
11/11/23,LI1,Reims,0-3,PSG
26/11/23,LI1,Rennes,3-1,Reims
01/12/23,LI1,Reims,2-1,Strasbourg
10/12/23,LI1,Nice,2-1,Reims
16/12/23,LI1,Lens,2-0,Reims
20/12/23,LI1,Reims,1-0,Le Havre
07/01/24,CDF,Dinan Léhon,0-3,Reims
13/01/24,LI1,Monaco,1-3,Reims
21/01/24,CDF,Sochaux,P2-2P,Reims
28/01/24,LI1,Reims,0-0,Nantes
04/02/24,LI1,Reims,2-3,Toulouse
11/02/24,LI1,Lorient,2-0,Reims
18/02/24,LI1,Reims,1-1,Lens
25/02/24,LI1,Le Havre,1-2,Reims
02/03/24,LI1,Reims,0-1,Lille
10/03/24,LI1,PSG,2-2,Reims
17/03/24,LI1,Reims,2-1,Metz
30/03/24,LI1,Lyon,1-1,Reims
07/04/24,LI1,Reims,0-0,Nice
13/04/24,LI1,Strasbourg,3-1,Reims
21/04/24,LI1,Reims,1-2,Montpellier
28/04/24,LI1,Clermont,4-1,Reims
10/05/24,LI1,Brest,21:00,Reims
15/05/24,LI1,Reims,21:00,Marseille
19/05/24,LI1,Reims,21:00,Rennes
09/04/22,LI1,Reims,2-3,Rennes
17/04/22,LI1,Montpellier,0-0,Reims
20/04/22,LI1,Reims,2-1,Lille
24/04/22,LI1,Reims,0-1,Marseille
01/05/22,LI1,Lorient,1-2,Reims
08/05/22,LI1,Reims,1-2,Lens
14/05/22,LI1,Saint-Etienne,1-2,Reims
21/05/22,LI1,Reims,2-3,Nice
09/07/22,CLF,Reims,1-2,Paris 13 Atletico
13/07/22,CLF,Lommel,1-2,Reims
16/07/22,CLF,Auxerre,0-2,Reims
20/07/22,CLF,Reims,1-0,Metz
24/07/22,CLF,Reims,0-1,Villarreal
31/07/22,CLF,Reims,2-2,Sassuolo
07/08/22,LI1,Marseille,4-1,Reims
14/08/22,LI1,Reims,2-4,Clermont
21/08/22,LI1,Strasbourg,1-1,Reims
28/08/22,LI1,Reims,1-1,Lyon
31/08/22,LI1,Angers,2-4,Reims
04/09/22,LI1,Reims,1-1,Lens
11/09/22,LI1,Toulouse,1-0,Reims
18/09/22,LI1,Reims,0-3,Monaco
02/10/22,LI1,Troyes,2-2,Reims
08/10/22,LI1,Reims,0-0,PSG
15/10/22,LI1,Lorient,0-0,Reims
23/10/22,LI1,Reims,2-1,Auxerre
30/10/22,LI1,Brest,0-0,Reims
06/11/22,LI1,Reims,1-0,Nantes
13/11/22,LI1,Montpellier,1-1,Reims
08/12/22,CLF,Reims,3-0,Sochaux
16/12/22,CLF,Reims,3-0,Sporting Charleroi
21/12/22,CLF,Reims,1-2,Lens
29/12/22,LI1,Reims,3-1,Rennes
02/01/23,LI1,Lille,1-1,Reims
08/01/23,CDF,Loon-Plage,0-7,Reims
11/01/23,LI1,Ajaccio,0-1,Reims
15/01/23,LI1,Reims,0-0,Nice
21/01/23,CDF,Les Herbiers,0-3,Reims
29/01/23,LI1,PSG,1-1,Reims
01/02/23,LI1,Reims,4-2,Lorient
05/02/23,LI1,Auxerre,0-0,Reims
08/02/23,CDF,Toulouse,3-1,Reims
12/02/23,LI1,Reims,4-0,Troyes
18/02/23,LI1,Nice,0-0,Reims
26/02/23,LI1,Reims,3-0,Toulouse
05/03/23,LI1,Reims,1-0,Ajaccio
12/03/23,LI1,Monaco,0-1,Reims
19/03/23,LI1,Reims,1-2,Marseille
02/04/23,LI1,Nantes,0-3,Reims
09/04/23,LI1,Reims,1-1,Brest
03/03/21,LI1,Nantes,1-2,Reims
12/03/21,LI1,Reims,1-1,Lyon
21/03/21,LI1,Dijon,0-1,Reims
04/04/21,LI1,Reims,2-2,Rennes
11/04/21,LI1,Nice,0-0,Reims
18/04/21,LI1,Reims,0-0,Metz
23/04/21,LI1,Reims,1-3,Marseille
02/05/21,LI1,Nîmes,2-2,Reims
09/05/21,LI1,Reims,0-1,Monaco
16/05/21,LI1,PSG,4-0,Reims
23/05/21,LI1,Reims,1-2,Bordeaux
10/07/21,CLF,Reims,4-1,Auxerre
14/07/21,CLF,Reims,1-0,Paris FC
17/07/21,CLF,Valenciennes,0-1,Reims
21/07/21,CLF,Chambly-Oise,0-2,Reims
24/07/21,CLF,Reims,1-2,Lens
31/07/21,CLF,Hoffenheim,3-1,Reims
08/08/21,LI1,Nice,0-0,Reims
15/08/21,LI1,Reims,3-3,Montpellier
22/08/21,LI1,Metz,1-1,Reims
29/08/21,LI1,Reims,0-2,PSG
12/09/21,LI1,Rennes,0-2,Reims
19/09/21,LI1,Reims,0-0,Lorient
22/09/21,LI1,Lille,2-1,Reims
26/09/21,LI1,Reims,3-1,Nantes
01/10/21,LI1,Lens,2-0,Reims
17/10/21,LI1,Brest,1-1,Reims
24/10/21,LI1,Reims,1-2,Troyes
31/10/21,LI1,Bordeaux,3-2,Reims
07/11/21,LI1,Reims,0-0,Monaco
21/11/21,LI1,Strasbourg,1-1,Reims
28/11/21,LI1,Reims,1-0,Clermont
01/12/21,LI1,Lyon,1-2,Reims
05/12/21,LI1,Reims,1-2,Angers
11/12/21,LI1,Reims,2-0,Saint-Etienne
19/12/21,CDF,Reims Sainte-Anne,0-1,Reims
22/12/21,LI1,Marseille,1-1,Reims
02/01/22,CDF,Thaon,0-1,Reims
09/01/22,LI1,Clermont,0-0,Reims
16/01/22,LI1,Reims,0-1,Metz
23/01/22,LI1,PSG,4-0,Reims
29/01/22,CDF,Reims,P1-1P,Bastia
06/02/22,LI1,Reims,5-0,Bordeaux
13/02/22,LI1,Nantes,1-0,Reims
20/02/22,LI1,Reims,1-1,Brest
27/02/22,LI1,Monaco,1-2,Reims
06/03/22,LI1,Reims,1-1,Strasbourg
13/03/22,LI1,Angers,0-1,Reims
20/03/22,LI1,Reims,0-0,Lyon
03/04/22,LI1,Troyes,1-0,Reims
13/03/20,LI1,Lyon,CANC,Reims
22/03/20,LI1,Reims,CANC,Nantes
05/04/20,LI1,Bordeaux,CANC,Reims
11/04/20,LI1,Reims,CANC,Toulouse
18/04/20,LI1,Montpellier,CANC,Reims
26/04/20,LI1,Reims,CANC,PSG
02/05/20,LI1,Lille,CANC,Reims
09/05/20,LI1,Reims,CANC,Amiens SC
16/05/20,LI1,Dijon,CANC,Reims
23/05/20,LI1,Reims,CANC,Marseille
09/07/20,CLF,Reims,3-1,Troyes
15/07/20,CLF,Reims,CANC,Excel Mouscron
18/07/20,CLF,Reims,2-2,Dunkerque
22/07/20,CLF,Reims,3-0,Le Havre
01/08/20,CLF,Olympique Marcquois,CANC,Reims
01/08/20,CLF,Standard Liège,1-0,Reims
01/08/20,CLF,Standard Liège,3-0,Reims
05/08/20,CLF,Reims,2-0,Maribor
08/08/20,CLF,Reims,CANC,Strasbourg
15/08/20,CLF,Reims,3-1,Midtjylland
23/08/20,LI1,Monaco,2-2,Reims
30/08/20,LI1,Reims,0-1,Lille
13/09/20,LI1,Angers,1-0,Reims
17/09/20,UEL,Servette,0-1,Reims
20/09/20,LI1,Metz,2-1,Reims
24/09/20,UEL,Fehérvár,P0-0P,Reims
27/09/20,LI1,Reims,0-2,PSG
