Date,Competition,Home team,Score,Away team
21/05/23,LI1,Troyes,1-1,Strasbourg
27/05/23,LI1,Strasbourg,1-1,PSG
03/06/23,LI1,Lorient,2-1,Strasbourg
17/07/23,CLF,Hoffenheim,1-2,Strasbourg
21/07/23,CLF,Besiktas,2-1,Strasbourg
26/07/23,CLF,Strasbourg,3-0,Sturm Graz
29/07/23,CLF,Freiburg,2-2,Strasbourg
29/07/23,CLF,Freiburg,2-2,Strasbourg
05/08/23,CLF,Strasbourg,3-3,Werder Bremen
05/08/23,CLF,Strasbourg,2-1,Werder Bremen
13/08/23,LI1,Strasbourg,2-1,Lyon
20/08/23,LI1,Monaco,3-0,Strasbourg
27/08/23,LI1,Strasbourg,2-0,Toulouse
03/09/23,LI1,Nice,2-0,Strasbourg
08/09/23,CLF,Strasbourg,0-0,Elversberg
17/09/23,LI1,Strasbourg,2-2,Montpellier
24/09/23,LI1,Metz,0-1,Strasbourg
29/09/23,LI1,Strasbourg,0-1,Lens
06/10/23,LI1,Strasbourg,1-2,Nantes
12/10/23,CLF,Karlsruhe,3-0,Strasbourg
21/10/23,LI1,PSG,3-0,Strasbourg
29/10/23,LI1,Rennes,1-1,Strasbourg
05/11/23,LI1,Strasbourg,0-0,Clermont
25/11/23,LI1,Strasbourg,1-1,Marseille
01/12/23,LI1,Reims,2-1,Strasbourg
07/12/23,LI1,Brest,1-1,Strasbourg
10/12/23,LI1,Strasbourg,2-1,Le Havre
17/12/23,LI1,Lorient,1-2,Strasbourg
20/12/23,LI1,Strasbourg,2-1,Lille
06/01/24,CDF,Avoine OCC,0-4,Strasbourg
12/01/24,LI1,Marseille,1-1,Strasbourg
21/01/24,CDF,Clermont,1-3,Strasbourg
28/01/24,LI1,Clermont,1-1,Strasbourg
02/02/24,LI1,Strasbourg,1-2,PSG
07/02/24,CDF,Strasbourg,3-1,Le Havre
10/02/24,LI1,Lens,3-1,Strasbourg
18/02/24,LI1,Strasbourg,1-3,Lorient
24/02/24,LI1,Strasbourg,0-3,Brest
27/02/24,CDF,Lyon,P0-0P,Strasbourg
03/03/24,LI1,Montpellier,2-2,Strasbourg
10/03/24,LI1,Strasbourg,0-1,Monaco
16/03/24,LI1,Nantes,1-3,Strasbourg
31/03/24,LI1,Strasbourg,2-0,Rennes
07/04/24,LI1,Toulouse,0-0,Strasbourg
13/04/24,LI1,Strasbourg,3-1,Reims
21/04/24,LI1,Lille,1-0,Strasbourg
28/04/24,LI1,Strasbourg,1-3,Nice
04/05/24,LI1,Le Havre,15:00,Strasbourg
12/05/24,LI1,Strasbourg,21:00,Metz
19/05/24,LI1,Lyon,21:00,Strasbourg
24/04/22,LI1,Lille,1-0,Strasbourg
29/04/22,LI1,Strasbourg,3-3,PSG
07/05/22,LI1,Brest,0-1,Strasbourg
14/05/22,LI1,Strasbourg,1-0,Clermont
21/05/22,LI1,Marseille,4-0,Strasbourg
09/07/22,CLF,Strasbourg,2-1,Sion
12/07/22,CLF,Basel,CANC,Strasbourg
16/07/22,CLF,Sporting Charleroi,1-2,Strasbourg
19/07/22,CLF,Brentford,2-2,Strasbourg
27/07/22,CLF,Strasbourg,1-2,Cagliari
31/07/22,CLF,Liverpool,0-3,Strasbourg
06/08/22,LI1,Strasbourg,1-2,Monaco
14/08/22,LI1,Nice,1-1,Strasbourg
