Date,Competition,Home team,Score,Away team
15/07/23,CLF,Montpellier,3-1,Toulouse
19/07/23,CLF,Toulouse,0-0,FC Andorra
22/07/23,CLF,Werder Bremen,5-2,Toulouse
29/07/23,CLF,Toulouse,2-1,Osasuna
06/08/23,CLF,Toulouse,2-1,Roma
13/08/23,LI1,Nantes,1-2,Toulouse
19/08/23,LI1,Toulouse,1-1,PSG
27/08/23,LI1,Strasbourg,2-0,Toulouse
03/09/23,LI1,Toulouse,2-2,Clermont
17/09/23,LI1,Marseille,0-0,Toulouse
21/09/23,UEL,Union Saint-Gilloise,1-1,Toulouse
24/09/23,LI1,Lens,2-1,Toulouse
01/10/23,LI1,Toulouse,3-0,Metz
05/10/23,UEL,Toulouse,1-0,LASK
08/10/23,LI1,Brest,1-1,Toulouse
22/10/23,LI1,Toulouse,1-1,Reims
26/10/23,UEL,Liverpool,5-1,Toulouse
29/10/23,LI1,Montpellier,3-0,Toulouse
05/11/23,LI1,Toulouse,1-2,Le Havre
09/11/23,UEL,Toulouse,3-2,Liverpool
12/11/23,LI1,Lille,1-1,Toulouse
26/11/23,LI1,Nice,1-0,Toulouse
30/11/23,UEL,Toulouse,0-0,Union Saint-Gilloise
03/12/23,LI1,Toulouse,1-1,Lorient
10/12/23,LI1,Lyon,3-0,Toulouse
14/12/23,UEL,LASK,1-2,Toulouse
17/12/23,LI1,Toulouse,0-0,Rennes
20/12/23,LI1,Toulouse,1-2,Monaco
03/01/24,TDC,PSG,2-0,Toulouse
07/01/24,CDF,Chambéry,0-3,Toulouse
14/01/24,LI1,Metz,0-1,Toulouse
21/01/24,CDF,Rouen,P3-3P,Toulouse
28/01/24,LI1,Toulouse,0-2,Lens
04/02/24,LI1,Reims,2-3,Toulouse
11/02/24,LI1,Toulouse,1-2,Nantes
15/02/24,UEL,Benfica,2-1,Toulouse
18/02/24,LI1,Monaco,1-2,Toulouse
22/02/24,UEL,Toulouse,0-0,Benfica
25/02/24,LI1,Toulouse,3-1,Lille
03/03/24,LI1,Toulouse,2-1,Nice
10/03/24,LI1,Le Havre,1-0,Toulouse
15/03/24,LI1,Toulouse,2-3,Lyon
31/03/24,LI1,Clermont,0-3,Toulouse
07/04/24,LI1,Toulouse,0-0,Strasbourg
13/04/24,LI1,Rennes,1-2,Toulouse
21/04/24,LI1,Toulouse,2-2,Marseille
28/04/24,LI1,Lorient,1-2,Toulouse
03/05/24,LI1,Toulouse,19:00,Montpellier
12/05/24,LI1,PSG,21:00,Toulouse
19/05/24,LI1,Toulouse,21:00,Brest
23/07/22,CLF,Montpellier,4-5,Toulouse
30/07/22,CLF,Toulouse,0-1,Clermont
07/08/22,LI1,Toulouse,1-1,Nice
14/08/22,LI1,Troyes,0-3,Toulouse
21/08/22,LI1,Toulouse,2-2,Lorient
28/08/22,LI1,Nantes,3-1,Toulouse
31/08/22,LI1,Toulouse,0-3,PSG
04/09/22,LI1,Clermont,2-0,Toulouse
11/09/22,LI1,Toulouse,1-0,Reims
17/09/22,LI1,Lille,2-1,Toulouse
02/10/22,LI1,Toulouse,4-2,Montpellier
07/10/22,LI1,Lyon,1-1,Toulouse
16/10/22,LI1,Toulouse,3-2,Angers
23/10/22,LI1,Toulouse,2-2,Strasbourg
28/10/22,LI1,Lens,3-0,Toulouse
06/11/22,LI1,Toulouse,0-2,Monaco
12/11/22,LI1,Rennes,2-1,Toulouse
13/12/22,CLF,Istanbul Basaksehir,2-2,Toulouse
16/12/22,CLF,Galatasaray,2-1,Toulouse
20/12/22,CLF,Montpellier,CANC,Toulouse
29/12/22,LI1,Marseille,6-1,Toulouse
01/01/23,LI1,Toulouse,2-0,Ajaccio
08/01/23,CDF,Lannion,1-7,Toulouse
11/01/23,LI1,Auxerre,0-5,Toulouse
15/01/23,LI1,Toulouse,1-1,Brest
21/01/23,CDF,Toulouse,2-0,Ajaccio
29/01/23,LI1,Strasbourg,1-2,Toulouse
01/02/23,LI1,Toulouse,4-1,Troyes
04/02/23,LI1,PSG,2-1,Toulouse
08/02/23,CDF,Toulouse,3-1,Reims
12/02/23,LI1,Toulouse,3-1,Rennes
19/02/23,LI1,Toulouse,2-3,Marseille
26/02/23,LI1,Reims,3-0,Toulouse
01/03/23,CDF,Toulouse,6-1,Rodez
05/03/23,LI1,Toulouse,0-1,Clermont
12/03/23,LI1,Angers,0-2,Toulouse
