Date,Competition,Home team,Score,Away team
29/04/23,BUN,Eintracht Frankfurt,1-1,Augsburg
06/05/23,BUN,Augsburg,1-0,Union Berlin
13/05/23,BUN,Bochum,3-2,Augsburg
21/05/23,BUN,Augsburg,0-3,Borussia Dortmund
27/05/23,BUN,Borussia M'gladbach,2-0,Augsburg
11/07/23,CLF,Augsburg,6-0,Türkspor Augsburg
15/07/23,CLF,Besiktas,1-1,Augsburg
18/07/23,CLF,Kufstein,0-9,Augsburg
29/07/23,CLF,Augsburg,3-2,Jahn Regensburg
29/07/23,CLF,Augsburg,3-1,Ajax
05/08/23,CLF,Salernitana,2-1,Augsburg
06/08/23,CLF,Napoli,1-0,Augsburg
13/08/23,DFP,Unterhaching,2-0,Augsburg
19/08/23,BUN,Augsburg,4-4,Borussia M'gladbach
27/08/23,BUN,Bayern Munich,3-1,Augsburg
02/09/23,BUN,Augsburg,2-2,Bochum
16/09/23,BUN,RB Leipzig,3-0,Augsburg
23/09/23,BUN,Augsburg,2-1,Mainz
01/10/23,BUN,Freiburg,2-0,Augsburg
07/10/23,BUN,Augsburg,1-2,Darmstadt
22/10/23,BUN,Heidenheim,2-5,Augsburg
28/10/23,BUN,Augsburg,3-2,Wolfsburg
04/11/23,BUN,FC Cologne,1-1,Augsburg
11/11/23,BUN,Augsburg,1-1,Hoffenheim
16/11/23,CLF,Augsburg,5-2,Jahn Regensburg
25/11/23,BUN,Union Berlin,1-1,Augsburg
03/12/23,BUN,Augsburg,2-1,Eintracht Frankfurt
09/12/23,BUN,Werder Bremen,2-0,Augsburg
16/12/23,BUN,Augsburg,1-1,Borussia Dortmund
20/12/23,BUN,Stuttgart,3-0,Augsburg
06/01/24,CLF,Augsburg,1-0,Hoffenheim
13/01/24,BUN,Augsburg,0-1,Bayer Leverkusen
21/01/24,BUN,Borussia M'gladbach,1-2,Augsburg
27/01/24,BUN,Augsburg,2-3,Bayern Munich
03/02/24,BUN,Bochum,1-1,Augsburg
10/02/24,BUN,Augsburg,2-2,RB Leipzig
17/02/24,BUN,Mainz,1-0,Augsburg
25/02/24,BUN,Augsburg,2-1,Freiburg
02/03/24,BUN,Darmstadt,0-6,Augsburg
09/03/24,BUN,Augsburg,1-0,Heidenheim
16/03/24,BUN,Wolfsburg,1-3,Augsburg
21/03/24,CLF,Augsburg,4-1,Greuther Fürth
31/03/24,BUN,Augsburg,1-1,FC Cologne
07/04/24,BUN,Hoffenheim,3-1,Augsburg
12/04/24,BUN,Augsburg,2-0,Union Berlin
