Date,Competition,Home team,Score,Away team
07/09/23,CLF,Bayer Leverkusen,4-2,Alemannia Aachen
15/09/23,BUN,Bayern Munich,2-2,Bayer Leverkusen
21/09/23,UEL,Bayer Leverkusen,4-0,Häcken
24/09/23,BUN,Bayer Leverkusen,4-1,Heidenheim
30/09/23,BUN,Mainz,0-3,Bayer Leverkusen
05/10/23,UEL,Molde,1-2,Bayer Leverkusen
08/10/23,BUN,Bayer Leverkusen,3-0,FC Cologne
21/10/23,BUN,Wolfsburg,1-2,Bayer Leverkusen
26/10/23,UEL,Bayer Leverkusen,5-1,Qarabag
29/10/23,BUN,Bayer Leverkusen,2-1,Freiburg
01/11/23,DFP,Sandhausen,2-5,Bayer Leverkusen
04/11/23,BUN,Hoffenheim,2-3,Bayer Leverkusen
09/11/23,UEL,Qarabag,0-1,Bayer Leverkusen
12/11/23,BUN,Bayer Leverkusen,4-0,Union Berlin
25/11/23,BUN,Werder Bremen,0-3,Bayer Leverkusen
30/11/23,UEL,Häcken,0-2,Bayer Leverkusen
03/12/23,BUN,Bayer Leverkusen,1-1,Borussia Dortmund
06/12/23,DFP,Bayer Leverkusen,3-1,Paderborn
10/12/23,BUN,Stuttgart,1-1,Bayer Leverkusen
14/12/23,UEL,Bayer Leverkusen,5-1,Molde
17/12/23,BUN,Bayer Leverkusen,3-0,Eintracht Frankfurt
20/12/23,BUN,Bayer Leverkusen,4-0,Bochum
07/01/24,CLF,Bayer Leverkusen,4-1,Venezia
13/01/24,BUN,Augsburg,0-1,Bayer Leverkusen
20/01/24,BUN,RB Leipzig,2-3,Bayer Leverkusen
27/01/24,BUN,Bayer Leverkusen,0-0,Borussia M'gladbach
03/02/24,BUN,Darmstadt,0-2,Bayer Leverkusen
06/02/24,DFP,Bayer Leverkusen,3-2,Stuttgart
10/02/24,BUN,Bayer Leverkusen,3-0,Bayern Munich
17/02/24,BUN,Heidenheim,1-2,Bayer Leverkusen
23/02/24,BUN,Bayer Leverkusen,2-1,Mainz
03/03/24,BUN,FC Cologne,0-2,Bayer Leverkusen
07/03/24,UEL,Qarabag,2-2,Bayer Leverkusen
10/03/24,BUN,Bayer Leverkusen,2-0,Wolfsburg
14/03/24,UEL,Bayer Leverkusen,3-2,Qarabag
17/03/24,BUN,Freiburg,2-3,Bayer Leverkusen
30/03/24,BUN,Bayer Leverkusen,2-1,Hoffenheim
03/04/24,DFP,Bayer Leverkusen,4-0,Fortuna Düsseldorf
06/04/24,BUN,Union Berlin,0-1,Bayer Leverkusen
11/04/24,UEL,Bayer Leverkusen,2-0,West Ham United
14/04/24,BUN,Bayer Leverkusen,5-0,Werder Bremen
18/04/24,UEL,West Ham United,1-1,Bayer Leverkusen
21/04/24,BUN,Borussia Dortmund,1-1,Bayer Leverkusen
27/04/24,BUN,Bayer Leverkusen,2-2,Stuttgart
02/05/24,UEL,Roma,21:00,Bayer Leverkusen
