Date,Competition,Home team,Score,Away team
22/04/23,BUN,Bochum,1-5,Wolfsburg
28/04/23,BUN,Bochum,1-1,Borussia Dortmund
06/05/23,BUN,Borussia M'gladbach,2-0,Bochum
13/05/23,BUN,Bochum,3-2,Augsburg
20/05/23,BUN,Hertha Berlin,1-1,Bochum
27/05/23,BUN,Bochum,3-0,Bayer Leverkusen
11/07/23,CLF,Bochum,9-2,Kickers Emden
15/07/23,CLF,Verl,3-1,Bochum
21/07/23,CLF,Fortuna Düsseldorf,3-1,Bochum
29/07/23,CLF,Parma,1-0,Bochum
05/08/23,CLF,Bochum,2-1,Luton Town
05/08/23,CLF,Bochum,1-3,Luton Town
12/08/23,DFP,Arminia Bielefeld,P2-2P,Bochum
19/08/23,BUN,Stuttgart,5-0,Bochum
26/08/23,BUN,Bochum,1-1,Borussia Dortmund
02/09/23,BUN,Augsburg,2-2,Bochum
07/09/23,CLF,Bochum,1-1,Sint-Truiden
16/09/23,BUN,Bochum,1-1,Eintracht Frankfurt
23/09/23,BUN,Bayern Munich,7-0,Bochum
30/09/23,BUN,Bochum,1-3,Borussia M'gladbach
07/10/23,BUN,RB Leipzig,0-0,Bochum
21/10/23,BUN,Freiburg,2-1,Bochum
27/10/23,BUN,Bochum,2-2,Mainz
03/11/23,BUN,Darmstadt,1-2,Bochum
11/11/23,BUN,Bochum,1-1,FC Cologne
26/11/23,BUN,Heidenheim,0-0,Bochum
02/12/23,BUN,Bochum,3-1,Wolfsburg
08/12/23,BUN,Hoffenheim,3-1,Bochum
16/12/23,BUN,Bochum,3-0,Union Berlin
20/12/23,BUN,Bayer Leverkusen,4-0,Bochum
06/01/24,CLF,Bochum,2-1,Groningen
07/01/24,CLF,Bochum,2-0,Vitesse
14/01/24,BUN,Bochum,1-1,Werder Bremen
20/01/24,BUN,Bochum,1-0,Stuttgart
28/01/24,BUN,Borussia Dortmund,3-1,Bochum
03/02/24,BUN,Bochum,1-1,Augsburg
10/02/24,BUN,Eintracht Frankfurt,1-1,Bochum
18/02/24,BUN,Bochum,3-2,Bayern Munich
24/02/24,BUN,Borussia M'gladbach,5-2,Bochum
02/03/24,BUN,Bochum,1-4,RB Leipzig
10/03/24,BUN,Bochum,1-2,Freiburg
16/03/24,BUN,Mainz,2-0,Bochum
31/03/24,BUN,Bochum,2-2,Darmstadt
06/04/24,BUN,FC Cologne,2-1,Bochum
13/04/24,BUN,Bochum,1-1,Heidenheim
20/04/24,BUN,Wolfsburg,1-0,Bochum
26/04/24,BUN,Bochum,3-2,Hoffenheim
05/05/24,BUN,Union Berlin,15:30,Bochum
12/05/24,BUN,Bochum,19:30,Bayer Leverkusen
18/05/24,BUN,Werder Bremen,15:30,Bochum
06/05/22,BUN,Bochum,2-1,Arminia Bielefeld
14/05/22,BUN,Union Berlin,3-2,Bochum
25/06/22,CLF,Wuppertaler SV,0-2,Bochum
29/06/22,CLF,Monheim,1-1,Bochum
02/07/22,CLF,1. FC Bocholt,1-3,Bochum
06/07/22,CLF,Fortuna Sittard,1-1,Bochum
08/07/22,CLF,Paderborn,2-0,Bochum
13/07/22,CLF,Bochum,3-2,Lecce
16/07/22,CLF,Spezia,1-2,Bochum
21/07/22,CLF,Bochum,1-4,Athletic Bilbao
23/07/22,CLF,Bochum,6-2,Antalyaspor
30/07/22,DFP,Viktoria Berlin,0-3,Bochum
06/08/22,BUN,Bochum,1-2,Mainz
