Date,Competition,Home team,Score,Away team
19/09/23,UCL,PSG,2-0,Borussia Dortmund
23/09/23,BUN,Borussia Dortmund,1-0,Wolfsburg
29/09/23,BUN,Hoffenheim,1-3,Borussia Dortmund
04/10/23,UCL,Borussia Dortmund,0-0,AC Milan
07/10/23,BUN,Borussia Dortmund,4-2,Union Berlin
20/10/23,BUN,Borussia Dortmund,1-0,Werder Bremen
25/10/23,UCL,Newcastle United,0-1,Borussia Dortmund
29/10/23,BUN,Eintracht Frankfurt,3-3,Borussia Dortmund
01/11/23,DFP,Borussia Dortmund,1-0,Hoffenheim
04/11/23,BUN,Borussia Dortmund,0-4,Bayern Munich
07/11/23,UCL,Borussia Dortmund,2-0,Newcastle United
11/11/23,BUN,Stuttgart,2-1,Borussia Dortmund
25/11/23,BUN,Borussia Dortmund,4-2,Borussia M'gladbach
28/11/23,UCL,AC Milan,1-3,Borussia Dortmund
03/12/23,BUN,Bayer Leverkusen,1-1,Borussia Dortmund
06/12/23,DFP,Stuttgart,2-0,Borussia Dortmund
09/12/23,BUN,Borussia Dortmund,2-3,RB Leipzig
13/12/23,UCL,Borussia Dortmund,1-1,PSG
16/12/23,BUN,Augsburg,1-1,Borussia Dortmund
19/12/23,BUN,Borussia Dortmund,1-1,Mainz
09/01/24,CLF,Borussia Dortmund,3-3,Standard Liège
13/01/24,BUN,Darmstadt,0-3,Borussia Dortmund
20/01/24,BUN,FC Cologne,0-4,Borussia Dortmund
28/01/24,BUN,Borussia Dortmund,3-1,Bochum
02/02/24,BUN,Heidenheim,0-0,Borussia Dortmund
09/02/24,BUN,Borussia Dortmund,3-0,Freiburg
17/02/24,BUN,Wolfsburg,1-1,Borussia Dortmund
20/02/24,UCL,PSV,1-1,Borussia Dortmund
25/02/24,BUN,Borussia Dortmund,2-3,Hoffenheim
02/03/24,BUN,Union Berlin,0-2,Borussia Dortmund
09/03/24,BUN,Werder Bremen,1-2,Borussia Dortmund
13/03/24,UCL,Borussia Dortmund,2-0,PSV
17/03/24,BUN,Borussia Dortmund,3-1,Eintracht Frankfurt
30/03/24,BUN,Bayern Munich,0-2,Borussia Dortmund
06/04/24,BUN,Borussia Dortmund,0-1,Stuttgart
10/04/24,UCL,Atletico Madrid,2-1,Borussia Dortmund
13/04/24,BUN,Borussia M'gladbach,1-2,Borussia Dortmund
16/04/24,UCL,Borussia Dortmund,4-2,Atletico Madrid
21/04/24,BUN,Borussia Dortmund,1-1,Bayer Leverkusen
27/04/24,BUN,RB Leipzig,4-1,Borussia Dortmund
01/05/24,UCL,Borussia Dortmund,21:00,PSG
04/05/24,BUN,Borussia Dortmund,15:30,Augsburg
07/05/24,UCL,PSG,21:00,Borussia Dortmund
11/05/24,BUN,Mainz,18:30,Borussia Dortmund
18/05/24,BUN,Borussia Dortmund,15:30,Darmstadt
12/07/24,CLF,Borussia Dortmund,-,Alemannia Aachen
17/07/24,CLF,Erzgebirge Aue,-,Borussia Dortmund
24/07/24,CLF,Cerezo Osaka,12:15,Borussia Dortmund
06/08/24,CLF,Borussia Dortmund,-,Villarreal
10/08/24,CLF,Borussia Dortmund,17:00,Aston Villa
08/10/22,BUN,Borussia Dortmund,2-2,Bayern Munich
11/10/22,UCL,Borussia Dortmund,1-1,Sevilla
16/10/22,BUN,Union Berlin,2-0,Borussia Dortmund
19/10/22,DFP,Hannover 96,0-2,Borussia Dortmund
22/10/22,BUN,Borussia Dortmund,5-0,Stuttgart
25/10/22,UCL,Borussia Dortmund,0-0,Manchester City
29/10/22,BUN,Eintracht Frankfurt,1-2,Borussia Dortmund
02/11/22,UCL,FC Copenhagen,1-1,Borussia Dortmund
05/11/22,BUN,Borussia Dortmund,3-0,Bochum
08/11/22,BUN,Wolfsburg,2-0,Borussia Dortmund
11/11/22,BUN,Borussia M'gladbach,4-2,Borussia Dortmund
24/11/22,CLF,Lion City Sailors,2-7,Borussia Dortmund
28/11/22,CLF,Johor Darul Ta'zim,1-4,Borussia Dortmund
30/11/22,HYF,Vietnam,2-1,Borussia Dortmund
10/01/23,CLF,Borussia Dortmund,5-1,Fortuna Düsseldorf
22/01/23,BUN,Borussia Dortmund,4-3,Augsburg
25/01/23,BUN,Mainz,1-2,Borussia Dortmund
29/01/23,BUN,Bayer Leverkusen,0-2,Borussia Dortmund
04/02/23,BUN,Borussia Dortmund,5-1,Freiburg
08/02/23,DFP,Bochum,1-2,Borussia Dortmund
11/02/23,BUN,Werder Bremen,0-2,Borussia Dortmund
15/02/23,UCL,Borussia Dortmund,1-0,Chelsea
19/02/23,BUN,Borussia Dortmund,4-1,Hertha Berlin
25/02/23,BUN,Hoffenheim,0-1,Borussia Dortmund
03/03/23,BUN,Borussia Dortmund,2-1,RB Leipzig
07/03/23,UCL,Chelsea,2-0,Borussia Dortmund
11/03/23,BUN,Schalke 04,2-2,Borussia Dortmund
18/03/23,BUN,Borussia Dortmund,6-1,FC Cologne
01/04/23,BUN,Bayern Munich,4-2,Borussia Dortmund
05/04/23,DFP,RB Leipzig,2-0,Borussia Dortmund
08/04/23,BUN,Borussia Dortmund,2-1,Union Berlin
15/04/23,BUN,Stuttgart,3-3,Borussia Dortmund
22/04/23,BUN,Borussia Dortmund,4-0,Eintracht Frankfurt
28/04/23,BUN,Bochum,1-1,Borussia Dortmund
07/05/23,BUN,Borussia Dortmund,6-0,Wolfsburg
13/05/23,BUN,Borussia Dortmund,5-2,Borussia M'gladbach
21/05/23,BUN,Augsburg,0-3,Borussia Dortmund
27/05/23,BUN,Borussia Dortmund,2-2,Mainz
12/07/23,CLF,Westfalia Rhynern,0-7,Borussia Dortmund
19/07/23,CLF,Rot-Weiß Oberhausen,2-3,Borussia Dortmund
22/07/23,CLF,Rot-Weiß Erfurt,1-2,Borussia Dortmund
28/07/23,CLF,San Diego Loyal,0-6,Borussia Dortmund
31/07/23,CLF,Manchester United,2-3,Borussia Dortmund
03/08/23,CLF,Chelsea,1-1,Borussia Dortmund
06/08/23,CLF,Borussia Dortmund,3-1,Ajax
12/08/23,DFP,Schott Mainz,1-6,Borussia Dortmund
19/08/23,BUN,Borussia Dortmund,1-0,FC Cologne
26/08/23,BUN,Bochum,1-1,Borussia Dortmund
01/09/23,BUN,Borussia Dortmund,2-2,Heidenheim
16/09/23,BUN,Freiburg,2-4,Borussia Dortmund
30/10/21,BUN,Borussia Dortmund,2-0,FC Cologne
03/11/21,UCL,Borussia Dortmund,1-3,Ajax
06/11/21,BUN,RB Leipzig,2-1,Borussia Dortmund
20/11/21,BUN,Borussia Dortmund,2-1,Stuttgart
24/11/21,UCL,Sporting Lisbon,3-1,Borussia Dortmund
27/11/21,BUN,Wolfsburg,1-3,Borussia Dortmund
04/12/21,BUN,Borussia Dortmund,2-3,Bayern Munich
07/12/21,UCL,Borussia Dortmund,5-0,Besiktas
11/12/21,BUN,Bochum,1-1,Borussia Dortmund
15/12/21,BUN,Borussia Dortmund,3-0,Greuther Fürth
18/12/21,BUN,Hertha Berlin,3-2,Borussia Dortmund
08/01/22,BUN,Eintracht Frankfurt,2-3,Borussia Dortmund
14/01/22,BUN,Borussia Dortmund,5-1,Freiburg
18/01/22,DFP,St. Pauli,2-1,Borussia Dortmund
22/01/22,BUN,Hoffenheim,2-3,Borussia Dortmund
06/02/22,BUN,Borussia Dortmund,2-5,Bayer Leverkusen
13/02/22,BUN,Union Berlin,0-3,Borussia Dortmund
17/02/22,UEL,Borussia Dortmund,2-4,Rangers
20/02/22,BUN,Borussia Dortmund,6-0,Borussia M'gladbach
24/02/22,UEL,Rangers,2-2,Borussia Dortmund
27/02/22,BUN,Augsburg,1-1,Borussia Dortmund
13/03/22,BUN,Borussia Dortmund,1-0,Arminia Bielefeld
16/03/22,BUN,Mainz,0-1,Borussia Dortmund
20/03/22,BUN,FC Cologne,1-1,Borussia Dortmund
02/04/22,BUN,Borussia Dortmund,1-4,RB Leipzig
08/04/22,BUN,Stuttgart,0-2,Borussia Dortmund
16/04/22,BUN,Borussia Dortmund,6-1,Wolfsburg
23/04/22,BUN,Bayern Munich,3-1,Borussia Dortmund
26/04/22,CLF,Borussia Dortmund,2-3,Dinamo Kiev
30/04/22,BUN,Borussia Dortmund,3-4,Bochum
07/05/22,BUN,Greuther Fürth,1-3,Borussia Dortmund
14/05/22,BUN,Borussia Dortmund,2-1,Hertha Berlin
05/07/22,CLF,Lüner SV,1-3,Borussia Dortmund
09/07/22,CLF,Dynamo Dresden,0-2,Borussia Dortmund
14/07/22,CLF,Verl,0-5,Borussia Dortmund
18/07/22,CLF,Borussia Dortmund,1-3,Valencia
22/07/22,CLF,Borussia Dortmund,0-2,Villarreal
29/07/22,DFP,1860 München,0-3,Borussia Dortmund
30/07/22,CLF,Borussia Dortmund,1-1,Antalyaspor
06/08/22,BUN,Borussia Dortmund,1-0,Bayer Leverkusen
12/08/22,BUN,Freiburg,1-3,Borussia Dortmund
20/08/22,BUN,Borussia Dortmund,2-3,Werder Bremen
27/08/22,BUN,Hertha Berlin,0-1,Borussia Dortmund
02/09/22,BUN,Borussia Dortmund,1-0,Hoffenheim
06/09/22,UCL,Borussia Dortmund,3-0,FC Copenhagen
10/09/22,BUN,RB Leipzig,3-0,Borussia Dortmund
14/09/22,UCL,Manchester City,2-1,Borussia Dortmund
17/09/22,BUN,Borussia Dortmund,1-0,Schalke 04
01/10/22,BUN,FC Cologne,3-2,Borussia Dortmund
05/10/22,UCL,Sevilla,1-4,Borussia Dortmund
15/12/20,BUN,Werder Bremen,1-2,Borussia Dortmund
18/12/20,BUN,Union Berlin,2-1,Borussia Dortmund
22/12/20,DFP,Eintracht Braunschweig,0-2,Borussia Dortmund
03/01/21,BUN,Borussia Dortmund,2-0,Wolfsburg
09/01/21,BUN,RB Leipzig,1-3,Borussia Dortmund
16/01/21,BUN,Borussia Dortmund,1-1,Mainz
19/01/21,BUN,Bayer Leverkusen,2-1,Borussia Dortmund
22/01/21,BUN,Borussia M'gladbach,4-2,Borussia Dortmund
30/01/21,BUN,Borussia Dortmund,3-1,Augsburg
02/02/21,DFP,Borussia Dortmund,E3-2E,Paderborn
06/02/21,BUN,Freiburg,2-1,Borussia Dortmund
13/02/21,BUN,Borussia Dortmund,2-2,Hoffenheim
17/02/21,UCL,Sevilla,2-3,Borussia Dortmund
20/02/21,BUN,Schalke 04,0-4,Borussia Dortmund
27/02/21,BUN,Borussia Dortmund,3-0,Arminia Bielefeld
02/03/21,DFP,Borussia M'gladbach,0-1,Borussia Dortmund
06/03/21,BUN,Bayern Munich,4-2,Borussia Dortmund
09/03/21,UCL,Borussia Dortmund,2-2,Sevilla
13/03/21,BUN,Borussia Dortmund,2-0,Hertha Berlin
20/03/21,BUN,FC Cologne,2-2,Borussia Dortmund
03/04/21,BUN,Borussia Dortmund,1-2,Eintracht Frankfurt
06/04/21,UCL,Manchester City,2-1,Borussia Dortmund
10/04/21,BUN,Stuttgart,2-3,Borussia Dortmund
14/04/21,UCL,Borussia Dortmund,1-2,Manchester City
18/04/21,BUN,Borussia Dortmund,4-1,Werder Bremen
21/04/21,BUN,Borussia Dortmund,2-0,Union Berlin
24/04/21,BUN,Wolfsburg,0-2,Borussia Dortmund
01/05/21,DFP,Borussia Dortmund,5-0,Holstein Kiel
08/05/21,BUN,Borussia Dortmund,3-2,RB Leipzig
13/05/21,DFP,RB Leipzig,1-4,Borussia Dortmund
16/05/21,BUN,Mainz,1-3,Borussia Dortmund
22/05/21,BUN,Borussia Dortmund,3-1,Bayer Leverkusen
13/07/21,CLF,FC Gießen,0-2,Borussia Dortmund
24/07/21,CLF,Borussia Dortmund,0-2,Athletic Bilbao
30/07/21,CLF,Borussia Dortmund,3-0,Bologna
07/08/21,DFP,Wehen Wiesbaden,0-3,Borussia Dortmund
14/08/21,BUN,Borussia Dortmund,5-2,Eintracht Frankfurt
17/08/21,SUC,Borussia Dortmund,1-3,Bayern Munich
21/08/21,BUN,Freiburg,2-1,Borussia Dortmund
27/08/21,BUN,Borussia Dortmund,3-2,Hoffenheim
11/09/21,BUN,Bayer Leverkusen,3-4,Borussia Dortmund
15/09/21,UCL,Besiktas,1-2,Borussia Dortmund
19/09/21,BUN,Borussia Dortmund,4-2,Union Berlin
25/09/21,BUN,Borussia M'gladbach,1-0,Borussia Dortmund
28/09/21,UCL,Borussia Dortmund,1-0,Sporting Lisbon
02/10/21,BUN,Borussia Dortmund,2-1,Augsburg
16/10/21,BUN,Borussia Dortmund,3-1,Mainz
19/10/21,UCL,Ajax,4-0,Borussia Dortmund
23/10/21,BUN,Arminia Bielefeld,1-3,Borussia Dortmund
26/10/21,DFP,Borussia Dortmund,2-0,Ingolstadt
17/12/19,BUN,Borussia Dortmund,3-3,RB Leipzig
20/12/19,BUN,Hoffenheim,2-1,Borussia Dortmund
07/01/20,CLF,Standard Liège,0-0,Borussia Dortmund
11/01/20,CLF,Feyenoord,2-4,Borussia Dortmund
11/01/20,CLF,Borussia Dortmund,0-2,Mainz
18/01/20,BUN,Augsburg,3-5,Borussia Dortmund
24/01/20,BUN,Borussia Dortmund,5-1,FC Cologne
01/02/20,BUN,Borussia Dortmund,5-0,Union Berlin
04/02/20,DFP,Werder Bremen,3-2,Borussia Dortmund
08/02/20,BUN,Bayer Leverkusen,4-3,Borussia Dortmund
14/02/20,BUN,Borussia Dortmund,4-0,Eintracht Frankfurt
18/02/20,UCL,Borussia Dortmund,2-1,PSG
22/02/20,BUN,Werder Bremen,0-2,Borussia Dortmund
29/02/20,BUN,Borussia Dortmund,1-0,Freiburg
07/03/20,BUN,Borussia M'gladbach,1-2,Borussia Dortmund
11/03/20,UCL,PSG,2-0,Borussia Dortmund
16/05/20,BUN,Borussia Dortmund,4-0,Schalke 04
23/05/20,BUN,Wolfsburg,0-2,Borussia Dortmund
26/05/20,BUN,Borussia Dortmund,0-1,Bayern Munich
31/05/20,BUN,Paderborn,1-6,Borussia Dortmund
06/06/20,BUN,Borussia Dortmund,1-0,Hertha Berlin
13/06/20,BUN,Fortuna Düsseldorf,0-1,Borussia Dortmund
17/06/20,BUN,Borussia Dortmund,0-2,Mainz
20/06/20,BUN,RB Leipzig,0-2,Borussia Dortmund
27/06/20,BUN,Borussia Dortmund,0-4,Hoffenheim
12/08/20,CLF,Rheindorf Altach,0-6,Borussia Dortmund
16/08/20,CLF,Borussia Dortmund,11-2,Austria Vienna
22/08/20,CLF,FSV Duisburg,CANC,Borussia Dortmund
28/08/20,CLF,Borussia Dortmund,1-1,Paderborn
28/08/20,CLF,Borussia Dortmund,1-3,Bochum
07/09/20,CLF,Borussia Dortmund,2-1,Sparta Rotterdam
14/09/20,DFP,MSV Duisburg,0-5,Borussia Dortmund
19/09/20,BUN,Borussia Dortmund,3-0,Borussia M'gladbach
26/09/20,BUN,Augsburg,2-0,Borussia Dortmund
30/09/20,SUC,Bayern Munich,3-2,Borussia Dortmund
03/10/20,BUN,Borussia Dortmund,4-0,Freiburg
17/10/20,BUN,Hoffenheim,0-1,Borussia Dortmund
20/10/20,UCL,Lazio,3-1,Borussia Dortmund
24/10/20,BUN,Borussia Dortmund,3-0,Schalke 04
28/10/20,UCL,Borussia Dortmund,2-0,Zenit
31/10/20,BUN,Arminia Bielefeld,0-2,Borussia Dortmund
04/11/20,UCL,Club Brugge,0-3,Borussia Dortmund
07/11/20,BUN,Borussia Dortmund,2-3,Bayern Munich
21/11/20,BUN,Hertha Berlin,2-5,Borussia Dortmund
24/11/20,UCL,Borussia Dortmund,3-0,Club Brugge
28/11/20,BUN,Borussia Dortmund,1-2,FC Cologne
02/12/20,UCL,Borussia Dortmund,1-1,Lazio
05/12/20,BUN,Eintracht Frankfurt,1-1,Borussia Dortmund
08/12/20,UCL,Zenit,1-2,Borussia Dortmund
12/12/20,BUN,Borussia Dortmund,1-5,Stuttgart
26/01/19,BUN,Borussia Dortmund,5-1,Hannover 96
02/02/19,BUN,Eintracht Frankfurt,1-1,Borussia Dortmund
05/02/19,DFP,Borussia Dortmund,P3-3P,Werder Bremen
09/02/19,BUN,Borussia Dortmund,3-3,Hoffenheim
13/02/19,UCL,Tottenham Hotspur,3-0,Borussia Dortmund
18/02/19,BUN,Nürnberg,0-0,Borussia Dortmund
24/02/19,BUN,Borussia Dortmund,3-2,Bayer Leverkusen
01/03/19,BUN,Augsburg,2-1,Borussia Dortmund
05/03/19,UCL,Borussia Dortmund,0-1,Tottenham Hotspur
09/03/19,BUN,Borussia Dortmund,3-1,Stuttgart
16/03/19,BUN,Hertha Berlin,2-3,Borussia Dortmund
30/03/19,BUN,Borussia Dortmund,2-0,Wolfsburg
06/04/19,BUN,Bayern Munich,5-0,Borussia Dortmund
13/04/19,BUN,Borussia Dortmund,2-1,Mainz
21/04/19,BUN,Freiburg,0-4,Borussia Dortmund
27/04/19,BUN,Borussia Dortmund,2-4,Schalke 04
04/05/19,BUN,Werder Bremen,2-2,Borussia Dortmund
11/05/19,BUN,Borussia Dortmund,3-2,Fortuna Düsseldorf
18/05/19,BUN,Borussia M'gladbach,0-2,Borussia Dortmund
18/07/19,CLF,Seattle Sounders,1-3,Borussia Dortmund
20/07/19,CLF,Liverpool,2-3,Borussia Dortmund
27/07/19,CLF,Borussia Dortmund,4-1,Udinese
30/07/19,CLF,Borussia Dortmund,6-0,Zürich
30/07/19,CLF,St.Gallen,1-4,Borussia Dortmund
03/08/19,SUC,Borussia Dortmund,2-0,Bayern Munich
09/08/19,DFP,Uerdingen,0-2,Borussia Dortmund
10/08/19,CLF,Preußen Münster,0-4,Borussia Dortmund
17/08/19,BUN,Borussia Dortmund,5-1,Augsburg
23/08/19,BUN,FC Cologne,1-3,Borussia Dortmund
31/08/19,BUN,Union Berlin,3-1,Borussia Dortmund
06/09/19,CLF,Energie Cottbus,0-5,Borussia Dortmund
14/09/19,BUN,Borussia Dortmund,4-0,Bayer Leverkusen
17/09/19,UCL,Borussia Dortmund,0-0,Barcelona
22/09/19,BUN,Eintracht Frankfurt,2-2,Borussia Dortmund
28/09/19,BUN,Borussia Dortmund,2-2,Werder Bremen
02/10/19,UCL,Slavia Prague,0-2,Borussia Dortmund
05/10/19,BUN,Freiburg,2-2,Borussia Dortmund
19/10/19,BUN,Borussia Dortmund,1-0,Borussia M'gladbach
23/10/19,UCL,Inter Milan,2-0,Borussia Dortmund
26/10/19,BUN,Schalke 04,0-0,Borussia Dortmund
30/10/19,DFP,Borussia Dortmund,2-1,Borussia M'gladbach
02/11/19,BUN,Borussia Dortmund,3-0,Wolfsburg
05/11/19,UCL,Borussia Dortmund,3-2,Inter Milan
09/11/19,BUN,Bayern Munich,4-0,Borussia Dortmund
22/11/19,BUN,Borussia Dortmund,3-3,Paderborn
27/11/19,UCL,Barcelona,3-1,Borussia Dortmund
30/11/19,BUN,Hertha Berlin,1-2,Borussia Dortmund
07/12/19,BUN,Borussia Dortmund,5-0,Fortuna Düsseldorf
10/12/19,UCL,Borussia Dortmund,2-1,Slavia Prague
14/12/19,BUN,Mainz,0-4,Borussia Dortmund
11/03/18,BUN,Borussia Dortmund,3-2,Eintracht Frankfurt
15/03/18,UEL,Salzburg,0-0,Borussia Dortmund
18/03/18,BUN,Borussia Dortmund,1-0,Hannover 96
31/03/18,BUN,Bayern Munich,6-0,Borussia Dortmund
08/04/18,BUN,Borussia Dortmund,3-0,Stuttgart
15/04/18,BUN,Schalke 04,2-0,Borussia Dortmund
21/04/18,BUN,Borussia Dortmund,4-0,Bayer Leverkusen
29/04/18,BUN,Werder Bremen,1-1,Borussia Dortmund
05/05/18,BUN,Borussia Dortmund,1-2,Mainz
12/05/18,BUN,Hoffenheim,3-1,Borussia Dortmund
14/05/18,CLF,Zwickau,4-4,Borussia Dortmund
23/05/18,CLF,Los Angeles,1-1,Borussia Dortmund
13/07/18,CLF,Austria Vienna,0-1,Borussia Dortmund
21/07/18,ICC,Manchester City,0-1,Borussia Dortmund
22/07/18,ICC,Liverpool,1-3,Borussia Dortmund
26/07/18,ICC,Borussia Dortmund,P2-2P,Benfica
03/08/18,CLF,Borussia Dortmund,1-1,Rennes
07/08/18,CLF,Borussia Dortmund,1-3,Napoli
12/08/18,CLF,Borussia Dortmund,1-0,Lazio
20/08/18,DFP,Greuther Fürth,E1-2E,Borussia Dortmund
26/08/18,BUN,Borussia Dortmund,4-1,RB Leipzig
31/08/18,BUN,Hannover 96,0-0,Borussia Dortmund
06/09/18,CLF,Osnabrück,0-6,Borussia Dortmund
14/09/18,BUN,Borussia Dortmund,3-1,Eintracht Frankfurt
18/09/18,UCL,Club Brugge,0-1,Borussia Dortmund
22/09/18,BUN,Hoffenheim,1-1,Borussia Dortmund
26/09/18,BUN,Borussia Dortmund,7-0,Nürnberg
29/09/18,BUN,Bayer Leverkusen,2-4,Borussia Dortmund
03/10/18,UCL,Borussia Dortmund,3-0,Monaco
06/10/18,BUN,Borussia Dortmund,4-3,Augsburg
15/10/18,CLF,Alemannia Aachen,0-4,Borussia Dortmund
20/10/18,BUN,Stuttgart,0-4,Borussia Dortmund
24/10/18,UCL,Borussia Dortmund,4-0,Atletico Madrid
27/10/18,BUN,Borussia Dortmund,2-2,Hertha Berlin
31/10/18,DFP,Borussia Dortmund,E3-2E,Union Berlin
03/11/18,BUN,Wolfsburg,0-1,Borussia Dortmund
06/11/18,UCL,Atletico Madrid,2-0,Borussia Dortmund
10/11/18,BUN,Borussia Dortmund,3-2,Bayern Munich
16/11/18,CLF,Sportfreunde Lotte,2-3,Borussia Dortmund
24/11/18,BUN,Mainz,1-2,Borussia Dortmund
28/11/18,UCL,Borussia Dortmund,0-0,Club Brugge
01/12/18,BUN,Borussia Dortmund,2-0,Freiburg
08/12/18,BUN,Schalke 04,1-2,Borussia Dortmund
11/12/18,UCL,Monaco,0-2,Borussia Dortmund
15/12/18,BUN,Borussia Dortmund,2-1,Werder Bremen
18/12/18,BUN,Fortuna Düsseldorf,2-1,Borussia Dortmund
21/12/18,BUN,Borussia Dortmund,2-1,Borussia M'gladbach
07/01/19,CLF,Borussia Dortmund,3-2,Fortuna Düsseldorf
11/01/19,CLF,Borussia Dortmund,2-1,Feyenoord
19/01/19,BUN,RB Leipzig,0-1,Borussia Dortmund
27/05/17,DFP,Eintracht Frankfurt,1-2,Borussia Dortmund
11/07/17,CLF,Rot-Weiss Essen,3-2,Borussia Dortmund
15/07/17,JWC,Urawa Reds,2-3,Borussia Dortmund
18/07/17,ICC,AC Milan,1-3,Borussia Dortmund
22/07/17,CLF,Bochum,2-2,Borussia Dortmund
28/07/17,CLF,Borussia Dortmund,0-1,Espanyol
01/08/17,CLF,Borussia Dortmund,0-1,Atalanta
05/08/17,SUC,Borussia Dortmund,P2-2P,Bayern Munich
06/08/17,CLF,Rot-Weiß Erfurt,2-5,Borussia Dortmund
12/08/17,DFP,Rielasingen-Arlen,0-4,Borussia Dortmund
13/08/17,CLF,Zwickau,CANC,Borussia Dortmund
19/08/17,BUN,Wolfsburg,0-3,Borussia Dortmund
26/08/17,BUN,Borussia Dortmund,2-0,Hertha Berlin
09/09/17,BUN,Freiburg,0-0,Borussia Dortmund
13/09/17,UCL,Tottenham Hotspur,3-1,Borussia Dortmund
17/09/17,BUN,Borussia Dortmund,5-0,FC Cologne
20/09/17,BUN,Hamburg,0-3,Borussia Dortmund
23/09/17,BUN,Borussia Dortmund,6-1,Borussia M'gladbach
26/09/17,UCL,Borussia Dortmund,1-3,Real Madrid
30/09/17,BUN,Augsburg,1-2,Borussia Dortmund
14/10/17,BUN,Borussia Dortmund,2-3,RB Leipzig
17/10/17,UCL,APOEL,1-1,Borussia Dortmund
21/10/17,BUN,Eintracht Frankfurt,2-2,Borussia Dortmund
24/10/17,DFP,Magdeburg,0-5,Borussia Dortmund
28/10/17,BUN,Hannover 96,4-2,Borussia Dortmund
01/11/17,UCL,Borussia Dortmund,1-1,APOEL
04/11/17,BUN,Borussia Dortmund,1-3,Bayern Munich
08/11/17,CLF,Borussia Dortmund,4-2,Bochum
17/11/17,BUN,Stuttgart,2-1,Borussia Dortmund
21/11/17,UCL,Borussia Dortmund,1-2,Tottenham Hotspur
25/11/17,BUN,Borussia Dortmund,4-4,Schalke 04
02/12/17,BUN,Bayer Leverkusen,1-1,Borussia Dortmund
06/12/17,UCL,Real Madrid,3-2,Borussia Dortmund
09/12/17,BUN,Borussia Dortmund,1-2,Werder Bremen
12/12/17,BUN,Mainz,0-2,Borussia Dortmund
16/12/17,BUN,Borussia Dortmund,2-1,Hoffenheim
20/12/17,DFP,Bayern Munich,2-1,Borussia Dortmund
06/01/18,CLF,Fortuna Düsseldorf,0-2,Borussia Dortmund
08/01/18,CLF,Borussia Dortmund,3-2,Zulte Waregem
14/01/18,BUN,Borussia Dortmund,0-0,Wolfsburg
19/01/18,BUN,Hertha Berlin,1-1,Borussia Dortmund
27/01/18,BUN,Borussia Dortmund,2-2,Freiburg
02/02/18,BUN,FC Cologne,2-3,Borussia Dortmund
10/02/18,BUN,Borussia Dortmund,2-0,Hamburg
15/02/18,UEL,Borussia Dortmund,3-2,Atalanta
18/02/18,BUN,Borussia M'gladbach,0-1,Borussia Dortmund
22/02/18,UEL,Atalanta,1-1,Borussia Dortmund
26/02/18,BUN,Borussia Dortmund,1-1,Augsburg
03/03/18,BUN,RB Leipzig,1-1,Borussia Dortmund
08/03/18,UEL,Borussia Dortmund,1-2,Salzburg
14/09/16,UCL,Legia Warsaw,0-6,Borussia Dortmund
17/09/16,BUN,Borussia Dortmund,6-0,Darmstadt
20/09/16,BUN,Wolfsburg,1-5,Borussia Dortmund
23/09/16,BUN,Borussia Dortmund,3-1,Freiburg
27/09/16,UCL,Borussia Dortmund,2-2,Real Madrid
01/10/16,BUN,Bayer Leverkusen,2-0,Borussia Dortmund
14/10/16,BUN,Borussia Dortmund,1-1,Hertha Berlin
18/10/16,UCL,Sporting Lisbon,1-2,Borussia Dortmund
22/10/16,BUN,Ingolstadt,3-3,Borussia Dortmund
26/10/16,DFP,Borussia Dortmund,P1-1P,Union Berlin
29/10/16,BUN,Borussia Dortmund,0-0,Schalke 04
02/11/16,UCL,Borussia Dortmund,1-0,Sporting Lisbon
05/11/16,BUN,Hamburg,2-5,Borussia Dortmund
19/11/16,BUN,Borussia Dortmund,1-0,Bayern Munich
22/11/16,UCL,Borussia Dortmund,8-4,Legia Warsaw
26/11/16,BUN,Eintracht Frankfurt,2-1,Borussia Dortmund
03/12/16,BUN,Borussia Dortmund,4-1,Borussia M'gladbach
07/12/16,UCL,Real Madrid,2-2,Borussia Dortmund
10/12/16,BUN,FC Cologne,1-1,Borussia Dortmund
16/12/16,BUN,Hoffenheim,2-2,Borussia Dortmund
20/12/16,BUN,Borussia Dortmund,1-1,Augsburg
07/01/17,CLF,PSV,1-4,Borussia Dortmund
12/01/17,CLF,Borussia Dortmund,3-0,Standard Liège
17/01/17,CLF,Paderborn,1-6,Borussia Dortmund
