Date,Competition,Home team,Score,Away team
09/04/23,2.B,Darmstadt,2-1,Paderborn
16/04/23,2.B,Fortuna Düsseldorf,1-0,Darmstadt
21/04/23,2.B,Darmstadt,2-1,Karlsruhe
30/04/23,2.B,Holstein Kiel,0-3,Darmstadt
06/05/23,2.B,Darmstadt,0-3,St. Pauli
14/05/23,2.B,Hannover 96,2-1,Darmstadt
19/05/23,2.B,Darmstadt,1-0,Magdeburg
28/05/23,2.B,Greuther Fürth,4-0,Darmstadt
12/07/23,CLF,Darmstadt,0-1,Norwich City
16/07/23,CLF,FC Gießen,2-0,Darmstadt
22/07/23,CLF,Karlsruhe,0-0,Darmstadt
29/07/23,CLF,Sandhausen,0-0,Darmstadt
07/08/23,CLF,Liverpool,3-1,Darmstadt
14/08/23,DFP,Homburg,3-0,Darmstadt
20/08/23,BUN,Eintracht Frankfurt,1-0,Darmstadt
26/08/23,BUN,Darmstadt,1-4,Union Berlin
02/09/23,BUN,Bayer Leverkusen,5-1,Darmstadt
17/09/23,BUN,Darmstadt,3-3,Borussia M'gladbach
22/09/23,BUN,Stuttgart,3-1,Darmstadt
01/10/23,BUN,Darmstadt,4-2,Werder Bremen
07/10/23,BUN,Augsburg,1-2,Darmstadt
13/10/23,CLF,Darmstadt,4-2,Elversberg
21/10/23,BUN,Darmstadt,1-3,RB Leipzig
28/10/23,BUN,Bayern Munich,8-0,Darmstadt
03/11/23,BUN,Darmstadt,1-2,Bochum
11/11/23,BUN,Darmstadt,0-0,Mainz
25/11/23,BUN,Freiburg,1-1,Darmstadt
01/12/23,BUN,Darmstadt,0-1,FC Cologne
09/12/23,BUN,Heidenheim,3-2,Darmstadt
16/12/23,BUN,Darmstadt,0-1,Wolfsburg
19/12/23,BUN,Hoffenheim,3-3,Darmstadt
06/01/24,CLF,Darmstadt,1-2,Holstein Kiel
13/01/24,BUN,Darmstadt,0-3,Borussia Dortmund
20/01/24,BUN,Darmstadt,2-2,Eintracht Frankfurt
28/01/24,BUN,Union Berlin,1-0,Darmstadt
03/02/24,BUN,Darmstadt,0-2,Bayer Leverkusen
10/02/24,BUN,Borussia M'gladbach,0-0,Darmstadt
17/02/24,BUN,Darmstadt,1-2,Stuttgart
24/02/24,BUN,Werder Bremen,1-1,Darmstadt
02/03/24,BUN,Darmstadt,0-6,Augsburg
09/03/24,BUN,RB Leipzig,2-0,Darmstadt
16/03/24,BUN,Darmstadt,2-5,Bayern Munich
31/03/24,BUN,Bochum,2-2,Darmstadt
06/04/24,BUN,Mainz,4-0,Darmstadt
14/04/24,BUN,Darmstadt,0-1,Freiburg
20/04/24,BUN,FC Cologne,0-2,Darmstadt
28/04/24,BUN,Darmstadt,0-1,Heidenheim
04/05/24,BUN,Wolfsburg,15:30,Darmstadt
12/05/24,BUN,Darmstadt,15:30,Hoffenheim
18/05/24,BUN,Borussia Dortmund,15:30,Darmstadt
20/02/22,2.B,Darmstadt,1-1,Hansa Rostock
26/02/22,2.B,Dynamo Dresden,0-1,Darmstadt
